,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.05,-15.85,80.6,54.31,-194.45,-41,-0.49,0.08,0.83
1,6.32,2.87,68.62,28.49,48.97,-6.32,-0.88,0.31,0.79
2,-8.28,54.06,49.81,-25.73,35.59,-0.17,-0.71,0.1,0.69
3,-0.35,55.46,64.82,-36,65.13,24.31,-0.86,-0.14,0.16
4,8.14,31.63,75.2,-63.18,194.08,-31,-0.91,-0.51,-0.36
5,1.06,38.54,80.33,72.82,5.4,-1.37,-1.24,-0.25,-0.61
6,-5.1,37.97,81.27,53.61,-96.52,31.31,-0.62,0.37,-0.09
7,-9.72,34.58,71.25,27.79,23.5,4.08,-0.96,0.07,-0.24
8,-9.44,20.95,48.62,15.98,-8.22,-19.6,-0.55,-0.41,-0.26
9,-7.25,23.29,22.92,-21.66,-15.21,-37,-1.11,-0.59,-0.2
10,-0.31,21.54,-8.88,-75.11,-59.04,-36,-0.89,-0.47,-0.09
11,-4.18,24.29,3.21,-90.7,2.87,-27.89,-0.79,-0.12,-0.61
12,7.06,16.18,35.15,-123.13,-11.62,-1,-0.67,-0.57,-0.42
13,4.21,44.12,53.8,52.72,7.53,-16.07,-0.53,-0.3,-0.14
14,9.75,30.04,61.36,133.54,-38.11,27.2,-1.14,-0.39,0.02
15,6.8,31.05,45.24,83.76,103.6,16.27,-1.06,-0.75,-0.07
16,-3.28,26.85,53.33,44.53,-58.13,37.52,-0.84,0.28,-0.33
17,-12.09,31.82,51.84,-57.75,-1.23,26.26,-0.93,-0.04,-0.21
18,-5.07,24.78,30.08,40.19,-24.3,-12.6,-0.8,-0.39,-0.14
19,-0.87,14.86,9.29,6.63,14.15,-46.49,-1.01,-0.56,-0.18
20,0.98,5.9,-31.45,-73.95,-32.53,-19,-1.12,-0.35,-0.15
21,-3.54,7.24,-25.31,-76.02,-47.37,-3.3,-0.79,-0.31,-0.21
22,0.12,9.52,14.24,-158.34,-43.85,3.7,-0.78,-0.16,-0.38
23,9.6,40.36,27.27,21.28,-3.69,-13.68,-0.56,-0.31,-0.22
24,9.07,33.9,54.51,159.43,1.34,0.47,-1.16,-0.39,-0.28
25,6.94,32.8,31.29,57.4,114.24,36.92,-1.06,-1.15,-0.02
26,-10.71,33.65,52.68,121.56,-26.35,35,-0.17,0.31,-0.21
27,1.9,30,40.88,-85.6,-2.69,24.79,-0.75,0,-0.29
28,-8.79,34.29,19.95,90.73,-2.37,-41.2,-0.77,-0.36,0.1
29,-12.4,7.34,2.34,-34.98,-19.56,7.34,-1.04,-0.55,-0.29
30,-7,-10.38,-38.92,-73.25,12.58,-33.9,-1.19,-0.34,-0.12
31,-3.02,-7.75,-35.59,-64.79,-114.19,-47,-0.9,-0.34,-0.55
32,0.55,5.1,4.02,-162.73,-78.83,-27,-0.72,-0.21,-0.28
33,11.22,38.95,9.01,9.58,-1.4,-11.63,-0.48,-0.27,-0.27
34,7.38,28.47,35.4,157.2,41.95,2.11,-1.7,-0.31,-0.29
35,0.89,29.54,30.69,22.37,124.73,43.34,-1.18,-0.8,-0.15
36,-14.37,31.82,46.05,113.03,-44.79,28.5,-0.59,-0.15,-0.07
37,3,44.61,15.65,-10.93,-3.05,3.44,-0.97,0.19,-0.16
38,-14.49,24.43,-7.04,-11.17,6.84,25.4,-0.76,-0.12,-0.23
39,-4.91,17.82,-40.8,75.72,-10.4,-51.3,-1.04,-0.57,-0.05
40,-1.63,19.37,-37.04,-109.79,46.54,11.5,-1.25,-0.36,-0.22
41,-6.97,13.01,-2.21,-86.19,-85.44,-55,-0.8,-0.39,-0.37
42,-4.15,57.12,-4.14,-132.53,-31.58,-18,-0.66,-0.15,-0.26
43,4.61,54.56,22.27,10.46,-1.44,-6.31,-0.7,-0.23,-0.25
44,6.29,42.6,19.77,136.4,-32.63,-26,-1.28,-0.52,0.09
45,-14.13,42.92,27.63,-4.53,168.02,-15.9,-0.92,-0.9,-0.02
46,-8.01,60.89,13.81,112.28,-8.4,17.73,-1.13,-0.14,-0.62
47,-9.48,47.18,1.41,-5.46,-49.06,24.28,-0.78,0.21,-0.14
48,-7.97,3.03,-40.05,-42.09,3.97,43.27,-0.79,0.02,-0.2
49,2.34,-6.77,-65.97,78.52,-12.63,-54.3,-0.77,-0.66,-0.04
50,1.09,-2.39,-49.31,-44.66,71.17,-30.9,-1.11,-0.63,-0.24
51,10.79,16.46,-13.54,-42.83,-54.58,-36,-0.91,-0.62,-0.26
52,6.95,27.19,0.76,-107.71,-47.06,8.9,-0.55,-0.19,-0.39
53,9.38,37.28,-1.68,59.31,7.76,4.2,-0.72,-0.27,-0.44
54,8.07,38.59,-14.6,135.65,61.93,41.65,-0.93,0.03,0.1
55,-11.36,44.74,8.27,54.75,32.53,24.83,-1.25,-0.55,-0.05
56,-0.13,48.87,-8.89,-5.38,36.12,36.23,-0.82,-0.45,-0.36
57,-6.87,41.34,-21.51,-55.34,0.56,31.05,-0.66,0.25,-0.14
58,-5.22,21.96,-44.92,90.21,19.39,-43.85,-0.84,-0.05,-0.27
59,4.61,20.77,-84.99,-61.98,14.75,-0.5,-0.96,-0.64,0.03
60,-3.94,18.53,-58.44,-48.44,-32.47,-26,-1.01,-0.45,-0.27
61,3.92,21.8,-28.14,-93.98,-81.51,-20,-0.99,-0.43,-0.25
62,9.21,40.57,-18.84,-166.88,-10.4,17,-0.64,-0.07,-0.41
63,-2.28,26.07,2.82,93.61,-14.69,-15.1,-0.73,-0.08,-0.47
64,17.18,42.27,-9.73,117.33,6.54,15.13,-0.71,-0.41,0.07
65,-5.55,37.75,5.59,36.17,67.84,35.56,-1.25,-0.47,0.04
66,-7.83,43.38,30,89.35,-60.4,-8.78,-0.97,-0.68,0.02
67,-7.59,58.71,4.53,-50.27,55.2,66.33,-0.31,0.01,0.01
68,-11.6,25.59,-28.34,54.56,-22.53,-19.8,-0.99,0.11,-0.12
69,5.41,12.76,-71.74,99.11,16.19,-30.23,-0.65,0,-0.14
70,-4.46,10.23,-51.94,-91.92,59.3,-29.1,-1.27,-0.83,-0.09
71,-0.61,22.16,-15.39,-129.48,-135.92,-4,-1.2,-0.26,-0.16
72,9.7,37.07,-5.08,-175.18,-56.94,20,-0.7,-0.28,-0.29
73,2.7,25.7,17.85,70.75,-18.46,-17.1,-0.63,-0.22,-0.21
74,12.7,28.69,-13.47,142.66,39.76,-2.36,-0.69,-0.33,-0.17
75,-11.58,30.93,9.36,42.76,52.85,37.3,-1.3,-0.6,-0.1
76,-14,37.73,-19.47,90.53,-44.11,9.63,-0.88,-0.75,-0.13
77,-13.5,-6.69,-35.86,-127.53,7.69,49.03,-0.56,0.33,-0.27
78,11.87,-8.63,-80.17,89.8,0.64,-44.53,-0.9,-0.05,-0.14
79,-4.93,-5.33,-55.12,-12.5,21.21,8.91,-0.62,-0.36,-0.01
80,-6.74,1.14,-19.97,-92.11,-1.79,-54.1,-1.17,-0.61,-0.42
81,-1.48,29.08,-12.16,-66.07,-183.61,-52,-1.07,-0.33,0.05
82,5.37,8.68,4.44,-179.61,-17.47,45,-0.59,-0.28,-0.32
83,14.74,11.55,-15.9,90.74,1.72,-18.97,-0.66,-0.25,-0.21
84,-3.51,13.81,-1.06,133.79,12.7,-25.9,-0.83,-0.16,0.09
85,-13.54,8.53,17.85,30.28,100.79,-5.73,-1.35,-0.32,0.26
86,-18.16,36.52,-9.69,70.84,-85.78,20.73,-1.02,-0.78,0.08
