,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-1.23,-42.33,76.57,-1.6,0.28,-4.76,-0.25,0.99,0.11
1,0.58,-38.66,77.66,4.73,5.66,2.23,-0.28,0.95,0.09
2,-0.33,-36.8,77.51,0.18,-1.37,-1.28,-0.23,0.98,0.1
3,-0.39,-34.88,77.37,-0.24,-0.36,-1.52,-0.28,0.97,0.06
4,0,-33.48,77.39,0.69,-2.53,-0.02,-0.35,0.16,1.32
5,-35.5,-93.74,23.44,-205.58,-250.14,-1,-0.23,0.02,0.93
6,-7.4,-116.41,-3.94,-106.1,-108.12,-2,0.4,0.11,0.64
7,22.89,-109.64,3.01,25.82,13.5,87.71,-0.78,-0.17,-0.12
8,-16,-42,23.76,79.78,224.97,-57.6,-0.9,-0.69,-0.95
9,-10.8,-23.45,16.04,-22.73,61.86,-41.8,-0.58,-0.86,-0.72
10,8.65,-24.91,-14.93,-114.63,-13.99,33,-0.5,-0.5,-0.3
11,22.6,-84.72,-27.83,-47.57,-250.14,87,-0.21,-0.39,1.32
12,-8,-103.6,-32.16,-19.31,-90.92,-34,0.04,0.1,0.68
13,19,-106.91,-14.69,63.25,-29.16,74.56,-0.61,-0.18,-0.45
14,-8.1,-48.28,-17.06,-11.76,219.37,-31,-0.3,-0.21,-0.18
15,-15.5,-24.73,-8.35,34.27,78.33,-59.97,-0.8,-0.68,-0.84
16,15.36,-57.92,-3.59,22.82,-145.11,59.3,-0.9,-0.34,-0.72
17,6.29,-30.14,-27.58,-91.82,96.18,24.18,-0.18,-0.7,1.05
18,1.78,-71.12,-21.32,23.4,-177.45,6.88,0.05,0.25,0.91
19,20.76,-106.2,3.51,7.79,-163.7,-55.1,0.37,0.04,0.92
20,5.32,-88.62,3.88,81.67,-5.99,74.15,-0.69,-0.31,-0.13
21,-30.4,-20.31,16.04,1.66,56.89,20.44,-0.63,-0.09,-0.51
22,-7.86,8.87,32.19,53.37,250.13,-117,-0.57,-0.54,-0.8
23,7.61,35.93,12.75,68.6,106.01,-30.3,-0.61,-0.49,-0.98
24,2.63,44.49,5.77,-68.09,104.92,29.2,-0.98,-0.35,-0.57
25,2.68,-17.25,11.61,-22.31,35.56,10.17,-0.1,-0.42,1.11
26,-8.73,-47.96,19.08,27.21,-250.14,10.3,0.14,0.34,0.87
27,26.53,-55.79,29.85,35.11,-126.59,-33,0.57,0,0.87
28,0.83,-38.4,27,42.82,-37.66,102,-0.87,-0.15,-0.18
29,-9.8,28.34,29.71,-6.17,61.37,2.98,-0.47,-0.15,-0.52
30,-20.36,57.24,52.87,16.8,250.13,-37.8,-0.9,-0.63,-0.6
31,5.69,80.98,35.66,99.44,113.72,-78.3,-0.65,-0.61,-0.8
32,-1.49,80.37,27.4,-55.88,97.31,21.95,-0.72,-0.67,0.37
33,4.14,16.69,17.25,-22.44,5.26,-5.73,-0.06,0,1.11
34,7.33,-4.48,30.14,-30.08,-250.14,15,0.14,0.24,0.81
35,11.29,-9.56,34.34,54.62,-82.93,28.31,0.3,0.1,0.9
36,-9.24,57.57,31.23,19.11,-19.6,43.57,-0.9,0.01,-0.55
37,-4.82,67.55,37.58,-7.35,250.13,-32.8,-0.8,-0.62,-0.61
38,-1.12,78.9,47.24,30.5,40,-18.61,-0.67,-0.63,-0.7
39,1.83,87.22,35.81,49.96,49.59,-4.33,-0.49,-0.48,-0.63
40,2.05,59.31,33.73,-32.94,40.28,7.04,-0.23,-0.67,1.24
41,-9.18,2.58,34.16,2.4,-103.29,7.92,0.1,0.24,0.94
42,18.86,-26.11,51.51,11.66,-220.11,-35,0.42,0.03,0.69
43,12.46,-28.93,50.3,72.72,-113.6,72.5,-0.7,-0.24,0.18
44,-52.21,37.09,51.49,2.89,-9.76,44.5,-0.65,-0.27,-0.62
45,-3.87,55.15,68.37,15.85,250.13,-201,-0.7,-0.59,-0.82
46,1.99,70.49,38.29,78.59,71.32,-14.89,-0.65,-0.45,-1.02
47,5.85,74.79,27.37,-105.36,64.97,7.68,-0.89,-0.44,0.72
48,-17.71,11.47,8.39,-34.33,23.66,22.52,-0.02,0.03,1.09
49,1.74,-37.49,23.8,-68.54,-250.14,-68,0.37,0.27,0.69
50,19.24,-39.21,31.14,63.11,-195.29,6.72,0.34,0.02,0.98
51,-5.76,23.79,31.65,30.1,-8.56,73.7,-0.73,-0.05,-0.35
52,-9.9,66.93,39.48,6.89,250.13,-22.23,-0.49,-0.34,-0.5
53,-5.2,72.84,60.49,37.14,166.94,-38.2,-0.41,-0.76,-0.82
54,0,1.7,5,94.64,28.16,-20,-0.63,-0.41,-0.93
55,-0.54,85.57,25,-120.2,98.2,6.55,-0.46,-0.32,0.18
56,30.48,21.51,32.95,1.02,-26.28,-1.93,-0.25,0.13,1.21
57,5.17,-5.12,28.54,41.02,-250.14,116,0.33,0.3,0.75
58,22.77,-15.78,33.84,-13.44,-105.53,19,0.4,0.1,0.98
59,-13.79,46.16,32.83,22.55,-39.97,87.6,-0.62,0.19,-0.4
60,-13.96,60.16,52.07,0.52,250.13,-53.24,-0.76,-0.2,-0.6
61,11.16,82.5,47.28,80.37,54.97,-53.89,-0.76,-0.36,-0.9
62,-1.85,84.85,36.05,-9.05,91.12,42.91,-0.88,-0.44,-0.6
63,2.99,31.44,37.99,-34.83,16.63,-7.13,-0.52,-0.31,1.1
64,-0.86,-31.04,35.83,17.16,-208.34,11.4,-0.03,0.1,1.05
65,16.3,-54.51,39.52,-0.27,-250.14,-3.3,0.34,0.18,0.96
66,-17.03,9.94,33.12,5.37,-85.11,35.27,-0.03,0.07,0.89
67,-9.13,35.25,49.83,17.05,-18.08,58,-1.25,-0.08,-0.31
68,-4.09,39.98,49.06,-20.09,250.13,-65,-0.65,-0.54,-0.31
69,0.57,29.43,32.84,73.11,91.23,-35.25,-0.54,-0.57,-0.81
70,1.61,22.44,31.44,10.82,17.24,-15.74,-0.68,-0.56,-0.75
71,5.83,-39.4,25.09,-52.45,-40.63,2.2,-0.61,-0.78,0.63
72,2.12,-82.08,34.93,4.34,-29.02,6.18,-0.17,0.04,1.24
73,22.04,-81.16,46.05,-13.81,-250.14,22,0.26,0.05,0.6
74,-17.2,-16.09,43.83,43.32,-179.27,8.18,0.36,0.04,0.92
75,-15.78,24.94,68.22,49.63,-5.73,85.09,-0.56,0.08,-0.43
76,-1.4,30.67,68.4,-1.89,250.13,-66.1,-0.92,-0.69,-0.21
77,4.24,29.31,48.28,104.15,154.03,-60,-0.56,-0.79,-0.51
78,-5.17,-71.62,70.12,17.45,18.69,-5.37,-0.62,-0.57,0.14
79,15.2,-104.45,85.47,-62.46,-5.48,16.37,-0.37,-0.16,1.23
80,13.51,-83.62,86.88,22.42,-250.14,12.6,0.37,0.27,0.99
81,-30,-15.45,102.11,82.63,-153.66,-18,0.52,0.18,0.69
82,-6.04,-2.44,116.26,70.18,-139.29,58.3,-0.93,-0.13,-0.4
83,13.29,27.14,87.11,17.53,72.74,52.18,-0.52,-0.15,-0.56
84,-0.85,23.7,84.02,76.39,250.13,-116,-0.63,-0.49,-0.82
85,4.4,-72.94,86.96,74.88,42.99,-23.23,-0.59,-0.37,-1.03
86,20.56,-67.88,91.99,-94.06,112.76,51.1,-0.92,-0.42,0.3
87,-0.2,-32.56,102.82,4.38,-13.97,-3.28,-0.01,-0.2,1.08
88,1.81,-18.41,87.93,7.26,-13.81,0,0.4,0.34,0.99
89,5.5,-9.2,69.08,-22.43,-250.14,-53,0.51,-0.01,0.8
90,-0.92,-68.35,64.44,65.22,-149.59,17,-0.86,-0.3,-0.95
91,-13,-109.2,65.7,31.23,11.96,79.06,-0.78,-0.59,-0.67
92,17.2,-135.47,83.14,-2.88,164.25,-20.1,-0.7,-0.57,-0.9
93,18.3,-117.14,88.9,71.76,-35.7,-0.98,-0.83,-0.22,0.14
94,-17.1,-47.75,82.2,-38.39,44.89,6.98,-0.32,-0.55,1
