,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,9.24,94.93,-31.23,118.4,-190.02,184,-0.53,0.55,0.23
1,2.87,81.59,-28.51,-8.09,-39.89,-19.8,0.11,1.02,0.05
2,5.3,86.36,-26.16,-12.23,23.86,10.25,0.16,1.05,-0.03
3,-57.9,92.75,-68.46,-8.17,33.73,20.45,-0.43,1.1,0.74
4,-28,102.02,-56.05,-182.05,36.59,-222,-0.46,-0.2,-0.27
5,-37.5,110.31,-8.92,42.23,43.52,-111.7,-1.49,0.01,0.45
6,-26.7,43.87,-33.61,179.8,37.82,-144,-0.18,0.14,1.01
7,19.97,62.97,-18.88,-101.54,-250.14,-1,-0.28,-0.35,0.25
8,-40.42,87.01,24.82,60.77,78.6,77.11,-0.71,-0.13,1.25
9,-49.48,82.17,41.45,160.54,94.41,-144,-0.77,-0.14,0.97
10,-15.5,52.92,12.67,71.63,-11.59,-190,-0.01,-0.09,0.91
11,11.02,97.86,6.79,-107.76,-104.07,-5,-0.62,-0.68,-0.38
12,-22,135.39,33.64,-14.67,182.31,42.3,-1.53,-0.49,1.33
13,-8.67,111.97,43.32,111.27,159.09,-85,-0.64,-0.6,0.64
14,-28.9,134.81,6.91,40.96,-57.6,-52.4,-0.59,-0.85,0.87
15,14.65,121.83,32.01,19.86,-5.31,-30.95,-0.11,-0.65,0.12
16,-17,154.03,55.44,-126.73,107.95,-11,0.08,-0.71,-0.05
17,-20.4,156.79,59.7,115.37,-29.54,56.5,-0.34,-0.64,1.63
18,-23.7,150.49,69.7,102.4,146.76,-65,-0.65,-0.79,0.75
19,-16.2,141.87,35.59,32.15,30.82,-78.55,-0.53,-0.5,1
20,-10.28,171.4,9.85,53.6,-4.17,-91.82,0.22,-0.21,0.55
21,5.51,188.31,69.26,-122.38,-7.21,-62,-0.15,-1.37,0.13
22,-49.2,188.06,97.28,-83.98,139.54,-39,-0.3,-0.6,0.18
23,-33.9,147.14,68.02,250.13,91.48,21.29,-0.8,0.04,1.32
24,12.54,128.04,46.65,123.12,24.2,-189,-0.34,-0.23,1.51
25,-5.96,138.84,61.65,-100.7,-136.32,-1,0.29,-0.05,0.28
26,-31.9,184.57,99.85,-73.6,-45.76,48.2,-0.36,-0.73,0.4
27,-65,145.57,105.22,76.11,60.02,-22.91,-1.07,-0.16,1.14
28,10.63,132.93,78.6,164.52,199.37,-123,-0.95,-0.42,1.53
29,1.06,159.11,120.47,39.61,-131.6,-250,0.26,-0.02,0.08
30,-48,159.93,155.44,-89.12,-15.66,40.8,-0.47,-0.52,0.61
31,-38,150.29,147.68,186.53,121.82,4.08,-0.56,0.28,1.25
32,-25,132.84,140.99,157.59,24.98,-185,-0.62,0.09,0.98
33,11.7,149.93,134.66,-6.9,-18.11,-149,-0.26,-0.38,0.95
34,2.02,156.47,161.02,0.21,-48.14,-97.92,0.33,-0.07,0.52
35,-31,151.27,172.68,-1.68,94.92,45.27,-0.63,-0.01,0.78
36,-24,132.75,156.71,127.79,44.15,7.79,-0.52,0.55,0.99
37,0.55,106.55,145.43,68.33,0.25,-119.64,-0.19,0.33,1.15
38,0.22,98.95,126.59,-38.98,-51.6,-95,-0.01,0.18,1.05
39,-7.4,103.51,116.55,-21.62,-83.78,2.13,0.14,-0.14,0.89
40,-39,146.48,118.51,-50.98,-11.97,0.85,-0.32,-0.41,0.73
41,-30,152.47,108.27,-15.63,30.74,-28.5,-0.6,-0.54,0.86
42,-7.8,101.98,108.63,31.07,184.6,-153,-0.48,-1.02,1.1
43,0.9,117.51,124.91,-15.56,44.63,-116,0.09,0.05,0.68
44,-45,150.58,158.24,18.1,-176.72,-29,-0.15,-0.64,0.54
45,-55,142.35,155.29,90.12,76.66,3.45,-0.96,0.33,1.39
46,-12,117.19,116.84,152.37,146.4,-176,-0.89,-0.1,1.27
47,12.4,125,136.1,14.1,-14.4,-215,0.21,0.16,0.62
48,-35,145.33,178.72,-131.29,-75.06,-48,-0.23,-0.6,0.25
49,-50,140.91,191.37,106.04,47.15,48.04,-0.89,0.02,1.26
50,-25,125.62,181.53,192.43,95.8,-136,-0.76,0.15,0.87
51,2.18,106.28,172.52,78.13,-0.95,-195,-0.44,-0.15,1.12
52,9.59,108.03,159.28,-7.6,-42.27,-97,-0.03,-0.12,1.01
53,-25,146.72,182.72,-5.94,-57.6,8.37,-0.16,-0.21,0.49
54,-15,107.92,150.21,-21.89,21.55,37.02,-1.02,-0.31,1.18
55,-7.6,102.74,133.4,121.23,165.95,-98,-0.5,-0.19,1.33
56,26.4,84.3,125.92,-13.92,-89.09,-221,0.04,-0.34,0.76
57,-4.9,126.81,147.08,-50.58,-24.63,-55,0.53,-0.49,0.4
58,-32.6,86.9,146.79,-37.4,2.95,-29.52,0.4,-0.7,0.33
59,9.61,111,153.86,-0.03,-53.08,101.5,-0.87,-0.88,1.22
60,-45,122.99,175.16,110.3,179.71,-19,-0.22,-0.58,1.51
61,-50,105.17,169.97,25.73,-140.81,-125,0.02,-0.14,0.3
62,-12.7,73.61,141.44,-65.85,-6.82,43.37,-0.42,-0.78,0.44
63,19.91,78.01,135.84,149.87,127,36.9,-0.74,0.15,1.36
64,-10,115.26,177.49,109.14,61.31,-173,-0.66,-0.24,1.23
65,-57,101.26,211.16,8.85,-56.1,-193.7,0.35,-0.05,0.99
66,-28,100.45,206.56,-86.95,-106.88,-49,0.01,-0.38,0.04
67,-24.2,86.59,190.85,13.72,29.77,76.56,-0.6,-0.58,0.68
68,-6.33,67.85,174.88,194.62,156.94,-38,-0.89,0.5,1.1
69,-1.49,56.7,161.67,160.18,-43.42,-219,-0.68,-0.07,0.79
70,2.44,52.06,147.64,16,6.46,-110.88,-0.37,-0.24,1.07
71,-2.95,57.75,138.83,-27.92,-42.47,-93,-0.11,-0.35,0.83
72,-4.86,59.14,126.1,-29.71,-62.34,-24,0.09,-0.6,0.78
73,18.09,76.9,145.93,-18.99,-33.15,-5.7,-0.02,-0.76,0.5
