,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,5.19,2.06,-9.81,250.13,-28.5,103,0.37,-1.44,0.61
1,0.43,-25.22,22.56,120.92,-103.73,1.6,0.48,0.62,-0.29
2,-17.6,-25.25,-2.88,-107.74,-0.68,-67,0.23,0.54,0.23
3,-6.2,-64.42,-54.27,-198.97,-162.1,-2,-0.04,-0.58,0.47
4,6.47,-64.75,-99.23,-179.69,-8.47,24.8,0.54,-1.32,0.68
5,-11,-105.2,-99.43,-6.98,-167.94,-43,0.48,-0.89,-0.14
6,10,-60.45,-102.61,94.93,158.04,-196,0.97,-0.05,0.1
7,-60,-22.81,-73.87,47.9,0,20.03,0.37,-0.78,-0.3
8,-51.1,14.93,-47.64,-46.74,-34.76,206,0.33,-0.95,-0.16
9,6.69,19.43,-35.69,-62.42,-9.72,196.5,-0.41,-1.95,1.15
10,51,-18.75,-71.94,15.11,64.88,-10.37,0.33,0.21,0.34
11,-2.68,-2.82,-67.65,-8.24,-26.45,-17.3,-0.08,-1.08,0.85
12,-4.5,-10.06,-69.77,159.68,111.07,61,0.43,-1.45,0.38
13,-11.53,31.83,38.55,-140.42,-18.11,-50,-0.06,-1.04,-0.33
14,-13.9,-1.08,-57.08,-232.54,-99.36,-53,0.87,-0.96,0.31
15,2.48,-29.71,-95.29,-151.31,-112.27,9,0.46,-0.75,0.16
16,6.4,-18.12,-90.27,72.27,163.11,-119,-0.38,0.57,0.47
17,-0.9,-27.87,-90.89,103.21,215.99,-250,1.11,-0.79,0.16
18,-30.9,12.16,-71.13,22.11,-3.01,15.14,0.55,-1.04,-0.01
19,-65,64.34,-44.79,-43.52,-181.76,250,0,0,40.02
20,3.94,62.09,-35.73,-29.54,-144.98,84,0.51,-1.13,0.56
21,64.7,-20.77,-54.32,43.22,128.6,-23,0.43,0.69,0.13
22,21.9,-57.24,-62.01,208.13,-64.38,113,0.31,0.09,0.56
23,-0.8,-45.59,-62.3,-37.76,-17.3,-41,0.32,-0.79,0.67
24,-5.9,-12.67,-51.32,-136.34,13.61,-97,0.28,-1.43,0.5
25,-10.9,-26.39,51.43,-220.1,-111.94,-5,1.07,-1.09,0.37
26,-25.3,-23.1,15.81,-13.5,-72.25,39.4,0.62,-0.88,0.15
27,-13,-50.8,-41.63,18.58,160.36,-32.3,0.69,-0.94,-0.02
28,-2.7,-40.5,-77.07,127.32,24.95,-202,0.31,-0.96,-0.22
29,10.2,-58.07,-79.64,105.56,95.59,-250,0.17,-1.44,0.85
30,-52,-11.78,-41.19,-74.54,-59.36,183,0.33,0.56,0.34
31,-65,12.84,-13.92,-20.22,-56.04,31.9,0.35,-0.21,0.56
32,47.7,-27.66,-56.22,-67.36,-39.73,-48,0.44,-1.54,1
33,8.29,-41.95,-61.14,-205.34,-31.2,-71,-0.25,-0.8,-0.4
34,-3.3,-32.19,-59.89,-250.14,-99.6,20,0.72,-1.16,0.59
35,8.48,-9.18,-30.65,-55.54,44.49,-18.2,0.81,-0.81,0.14
36,5.17,-16.75,30.65,-17.21,-2.37,27.95,0.55,-0.96,-0.03
37,-12.5,-44.05,46.94,91.76,151.05,-84,0.36,-0.96,-0.1
38,-18.6,-51.28,-6.88,108.95,207.15,-250,0.46,-1.47,0.66
39,5.31,-74.63,-71.22,-25.5,-108.63,52,0.22,0.43,-0.04
40,7.27,-59.17,-88.05,3.66,54.13,-12.5,0.45,0.09,0.54
41,-21,-20.4,-63.77,250.13,41.4,98.79,0.19,-1.02,0.63
42,-65,30.12,-35.6,-128.56,11.68,-71,0.72,-1.29,0.61
43,0,0,4,-250.14,6.02,-76.9,0.42,-0.95,-0.1
44,-7.41,28.2,-29.08,-136.2,-66.01,18,0.45,-1.01,0.45
45,63.3,-35.63,-57.11,56.37,169.57,-37.8,1.17,-0.84,0.35
46,13.7,-62.51,-63.59,102.73,68.56,-250,0.63,-0.79,0.2
47,-3.2,-47.32,-62.88,20.62,-218.3,0,0.42,-0.93,-0.17
48,-9.31,16.64,-39.99,-78.25,-98.34,189,0.57,-1.37,0.75
49,25.68,25.67,21.59,-67.63,-161.74,223,0.43,0.71,0.31
50,-5.8,-1.67,50.8,-52.76,-61.49,33.8,0.29,-0.31,0.44
51,4.89,-16.66,-82.4,14.08,-21.33,12.97,0.89,-1.1,0.89
52,10.2,-18.73,-86.89,26.47,192.17,-47.5,3,0,0
53,-9.8,23.28,-71.71,0,0,0.14,0.45,-0.96,0.01
54,-65,37.38,-44.58,250.13,5.4,178.89,1.1,-1.04,0.38
55,26.25,40.54,-38.39,153.27,-89.41,42,0.53,-0.43,0.22
56,49.16,12.92,-56.38,-121.29,-48.02,-13,0.5,-0.82,0.01
57,8.75,-45.17,-85.1,-235.54,-157.43,23,0.41,-0.95,0.17
58,3.37,-49.65,-80.74,-5.76,1.98,37.4,0.31,-1.67,0.99
59,-12.3,-0.68,-73.15,83.21,113.42,-173,0.46,-0.72,0.32
60,-8.09,-28.53,10.37,64.44,152.83,-250,0.4,0.74,-0.3
61,-35,-40.47,-21.42,-33.02,-73.85,188,0.49,0.23,0.41
62,6.04,-79.44,-81,8.05,-12.31,-8.79,0.51,-0.99,0.76
63,-17,-91.11,-80.3,226.15,18.08,-18.2,1.22,-1.21,0.13
64,-44,-58.04,-58.87,250.13,96.02,86.95,-0.65,-0.01,0.25
65,-65,-19.49,-41.9,-21.68,7.76,-26.7,0.79,-0.31,0.49
66,1.27,-23.67,-32.95,-149.56,-1.98,-73,0.82,-1.13,0.18
67,58.6,-55.73,-48.24,-242.61,-145.27,-5,0.64,-0.79,-0.06
68,-4.7,-76.3,-55.9,20.69,46,-27.59,0.01,-1.47,0.72
69,-2.3,-77.24,-54.26,108.35,-11.62,-250,0.35,0.01,0.39
70,-4.73,-70.02,1.81,-100.06,-121.8,21,0.69,-1.21,0.83
71,22.61,-44.48,62.1,5.51,6.74,26.17,0.82,-1.15,0.36
72,-19.1,-42.52,17.66,124.15,91.76,-0.94,1.19,-0.8,0.15
73,-14,-77.84,-45.26,228.48,43.35,67.57,-0.43,0.25,0.53
74,23,-112.22,-83.83,194.56,-144.17,84,1.39,-1.38,0.11
75,-7.1,-84.89,-78.74,-77.88,-23.54,-40,1.05,-0.95,-0.03
76,-65,-86.2,-50.33,-185.02,40.57,-124,0.42,-0.99,0.1
77,-65,-65,-24.03,-228.11,-174.66,6,0.3,-0.38,-0.12
78,36.7,-68.68,-36.8,64.43,89.72,-101.6,0.49,0.81,-0.23
79,56.5,-98.61,-61.14,54.05,187.75,-250,0.44,0.07,0.42
80,41,-133.41,-74.68,49.77,9.44,-61.14,0.21,-0.94,-0.38
81,-10,-163.17,-67.67,-55.51,-203.54,195,1.44,-0.97,0.3
82,-155,0,660,-12.01,-122.13,227,-0.31,-0.25,0.16
83,0,-126.66,-35.26,30.4,-66.32,-24.1,1.16,-0.99,0.35
84,17.5,-111.19,20.55,242.63,35.4,47.27,0.4,-0.79,-0.05
85,-10,-146.48,49.09,-40.08,27.4,-8.06,0.51,-1.39,0.68
86,-32.4,-132.16,0.99,-168.31,32.5,-26,0.33,0.56,-0.24
