,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-0.3,-27.36,-78.97,1.92,2.88,-7.11,0.18,-1.04,0.21
1,1.88,-32.56,-75.75,-3.37,6.31,-7.24,0.28,-0.97,0.02
2,-1.8,-30.27,-76.53,105.46,114.47,-76,0.26,-0.98,0.1
3,-19.9,-1.31,-49.6,250.13,42.69,-64.4,0.48,-1.35,0.66
4,-16.77,7.9,13.74,98.25,-6.94,12.15,0.57,-0.42,0.62
5,3.15,5.15,40.49,-170.02,15.58,26.4,0.25,0.78,0.06
6,6.88,8.39,-0.95,-250.14,127.55,-77,0.15,0.74,0.3
7,-20.1,39.77,-65.1,249.39,-54.89,26.7,0,-0.81,0.68
8,2.09,22.98,-56.62,225.43,-51.4,-0.2,0.24,0.37,0.27
9,-0.07,-6.08,64.29,-24.9,-2.51,12.61,0.21,1.05,0.15
10,3.27,-6.9,58.59,-100.25,-3.77,-3,0.23,0.83,0.38
11,-0.78,-8.12,33.8,-250.14,52.73,-42,0.03,-0.09,0.54
12,-11.15,5.25,-30.37,-20.15,-1.81,9.35,68573,150.64,-30
13,-17.64,2.68,-54.72,-114.63,31.3,-0.6,0.17,0.94,0.21
14,23.64,-16.28,-1.55,250.13,-117.98,75,0.26,0.97,0.04
15,2.42,-28.49,72.73,135.76,2.51,-1.92,0.22,0.88,0.2
16,-0.15,-20.09,44.06,-37.26,23.07,-2.76,0.21,0.26,0.69
17,0.47,-4.24,-7.68,-159.72,68.39,4.6,-0.25,-1.09,0.72
18,-0.5,-5.47,43.4,-250.14,-6.73,-34,-0.28,-0.98,1.02
19,2.09,-14.82,58.49,127.47,-38.14,82.1,-0.05,-0.62,0.84
20,-8.86,5.24,-54.02,8,0,20.06,0.1,0.28,0.59
21,-3.9,-12.18,-60.48,-2.31,-12.43,6.15,0.18,0.92,0.25
22,21.2,-20.63,-28.25,-48.45,-6.18,-10.9,0.19,0.9,0.35
23,1.35,-36.89,53.75,-175.99,29.91,-7.9,0.18,0.53,0.5
24,1.6,-39.4,53.6,150.03,-91.37,-48,0.29,-0.45,0.85
25,-2.85,-40.06,41.95,132.42,-23.6,38,0.21,0.64,0.38
26,-14.2,-0.93,-66.05,-90.73,17.82,-11.2,0.42,1.01,0.23
27,-2.3,-11.4,-67.5,-165.27,33.32,-41,0.26,0.5,0.55
28,-12.5,-43.54,14.36,187.69,-61.4,12.5,-0.54,-1.2,0.98
29,9.9,-47.79,49.48,147.98,-139.22,-26,0.14,0.09,0.74
30,-0.18,-52.71,46.23,-23.37,5.12,0.88,0.03,0.68,0.3
31,-2.93,-46.82,23.89,-118.58,25.78,25.5,0.38,1.01,0.16
32,-10,-13.64,-31.6,-250.14,65.4,-32,0.26,0.72,0.46
33,-10.8,-4.45,-73.39,122.74,2.89,51.14,-0.15,-0.75,0.74
