,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.17,-18.05,-41.55,7.43,0.14,-0.47,0.24,-0.98,-0.04
1,0,-17.83,-41.53,4.05,-3.98,0.64,0.24,-0.97,-0.06
2,2.56,-5.49,-44.1,5.56,0.23,-0.1,0.24,-0.97,-0.06
3,0.52,15.04,-46.05,-5.57,49.76,9.9,0.32,-0.94,-0.02
4,-2.3,28,-44.38,-2.88,83.39,2,0.23,-1.03,-0.15
5,-0.49,35.88,-42.74,12.02,56.08,-8.89,0.17,-1,-0.1
6,-0.9,44.59,-46.85,12.53,37.36,-1.89,0.14,-1,0.04
7,-1.47,54.42,-49.57,-11.05,42.92,-3.49,0.22,-0.92,0.02
8,0.33,81.4,-54.19,-6.24,48.92,-5.69,0.23,-0.95,-0.03
9,-1.7,103.98,-57.18,-14.86,119.73,1.27,0.27,-0.98,-0.14
10,-5.8,118.58,-59.46,-8.6,105.18,-6.87,0.19,-1.01,-0.19
11,-1.3,125.94,-61.5,-5.09,76.43,-22.58,0.1,-0.95,-0.07
12,-4.3,125.03,-62.15,-5.44,50.7,-5.07,0.2,-0.9,-0.06
13,8.51,137.46,-66.92,-0.21,18.61,-16.61,0.23,-1,-0.07
14,1.12,147.89,-63.71,-17.18,72.5,32.86,0.25,-0.95,-0.07
15,-9.2,159.69,-62.07,13.75,66.75,4.33,0.3,-1,-0.11
16,-1.5,165.09,-66.22,8.37,72.15,-35.68,0.15,-1.15,-0.27
17,9.02,167.13,-68.61,-13.33,48.15,-5.97,0.1,-0.99,0.08
18,-11,166.91,-68.53,-8.55,37.46,34.82,0.28,-0.93,0.05
19,11.8,182.03,-74.46,1.56,26.05,-42.26,0.23,-0.99,-0.01
20,-1.7,192.62,-77.4,-23.02,89.91,45.51,0.29,-0.99,-0.09
21,-11,199.54,-77.26,-11.67,74.12,-6.84,0.25,-1.01,-0.09
22,3.71,208.29,-79.2,0.37,60.55,-43.26,0.21,-0.94,-0.1
23,-4.9,201.81,-77.97,-7.52,68.78,14.28,0.18,-0.92,0.02
24,7.49,205.18,-83.23,4.63,9.51,-18.95,0.22,-0.97,-0.01
25,-6.6,219.48,-86.82,-21.94,48.66,28.92,0.27,-0.9,-0.06
26,-7,225.45,-82.78,-15.77,92.37,-25.5,0.24,-0.96,-0.13
27,4.26,229.21,-87.17,14.42,60.87,-27.24,0.19,-1.07,-0.2
28,3.41,235.18,-86.29,-18.5,53.28,16.39,0.2,-0.86,0.02
29,-7.6,246.46,-89.42,1.65,63.23,13.18,0.3,-1.15,0
30,-1.6,266.68,-95.24,-14.83,85.04,-29.3,0.2,-0.95,-0.23
