,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-13.7,23.86,-30.32,19.88,-50.16,-11.9,0.52,-1.14,0.07
1,-65.2,41.01,-13.23,-23.35,185.41,-52,0.78,-0.54,0.13
2,1.31,49.77,10.63,68.82,80.99,-250.1,0.26,0.44,0.52
3,45.04,24.26,5.48,63.05,37.68,-79.8,0.17,0.73,0.5
4,64.78,-4.22,44.62,15.62,15.75,4.69,0.4,0.27,0.3
5,38.1,-48.48,53.74,-23.63,-87.4,173,1.5,-0.44,0.19
6,-12.7,-49.03,47.23,160.89,-99.04,250,0.79,-1.28,-0.16
7,-63.6,-1.71,104.27,52.97,-172.95,146,0.42,-1.06,0.05
8,51.56,13.27,132.92,-6.55,-6.56,-49.02,1.2,-1.58,0.77
9,11.03,10.35,130.97,242.86,186.51,-243,-0.11,-0.47,0.33
10,-6.54,0.75,129.1,140.6,58.21,199,0.25,0.64,0.41
11,-22.9,-41.73,86.3,4.98,-6.66,42.4,0.18,0.63,0.66
12,59.46,-75.49,33.41,6.68,-35.1,-25.27,0.46,0.07,0.05
13,-3.04,-85.86,19.01,-152.65,-157.88,-8,0.99,-0.88,0.46
14,-11.9,-62.81,11.23,-191.86,-134.75,22,0.41,-1.2,0.26
15,-64.7,-16.76,-2.37,-41.42,-50.68,-11,0.4,-1,-0.2
16,-25.84,-4.43,12.1,-16.33,76.17,-42.5,1.03,-0.78,0.04
17,12.93,-10.52,19.31,-46.9,183.57,-250,0.28,0.4,0.38
18,65.03,-74.93,17.18,51.2,51.11,-99.38,0.15,0.73,0.6
19,54.5,-132.16,32.06,12.52,-7.6,7.27,0.04,0.57,0.49
20,-2.6,-130.44,30.07,4.93,-15.5,46.34,0.69,-0.4,-0.06
21,9.13,-62.96,47.81,-0.69,-250.14,250,1.17,-1.24,-0.43
22,26.5,-39.89,105.91,69.58,-234.64,209,0.03,-1,0.04
23,20,-56.55,125.22,11.13,-14.03,-10.2,0.09,-1.2,0.28
24,-2.9,-52.22,122.51,88.11,250.13,35.11,-0.1,-1.19,0.84
25,-28,-87.5,106.41,250.13,82.02,102.5,0.15,0.41,0.05
26,9.4,-95.01,38.57,83.21,-70.08,77.28,0.24,0.6,0.68
27,28.8,-107.49,-0.63,2.85,10.67,-11.53,0.09,0.46,0.27
28,2.08,-126.33,-4.61,-54.15,-148.18,-10,0.29,-0.37,0.45
29,-50,-60.81,-20.16,-250.14,-40.11,36,0.72,-1.29,0.58
30,-65.2,-39.38,13.77,-142.15,-60.89,110,-0.03,-1.16,0.21
31,-5.82,-29.73,14.23,-3.33,-93.28,8.02,0.87,-1.25,-0.16
32,2.73,-23.47,16.17,-54.53,248.79,-194,0.15,-0.28,0.22
33,64.72,-56.28,13.78,139.66,79.45,-250,0.03,0.54,0.52
34,51.07,-52.12,19.83,-3.31,32.69,-22.38,0.21,0.61,0.64
35,14.33,-63.13,18.41,3.28,22.56,10.56,0.66,-0.05,0.38
36,-3.02,-38.54,26.45,-6.39,-126.08,249,1.15,-0.64,0.01
37,8.87,14.74,85.66,31.24,17.49,197.18,0.54,-1.18,-0.19
38,33.5,-18.73,116.16,7.79,-48.57,55.11,0.23,-1.12,0.1
39,6.43,-25.8,114.84,47.76,90.56,-11.64,0.02,-1.39,1
40,-16,-36.02,110.02,250.13,207.43,34.1,-0.05,-0.09,0.09
41,-15.4,-56.53,61.71,143.12,-135.39,129,0.37,0.64,0.58
42,34.11,-6.63,-1.84,6.4,-27.63,24.73,0.14,0.56,0.44
43,1.21,-24.4,-9.9,-9.08,-43.44,-63.1,-0.07,-0.18,0.53
44,-17.72,-0.69,-5.27,-173.65,-89.4,-59,0.73,-1.19,0.61
45,-64.79,33.83,-3.15,-236.5,195.46,131,0.31,-1.09,0.23
46,-38.84,41.89,15.11,-21.32,-69.73,4.65,0.41,-1.09,0
47,-1.94,42.76,22,28.11,94.37,-68.14,0.55,-0.47,0.26
48,11.8,43.73,26.32,13.76,146.07,-250,0.15,0.08,0.49
49,64.78,-23.11,39.44,71.48,40.57,-149.9,0.21,0.71,0.63
50,56.14,-42.18,52.64,22.55,12.17,-7.47,0.11,0.5,0.59
51,-17.5,-38.39,39.66,14.56,12.11,45.57,1.19,-0.31,-0.21
52,-13.06,-5.77,57.6,59.27,-250.14,250,0.71,-1.1,-0.24
53,27.78,26.05,115.2,68.13,-74.92,215.9,0.24,-1.04,-0.16
54,24.7,-31.95,129.66,-31.73,10.5,-67.5,0.34,-1.23,0.41
55,0.17,-29.91,124.46,88.89,126.89,-50.2,-0.05,-1.11,0.72
56,-28,-57.2,107.3,250.13,126.7,107,0.17,0.3,0.2
57,44.94,-78.34,60.05,68.6,-224.2,95.1,0.36,0.48,0.82
58,44.99,-77.95,24.89,-4.53,6.37,0.64,0.25,0.38,0.29
59,-12.4,-92.24,21.48,-56.21,-110.11,-11,0.66,-0.22,0.52
60,-52.86,-56.55,7.25,-169.77,-85.9,172,0.79,-1.52,0.42
61,-65.04,5.51,7.28,-121.69,-6.73,173,0.44,-0.94,0.06
62,-7.56,17.22,18.05,0.68,-66.01,-48.11,0.95,-1.47,-0.17
63,-0.87,20.75,20.72,-44.63,133.98,-204,0.92,-0.36,0.19
64,50.85,-20.93,19.45,4.65,250.13,-250.1,0.08,0.5,0.55
65,65.03,-9.74,43.09,37.75,48.98,-29.2,0.08,0.66,0.7
66,26.49,-34.36,32.72,6.73,17.77,-3.34,0.21,0.19,0.33
67,1.1,-18.15,31.24,-5.94,-159.64,196,0.68,-1.06,-0.02
68,-34.7,-12.19,72.23,101.29,52.21,250.1,0.33,-0.99,-0.04
69,59.65,27.67,101.84,-25.54,-95.34,102,0.65,-1.45,0.97
70,15.53,28.17,104.31,10.75,62.14,4.23,-0.06,-0.5,0.46
71,-2.64,23.35,103.38,178.1,24.35,-134,0.08,0.5,0.39
72,-23.3,-15.32,63.45,137.75,156.91,229,-0.02,0.54,0.71
73,31.67,-39.47,-3.14,7.01,-15.05,-10.21,0.51,-0.05,0.27
74,6.05,-53.12,-19.79,-142.58,-141.39,-8,0.52,-0.9,0.68
75,-5.6,-27.48,-20.22,-250.14,-95.58,122,0.43,-1.33,0.22
76,-65,-0.03,-28.69,-55.98,-58.21,23.2,0.22,-1.01,-0.18
77,-43.8,45.52,-5.47,7.05,96.53,-21.82,0.78,-1.13,-0.12
78,-3.32,45.11,3.31,-28.31,111.05,-250,0.42,0.15,0.28
79,6.82,40.26,5.5,86.14,191.73,-169,0.01,0.47,0.73
80,64.53,-16.36,9.22,29.02,5.79,-12.79,0.03,0.46,0.65
81,44.31,17.16,-8.31,3.65,-11.82,26.22,0.83,-0.22,0.26
82,6.32,-14.27,-16.5,18.22,-211.21,250,-0.12,-0.43,0.08
83,17.47,48.36,-1.76,-57.23,129.25,170,0.2,-1.17,0.28
84,4.06,40.13,58.3,-21.94,-121.5,24,0.3,-1.37,0.91
85,24.82,41.91,85.13,68.18,250.13,67.21,-0.13,0.18,0.1
86,-0.22,39.91,81.48,250.13,-23.67,15.6,0.12,0.47,0.74
87,-26.13,7.26,66.77,109.68,8.4,95.84,-0.03,0.44,0.42
88,5.05,-16.96,14.09,-6.14,-0.11,-0.85,0.12,-0.2,0.58
89,30.2,-36.76,-41.6,-53.49,-125.34,-10,0.84,-1.42,0.48
90,1.69,6.8,-46.46,-197.37,-94.11,19,0.33,-1.12,0.05
91,-38.2,21.6,-41.94,-212.73,-77.66,116,0.35,-1.33,-0.03
92,-65.2,44.5,-36.77,-14.38,171.27,6.48,0.89,-0.5,0.22
93,-19.8,70.65,-22.17,22.85,62.97,-147.7,0.29,0.45,0.43
94,-1.34,68.25,-17.59,18.5,104.17,-250,0.3,0.7,0.69
95,36.23,29.59,-17.78,46.24,116.26,-76.7,0.23,0.29,0.28
96,65.03,-7.23,-2.55,7.96,4.47,-5.18,0.58,-0.12,-0.12
97,51.11,-65,25.7,-9.87,-139.69,139,0.76,-1.68,-0.39
98,-3.88,-46.99,24.09,60.05,-131.03,250,0.25,-0.99,-0.05
99,-15.8,-17.52,80.74,123.37,-229.69,197,0.54,-1.57,0.97
100,41.63,-8.22,121.19,9.76,64.06,-14.94,-0.03,-0.33,0.3
101,16.3,-12.49,123.43,240.51,113.56,-61,0.35,0.45,0.55
102,-12,-16.62,119.29,182.73,33.89,160.1,0.02,0.56,0.62
103,-31.7,-22.75,75.63,22.9,-14.28,63.18,0.12,-0.11,0.28
104,35.86,-33.08,17.31,-3.56,-18.31,-47.6,1.19,-1.46,0.79
105,-2.02,-51.41,16.49,-153.24,-23.82,-12,0.13,-1.04,0.22
106,-31.81,-10.27,9.15,-213.42,-39.2,137,0.74,-1.21,-0.04
107,-65.04,31.33,25.68,11.7,-77.59,-7.76,0.72,-0.54,0.17
108,-23.01,34.09,38.35,-17.46,162.23,-122,0.22,0.36,0.49
