,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,0.25,-19.24,85.16,6.49,4.59,0.95,0.22,0.87,-0.62
1,-5.11,-17.56,79.27,-18.96,6.18,-19.74,0.29,0.89,-0.53
2,-15.72,-4.63,72.31,-25.67,49.67,-60.6,0.06,1.03,-0.48
3,39.76,-57.57,72.39,6.09,-212.22,152.9,0.06,0.58,-0.78
4,4.94,-68.69,63.43,-31.42,-48.8,19,0.65,0.84,-0.59
5,-19.3,-43.93,58.26,-21.04,91.02,-74.6,0.28,0.95,-0.34
6,-0.57,-40.22,74.72,65.31,6.74,-2.2,-0.12,0.86,-0.44
7,22.18,-44.93,70.68,-10.08,-21.45,79.2,0.25,0.7,-0.75
8,4.83,-52.44,65.52,-16.06,-32.27,18.5,0.61,0.79,-0.63
9,-17.5,-30.11,59.89,-21.86,84.18,-67.9,0.32,0.94,-0.41
10,-8.25,-20.59,71.25,44.33,31.93,-31.73,-0.15,0.91,-0.35
11,21.71,-21.45,69.97,-0.17,-3.48,83.81,0.37,0.68,-0.72
12,6.51,-32.09,65.13,-14.77,-41.79,25.1,0.54,0.75,-0.69
13,-21,-14.57,58.61,-23.95,69.31,-80.7,0.51,0.9,-0.49
14,-16.66,2.64,56.98,-8.4,65.68,-64.34,-0.13,0.93,-0.31
15,13.92,-8.16,64.49,30.61,-41.92,53.55,0.11,0.86,-0.62
16,22.71,-27.79,60.69,-10.79,-74.76,87.3,0.64,0.71,-0.71
17,-16.59,1.63,55.71,-7.53,31.09,-52.52,0.48,0.91,-0.52
18,26.06,-9.47,68,-12.62,77.51,-59.2,0.03,1.02,-0.29
19,35.21,-23.99,63.99,50.13,-45.21,100.6,-0.08,0.66,-0.52
20,-15.6,-28.01,58.56,-9.82,-55.5,135.4,0.47,0.52,-0.81
21,-22.82,-5.87,49.39,-18.17,-14.71,-60,0.68,0.82,-0.65
22,-1.16,5.89,70.37,-38.37,85.24,-87.4,0.15,0.93,-0.31
23,31.45,-6.11,70.45,82.81,45.22,-4.48,-0.11,0.78,-0.45
24,9.16,-18.21,63.49,5.63,-44.28,121.44,0.34,0.65,-0.77
25,-22.54,10.87,55.36,-22.63,-44.5,35.2,0.62,0.74,-0.73
26,-16.34,28.03,64.16,-29.3,119.89,-87,0.09,0.93,-0.35
27,8.15,20.85,79.55,33.09,71.31,-62.85,-0.06,0.68,-0.91
28,34.5,1.2,69.78,66.31,-24.85,31.46,0.76,0.57,-0.74
29,-16.29,2.9,66.25,-30.98,-69.34,133,0.7,0.84,-0.66
30,-19.9,23.98,57.24,-9.56,12.32,-62.66,0.3,0.93,-0.32
31,-3.53,30.54,83.01,-36.01,88.02,-76.8,-0.13,0.81,-0.68
32,38.95,18.46,79.64,104.86,29.15,-13.6,0.35,0.55,-0.85
33,3.85,4.99,73.14,-5.11,-40.43,149.8,0.67,0.59,-0.75
34,-25.61,27.84,61.96,-18.19,-45.43,14.8,0.47,0.89,-0.63
35,-15.58,35.97,70.52,-40.99,96.43,-98.8,0.07,0.92,-0.42
36,31.41,17.55,77.17,33.81,37.63,-59.92,0.01,0.71,-0.67
37,21.33,1.36,72.09,30.56,-68.18,121.2,0.42,0.56,-0.69
38,-12.45,5.83,67.33,-13.5,-57.98,82,0.7,0.72,-0.74
39,-31.2,38.06,63.21,-13.18,23.68,-48,0.23,0.98,-0.39
40,16.74,26.21,71.87,-15.11,123.04,-111,-0.17,0.8,-0.63
41,24.23,13.89,70.98,36.52,-42.75,64.15,0.33,0.63,-0.82
42,-3.91,7.15,67.08,2.26,-42.48,93.53,0.7,0.73,-0.65
43,-20.08,24.39,63.68,-10.19,-19.07,-15,0.6,0.87,-0.51
44,-16.79,33.05,72.19,-10.63,75.4,-77.5,0.32,0.93,-0.34
45,11.6,30.98,80.41,34.26,41.6,-64.82,0.23,0.77,-0.44
46,14.9,14.79,75.93,35.36,-0.66,44.6,0.38,0.55,-0.88
47,-18.73,25.98,77.24,-9.91,-56.89,57.52,0.8,0.76,-0.63
48,-19.84,41.08,78.24,11.6,53.65,-72.34,0.2,0.92,-0.55
49,1.99,42.88,93.73,7.2,66.37,-76.31,0.06,0.84,-0.33
50,30.18,28.75,91.07,63.92,14.45,7.66,0.46,0.35,-0.91
51,16.08,0.44,77.06,1.37,-45.89,116.51,0.96,0.64,-0.84
52,-21.08,28.18,76.81,-45.84,-102.03,61,0.63,0.78,-0.78
53,-15.04,36.4,84.1,5.31,116,-81.08,0.09,0.83,-0.54
54,17.75,34.81,88.1,32.53,38.37,-58.05,0.28,0.72,-0.81
55,19.32,33.76,83.68,23.09,1.83,68.26,0.61,0.51,-0.93
56,4.02,14.31,70.23,-7.56,6.15,74.58,0.73,0.69,-0.74
57,-29.38,44.66,71.64,-46.02,-67.01,15.5,0.34,0.88,-0.55
58,4.42,34.63,84.55,7.69,118.15,-105.3,0.02,0.86,-0.73
59,30.03,27.09,81.99,55.25,-32.86,17.01,0.21,0.4,-0.81
60,10.99,5.43,71.9,-0.87,-22.56,115.5,0.96,0.55,-0.88
61,-21.47,39.92,59.79,-31.04,-75.84,42.4,0.72,0.74,-0.69
62,20.85,42.81,78.94,2,-18.89,0,0.2,0.77,-0.27
63,34.72,9.11,63.01,-31.05,78.17,-72.6,0.24,0.57,-0.68
64,-12.23,18.3,74.01,-11.55,67.56,-76.9,0.44,0.48,-0.92
65,-0.29,52.04,77.96,80.21,20.42,80.18,0.52,0.67,-0.74
66,31.31,34.33,77.38,-55.44,-124.93,134,0.38,0.88,-0.71
67,-5.76,30.57,68.56,48.34,42.67,-47.03,0.21,0.8,-0.47
68,-25.59,53.09,61.98,4,-26.91,0,0.23,0.66,-0.83
69,-13.24,61.54,67.92,-32.44,114.24,-103,0.9,0.42,-0.69
70,13.25,52.19,81.83,50.08,33.7,-1.05,0.49,0.87,-0.49
71,21.21,28.71,75.74,4.17,-60.66,120.42,0.14,0.84,-0.2
72,-9.61,21.38,70.02,-26.28,-1.83,-22.2,-0.15,0.82,-0.72
73,-18.38,50.44,66.96,-23.71,99.68,-98.8,0.54,0.6,-0.89
74,5.78,39.99,83.6,21.88,43.73,-50.73,0.72,0.72,-0.63
