,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-2.56,-7.36,62.32,113.08,-33.15,-23,0.12,0.2,0.71
1,-2.5,5.56,57.04,49.76,22.85,-9.85,-0.01,0.58,0.63
2,2.64,-2.7,30.85,-19.18,51.37,-9.67,0.06,0.69,0.59
3,-2.7,-8.62,17.17,-97.52,-34.41,10.1,-0.16,0.1,0.69
4,-1.15,-6.38,12.74,-49.24,-23.7,-10,0.07,-0.1,1.12
5,-3.52,-28.44,22.63,-13.96,7.31,-4.45,-0.03,-0.12,0.97
6,-11.3,-17.74,49.35,43.95,-92.03,-13.5,-0.29,-0.28,1.14
7,-5.2,-5.31,63,111.2,41.4,-43.7,0.26,-0.01,0.79
8,-3.89,-6.36,66.96,56.75,45.92,-19.98,-0.08,0.44,0.59
9,2.42,22.36,34.7,18.23,-5.27,-15,-0.02,0.7,0.61
10,3.68,14.25,19.41,-122.37,116.97,9.2,0.32,0.41,0.86
11,-2.56,15.19,11.93,-56.31,-30.34,14.2,-0.15,0.04,1
12,-2.18,17.48,11.74,-25.21,6.27,-9.9,0.02,-0.2,1.05
13,1.98,14.42,42.48,3.22,10.52,-8.4,-0.12,-0.22,0.96
14,-4.31,7.63,59.72,127.14,-11.37,7.64,-0.19,-0.16,0.89
15,-6.34,5.7,72.34,72.6,-24.03,-16.6,0.09,0.31,0.75
16,7.8,1.73,65.66,53.03,-5.38,-24.4,0.11,0.6,0.61
17,12.76,10.66,34.71,-22.85,-14.89,30.1,0.01,0.66,0.61
18,-2.16,14.71,21.6,-115.6,34.05,49.2,-0.17,0.13,0.71
19,-1.77,10.55,17.23,-46.63,18.65,-8.34,0.07,-0.05,0.99
20,-0.19,12.96,18.21,-12.71,-14.54,-6.8,-0.02,-0.16,1
21,-8.37,8.01,44.94,8.31,11.96,-0.75,0.07,-0.19,1.06
22,-8.7,18,61.98,111.47,-15.05,-32,0.32,-0.12,1.02
23,-6.3,-17.25,72.11,70.25,44.24,-33.46,0.24,0.41,0.59
24,6.05,26.29,46.37,43.4,-136.73,-24,0.21,0.66,0.61
25,0.83,5.36,31.49,-100.76,173.32,23,0.15,0.73,0.44
26,-1.39,2.4,21.07,-55.22,-80.57,3.21,-0.06,0.25,0.79
27,0.26,2.23,19.23,-35.75,-10.88,-5.3,0.02,-0.12,0.99
28,-4.25,7.49,27.46,-1.84,0.71,0.99,0.12,-0.25,1.06
29,-9.93,0.9,52.92,37.82,21.44,-16.4,-0.01,-0.24,1.33
30,-7.28,-0.29,64.4,49.32,-3.43,-28.11,0.17,0.13,0.74
31,-2.22,-31.49,61.84,-7.6,-124.32,-8.5,0.11,0.46,0.7
32,12.82,-19.08,19.02,-164.73,34.95,49.5,0.12,0.69,0.62
33,1.72,-32.72,5.74,-50.15,-57.65,6.6,-0.78,0.24,0.35
34,-0.82,-32.68,0.71,-18.19,-4.4,-3.18,0,0,1.01
35,-1.58,-30.88,1.05,3.17,2.04,-6.08,0.07,-0.12,0.98
36,-2.15,-30.66,16.12,62.34,-4.9,-8.31,0.01,-0.18,0.97
37,-10.6,-28.18,43.45,109.19,5.39,-40.76,-0.11,-0.21,1.23
38,-0.61,-18.35,50.41,28.41,36.24,-2.36,0.03,0.22,0.67
39,-1.53,-15.94,47.93,-9.72,8.46,-5.92,0.11,0.54,0.61
40,-4.43,-21.91,25.03,-86.23,-35.12,-17,0.17,0.7,0.59
41,-1.7,-11.17,12.59,-45.79,36.72,-6.58,-0.83,0.21,0.58
42,-1.05,-8.15,8.73,-12.07,8.35,-4.03,-0.31,-0.02,0.94
43,-1.01,-4.69,8.82,3.61,11.24,-3.92,-0.21,-0.14,0.93
44,-3.32,-16.68,57.45,81.53,-14.53,-26.3,-0.15,-0.19,0.95
45,-8.62,-21.02,68.66,116,-38.11,-12,0.16,-0.09,1.26
46,1.96,-7.89,64.81,47.92,-20.46,-33.2,-0.24,0.29,0.52
47,11.68,-36.99,41.1,-10.98,47.11,7.57,-0.03,0.5,0.61
48,-2.72,-48.62,26.84,-87.25,-117.29,45,-0.22,0.57,0.63
49,-2.38,-46.57,22.6,-49.95,-53.2,-10,0.1,0.21,0.82
50,-0.15,-38.52,23.75,-10.93,-0.45,-9.17,-0.08,-0.07,1.01
51,-5.47,-25.33,50.56,10.02,27.02,-0.59,-0.09,-0.19,0.98
52,-5.17,-35.91,68.75,111.95,46.19,-21.1,0.25,-0.21,1.06
53,-16.2,-24.77,79.71,75.11,-45.63,-19.8,-0.07,-0.03,0.93
54,6.65,-19.12,70.06,49.27,38.52,-62.81,0.07,0.47,0.63
55,-1.12,-36.61,48.16,-34.85,15.79,25.67,-0.05,0.5,0.67
56,2.18,-44.88,37.27,-79.24,-78.54,-4.3,-0.28,0.73,0.43
57,-2.18,-47.15,32.74,-35.08,-38.36,8.43,-0.4,0.19,0.61
58,-0.16,-41.88,32.17,-10.72,-15.74,-8.4,0.09,-0.11,1.06
59,-1.3,-48.27,57.62,4.8,13.67,-0.6,0.06,-0.14,0.86
60,-3.5,-37.81,71.56,108.9,-30.53,-5,0.01,-0.2,0.98
61,-5.41,-47.18,82.54,60.81,32.71,-13.5,0.22,-0.16,1.05
62,8.99,11.29,72.66,48.81,-43.76,-20.8,-0.12,0.34,0.63
63,1.88,-15.48,55.05,-33.69,228.12,34.6,-0.01,0.58,0.66
64,-0.33,-10.68,43.81,-61.63,-110.73,7.2,0.13,0.63,0.6
65,-4.58,-0.71,42.13,-35.44,17.79,-1.29,-0.4,0.21,0.64
66,-2.08,21.32,38.32,1.84,37.77,-17.69,0.11,-0.1,1.05
67,0.74,-0.07,69.43,-7.06,86.08,-8.05,-0.07,-0.17,0.97
68,-9.16,7.16,84.98,132.38,-81.39,2.85,-0.26,-0.16,0.95
69,-3.16,9.12,87.44,68.14,29.54,-35.36,0.11,-0.1,0.84
70,0.75,53.44,57.59,14.66,9.31,-12.18,0.04,0.44,0.64
71,4.29,34.81,38.49,-112.08,178.4,2.9,0.03,0.67,0.46
72,-0.77,35.78,32.75,-67.45,-63.47,16.5,-0.11,0.49,0.61
73,-1.45,47.6,28.78,-16.08,8.92,-2.96,0.34,-0.01,1.06
74,1.24,51.59,44.94,-8.7,50.79,-5.6,-0.06,-0.09,0.98
75,-7.03,29.68,70.52,71.24,20.95,4.77,-0.26,-0.21,0.9
76,-3.86,30.36,80.35,108.06,-82.46,-27,-0.37,-0.22,1.19
77,-3.89,32.77,83.82,44.69,7.34,-14.84,-0.24,0.14,0.71
78,3.34,70.6,52.04,20.05,12.5,-15.03,-0.01,0.47,0.62
79,3.45,50.12,34.31,-122.82,153.29,12,-0.19,0.59,0.61
80,-0.2,45.24,26.88,-62.37,-72.9,13.3,-0.36,0.65,0.34
81,0.24,44.1,29.21,-23.12,-12.06,-0.7,-0.19,-0.06,0.91
82,0.14,46.43,45.43,15.68,1.56,0.92,-0.05,-0.13,0.97
83,-9.62,50.48,65.99,70.76,16.73,0.55,-0.12,-0.21,0.96
84,-5.72,45.25,75.2,86.87,25.55,-37.13,0.03,-0.1,1.1
85,-0.14,77.81,69.32,41.4,-12.47,-22.1,0.16,0.28,0.77
86,-1.18,57.95,46.51,-19.66,139.33,-0.5,0.04,0.54,0.66
87,-1.57,62.86,32.64,-83.32,-70.34,-4.5,0.1,0.68,0.55
88,-2.06,53.46,27.42,-48.53,26.86,-6.07,-0.28,0.26,0.72
89,1.95,47.09,25.7,-14.32,-29.12,-7.9,-0.22,0.02,0.91
90,-13.77,37.07,47.71,-1.13,-18.43,7.52,-0.16,-0.15,0.96
91,-4.98,46.46,66.98,94.74,-32.56,-53.1,-0.15,-0.14,0.92
92,-1.93,38.2,75.83,81.56,44.93,-19.24,0.02,-0.27,1.18
93,0.39,58.32,67.47,40.72,-24.37,-7.47,0.1,0.29,0.69
94,0.26,20.05,52.42,-29.61,86.71,1.52,0.13,0.51,0.71
95,-4.83,31.06,40.98,-51.27,-151.49,1,-0.04,0.72,0.58
96,-0.23,28.17,34.73,-37.02,46.19,-18.6,-0.74,0.19,0.77
97,-0.85,26.62,36.11,-17.1,-7.65,-0.88,-0.14,-0.06,0.98
98,0.49,6.64,49.87,13.1,-2.75,-3.28,-0.11,-0.14,0.93
99,-7.52,3.55,70.03,62.11,-75.93,1.89,-0.12,-0.22,1.01
100,-8.59,18.76,75.97,86.29,-10.8,-29,0.02,-0.12,1.15
101,-2.17,26.78,75.84,31.01,63.73,-33.15,0.04,0.2,0.62
102,17,24.2,41.81,5.4,35.02,-8.33,0.21,0.42,0.84
103,3.18,21.31,30.59,-126.65,-6.99,65.6,-0.01,0.58,0.73
104,-1.17,19.13,24.32,-38.73,-9.23,12.27,-0.08,0.17,0.75
105,-1.47,20.96,23.08,-19.09,-5.64,-4.53,-0.15,0.03,0.92
106,-5.59,6.79,36.28,0.46,10.33,-5.68,-0.03,-0.13,0.97
107,-4.52,20.04,57.2,58.43,-53.85,-21.5,-0.01,-0.17,0.98
108,-0.07,7.84,72.55,87.69,50.44,-17.44,-0.03,-0.21,1.19
109,-6.25,20.58,72.32,65.61,-45.76,-0.28,-0.33,0.2,0.7
110,2.51,-1.02,48.79,2.82,53.93,-24.14,0.01,0.48,0.73
111,-2.23,-10.79,39.73,-84.06,-89.24,9.7,0.13,0.62,0.52
112,-0.54,-13.37,33.86,-28.63,-40.27,-8.6,-0.59,0.12,0.83
113,-2.14,-14.25,36.58,-15.86,-12.27,-2,-0.09,0.01,0.98
114,-2.2,-39.38,65.02,17.8,-6.39,-8.25,-0.02,-0.14,0.99
115,-5.11,-27.89,75.93,118.68,-105.62,-8,-0.09,-0.18,1.18
116,-3.41,-22.05,77.73,49.1,41.68,-19.57,-0.16,0.12,0.65
117,10.34,6.72,50.01,11.97,18.35,-13.18,0.2,0.43,0.72
118,1.44,0.2,33.44,-105.97,109.75,39,-0.06,0.63,0.6
119,-4.22,-1.73,27.04,-58.95,-25.82,5.55,-0.18,0.49,0.48
120,-0.25,-5.36,25,-19.66,-8.98,-16.3,-0.07,0.04,0.98
121,-3.46,-0.82,37.54,-2.25,-15.72,-0.98,-0.13,-0.07,0.95
122,-7.45,10.66,57.09,55.39,20.51,-13.36,-0.1,-0.18,1.02
123,-4.8,8.14,65.97,82.04,45.95,-28.77,0.37,-0.11,1.06
124,-1.45,2.51,67.33,41.04,-8.85,-18.44,-0.01,0.2,0.67
125,-1.12,14.32,39.19,8.15,-21.18,-5.6,-0.04,0.31,0.74
126,3.9,-4.48,26.32,-106.82,42.12,-4.3,0.01,0.64,0.55
127,1.15,-3.07,23.18,-44.43,-75.26,15,-0.44,0.35,0.5
128,-2.28,-0.91,23.3,-7.08,3.73,4.46,-0.24,-0.13,1.11
129,-6.13,0,44.55,5.69,7.75,-8.79,-0.13,-0.14,0.94
130,-4.29,-2.62,62.48,89.96,5.27,-23.66,-0.05,-0.17,1.04
131,-4.28,-0.23,69.17,77.09,-11.36,-16.5,0.2,-0.09,1.03
132,2.62,14.12,62.79,30.53,8.6,-16.53,-0.07,0.18,0.74
133,3.28,11.05,41.3,-22.08,56.88,10.11,-0.05,0.51,0.61
134,-2.98,13.01,29.75,-77.6,-12.21,12.6,-0.08,0.66,0.62
135,0.99,8.37,27.89,-38.65,8.52,-11.51,-0.21,0.12,0.86
136,0.81,5.12,31.78,-0.69,-18.08,3.83,-0.13,-0.13,1.02
137,-4.33,-5.5,52.33,22.09,-13.04,3.12,-0.16,-0.21,0.95
138,-7.18,3.6,69.34,87.21,-40.08,-16.7,-0.15,-0.23,1.03
139,-1.21,-6.22,76.23,72.89,35.87,-27.74,0.18,0.05,0.91
140,7.9,29.28,58.34,30.7,-39.77,-4.66,0.01,0.33,0.72
141,9.49,35.85,38.75,-69.06,139.92,30.5,-0.08,0.68,0.55
142,-2.17,36.86,33.35,-70.85,30.56,36.65,-0.18,0.74,0.42
143,0,37.04,29.72,-14.34,9.37,-8.36,-0.06,0.15,0.93
144,-0.89,31.85,37.01,-7.72,5.85,0,-0.05,-0.12,1.01
145,-2.53,28.35,57.14,35.74,-15.02,-3.44,-0.08,-0.16,0.92
146,-3.59,19.73,76.91,87.02,-8.77,-9.79,-0.01,-0.21,1.2
147,-8.14,22.96,81.12,84.44,-30.81,-13.8,0.02,-0.01,0.91
148,8.82,50.96,56.07,22.09,16.55,-31.31,-0.05,0.31,0.62
149,2.22,31.45,39.07,-92.27,116.08,34,0.04,0.61,0.62
150,-2.77,28.05,36.06,-59.24,-71.84,8.59,-0.02,0.39,0.72
151,0.2,26.17,31.98,-5.25,-9.86,-10.7,-0.19,-0.01,1.12
152,-1.67,22.42,44.47,-9.24,-2.76,0.79,-0.12,-0.06,0.88
153,-5.18,16.97,64.87,56.47,-11.5,-6.44,0.03,-0.16,1.06
154,-1.44,10.7,72.21,87.09,-16.75,-20,-0.07,-0.14,1.14
155,0.53,-16.59,73.44,34.37,-22.95,-5.57,0.13,0.18,0.76
156,2.26,13.1,44.36,10.06,-106.5,2.03,-0.04,0.47,0.68
157,-0.85,-6.81,30.48,-106.82,112.49,8.7,0.15,0.59,0.68
158,-3.54,-13.91,25.79,-48.08,-77.45,-3.3,-0.3,0.17,0.66
159,-0.11,-14.89,28.18,-12,-29.56,-13,0.06,-0.06,1
160,-1.75,-15.5,48.49,15.68,-6.44,-0.44,0.01,-0.2,0.94
161,-8.29,-20.79,68.02,86.69,-3.71,-6.74,-0.03,-0.22,1
162,-1.92,-16.62,72.48,82.08,-22.34,-32,0.14,-0.06,1.12
