,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0,-2.87,-2.86,52.32,-58.85,53.54,-11,0.26,0.71,0.58
1,-1.93,6.02,16.22,-137.46,33.92,-7.4,-0.11,0.05,0.73
2,-1.99,-8.55,15.35,1.73,-57.82,-7.64,-0.03,-0.22,0.75
3,4.39,-35.21,44.55,119.95,-109.63,16,-0.13,-0.01,1.16
4,-4.29,-49.87,58.07,51.54,-57.04,-15.3,0.3,0.56,0.71
5,1.2,-30.45,43.49,-55.78,75.18,4.65,0.5,0.62,0.53
6,2.46,-21.51,12.62,-117.65,30.93,9.51,-0.01,0.04,0.76
7,0.63,-13.1,21.06,36.73,30.07,2.44,-0.03,-0.08,0.95
8,-2.86,-27.36,53.82,132.12,-58.95,-11,0.06,0.35,1.03
9,-0.85,-24.91,55.37,7.37,7.64,-3.25,0.22,0.66,0.59
10,-3.2,-7.96,31.62,-92.5,66.46,-12.3,0.22,0.53,0.68
11,6.55,4.77,28.24,-102.44,8.72,0.37,-0.21,-0.08,0.7
12,-3.82,-4.33,61.16,89.56,32.67,23.47,-0.31,-0.1,1.09
13,5.69,-25.79,53.15,134.4,-32.82,-14,0.34,0.29,0.96
14,2.85,-9.51,27.25,-28.79,-83.08,21.9,0.38,0.58,0.58
15,2.16,-7.33,7.38,-98.88,62.88,10.92,0.18,0.35,0.74
16,6.55,-17.43,28.83,-74.94,8.76,8.32,0.15,-0.06,0.89
17,-3.56,-21.46,59.21,89.66,-42.78,25.37,-0.11,-0.24,1.19
18,-0.36,-28.56,50.83,122.7,-17.12,-13,0.18,0.36,0.84
19,7.87,-15.67,15.71,-29.65,-27.7,-1.4,0.43,0.54,0.67
20,-2.21,-8.86,3.12,-137.37,46.87,30.3,-0.03,0.3,0.6
21,-4.34,-38.56,64.69,-47.32,24.92,-8.52,0.01,-0.05,0.79
22,1.42,-26.57,53.33,79.78,-92.53,25.37,-0.21,-0.21,0.88
23,2.23,-10.52,16.83,171.11,-33.4,-16,0.21,0.3,0.88
24,-2.42,-2.57,8,-40.24,45.03,5.49,0.35,0.56,0.87
25,4.07,-9.71,40.67,-141.17,58.44,8.58,-0.11,0.23,0.57
26,-8.58,-13.62,53.07,-30.59,34.22,-9.33,0.45,-0.26,0.95
27,0.63,4.58,28.08,131.86,-28.67,15.7,0.05,0.09,1.03
28,1.19,-3.68,4.38,47.25,-16.51,-33,0.06,0.68,0.46
29,2.09,-18.33,24.88,-99.27,73.31,2.44,0.19,0.55,0.5
30,-11.7,-32.01,60.27,-89.12,-33.37,4.59,-0.08,-0.16,0.84
31,1.41,-23.55,50.77,84.48,-60.73,8.07,-0.17,-0.18,1.27
32,3.38,-2.23,18.32,143.32,-53.31,-45,0.52,0.35,0.88
33,-3.69,4.39,3.39,-35.3,33.02,5.44,0.41,0.63,0.53
34,10.3,-26.15,39.77,-127.99,82.54,13,0.05,0.45,0.64
35,-13.9,-38.6,58.98,-57.35,25.21,-14.2,-0.08,0.02,0.73
36,4.16,-13.61,49.9,147.19,-121.99,39,0.02,-0.05,1.26
37,5.38,-12.78,20.16,77.01,-51.01,-53.6,0.29,0.56,0.61
38,-2.3,4.61,17.54,-33.3,98.1,16.08,0.37,0.58,0.62
39,-2.89,-10.86,55.54,-113.91,1.32,20.78,0.01,0.17,0.66
40,-2.13,-7.08,58.4,-5.21,70.39,-8.86,0.33,-0.28,1.15
41,0.35,8.26,32.85,154.63,-59.89,-11,0.19,0.12,1.1
42,3,-1.9,10.73,13.65,18.44,-8.15,0.51,0.64,0.51
43,2.87,-9.1,27.73,-99.56,61.27,1.35,0.06,0.46,0.57
44,-9.44,-29.71,62.31,5,11.59,0,-0.06,0.07,0.7
45,2.62,-22.36,46.66,70.4,-31.76,11.1,-0.29,-0.04,1.04
46,3.47,-17.38,17.11,141.07,-81.44,-36,0.36,0.3,1.04
47,-4.89,-9.03,14.56,-57.95,28.87,10.08,0.41,0.51,0.67
48,-7.68,-20.92,44.5,-115.92,11.98,13.4,-0.28,0.29,0.45
49,-5.84,-24.24,52.17,-6.34,32.37,-18.88,0.19,-0.14,1.08
50,-1.56,1.37,34.67,122.69,-46.85,-29,0.28,0.01,1.03
51,6.01,-9.71,8.36,32.26,-13.7,-22.4,0.28,0.51,0.67
52,-2.59,-1.83,4.64,-65.96,100.95,-6,0.19,0.4,0.85
