yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-2.34,43.66,64.18,-50.11,-29.6,-46.0,-0.52,0.56,-0.41
-0.09,2.24,52.61,-49.37,-169.11,121.0,-0.34,1.05,0.08
1.93,-0.54,56.05,10.32,24.82,-0.32,-0.36,1.03,0.11
-8.2,8.55,52.72,11.05,-13.89,7.44,-0.26,0.95,0.03
6.33,7.71,53.24,-16.38,34.03,-31.6,-0.32,0.94,0.08
0.97,5.95,56.59,-0.8,-5.04,24.46,-0.35,0.92,0.08
-0.35,-16.85,67.29,10.99,-9.15,3.75,-0.42,0.93,0.0
-2.27,-42.23,74.68,41.59,-94.7,-1.36,-0.3,0.96,-0.16
3.46,-65.6,75.34,29.09,-107.12,-8.7,-0.3,1.2,-0.03
-5.62,-75.38,78.67,2.38,-103.01,13.37,-0.32,0.94,0.04
-0.3,-89.89,87.35,14.08,-52.89,-21.7,-0.32,0.88,0.11
1.9,-105.5,101.24,36.19,-73.09,-1.15,-0.3,0.88,0.0
4.4,-109.0,100.12,58.5,-80.27,7.35,-0.2,0.97,-0.02
-13.0,-104.59,95.9,-0.79,-32.98,17.13,-0.17,0.82,0.06
-2.3,-120.79,99.19,-13.36,-1.63,-53.0,-0.23,0.89,0.14
0.0,2.39,23.13,16.89,-84.24,-9.14,-0.29,0.89,0.04
10.0,-141.73,108.29,17.46,-31.6,9.18,-0.36,1.07,-0.03
-4.0,-150.45,108.35,28.53,-97.68,42.29,-0.26,0.94,-0.03
0.6,-154.81,104.7,5.66,-60.13,-17.63,-0.15,1.12,0.11
-0.0,-151.04,112.75,-18.08,-8.77,-33.1,-0.2,0.97,0.15
5.9,-169.97,115.34,11.27,-54.92,2.44,-0.26,0.86,0.04
-7.0,-186.73,115.92,37.46,-12.43,-0.67,-0.36,0.94,0.02
1.4,-193.35,120.55,17.31,-103.32,22.9,-0.21,1.1,-0.1
2.0,-203.04,130.79,-4.16,-87.79,-23.8,-0.15,0.88,0.09
-8.0,-203.47,136.14,16.6,-36.84,-27.9,-0.3,0.96,0.11
-4.0,-207.1,135.44,25.75,-59.44,5.53,-0.4,0.88,0.11
0.1,-213.57,140.99,50.01,-73.72,7.98,-0.57,0.87,-0.07
14.0,-237.15,148.57,33.46,-39.72,-34.0,-0.27,0.95,0.03
-1.0,-240.96,148.45,7.13,-49.67,-17.46,-0.34,0.84,0.09
-8.0,-246.17,147.08,33.25,-62.85,0.44,-0.25,0.98,0.1
-3.0,-257.19,150.58,20.6,-56.73,6.91,-0.36,1.06,-0.03
1.9,-257.87,159.51,29.71,-104.27,51.5,-0.34,0.99,-0.04
11.0,-309.08,170.8,11.99,-56.53,-5.47,-0.28,0.95,-0.03
-4.0,-318.88,165.72,6.55,-62.14,-31.4,-0.21,0.86,0.09
-2.0,-328.2,165.52,25.55,-85.82,-11.8,-0.26,0.88,-0.04
1.5,-323.15,164.29,48.38,-46.79,7.58,-0.36,0.83,-0.19
4.2,-321.48,171.27,60.54,-250.14,45.2,-0.17,1.06,-0.09
-5.0,-324.32,166.93,-5.77,-90.58,-18.3,-0.2,0.98,0.02
-5.0,-333.16,162.52,13.21,-90.34,-7.81,-0.13,0.93,0.11
-11.0,-342.86,169.73,8.86,-33.63,6.11,-0.37,1.02,0.04
-0.0,-335.58,172.03,-2.37,-65.09,-20.7,-0.23,1.05,-0.04
12.0,-346.29,177.75,-3.0,-89.35,-20.5,-0.21,0.82,-0.01
0.9,-341.81,175.05,42.77,-94.49,-42.6,-0.23,0.93,0.05
-9.0,-348.2,171.4,24.44,-28.0,-1.44,-0.23,0.96,0.1
-2.0,-345.57,174.64,39.21,-99.84,49.73,-0.36,1.02,0.04
8.6,-341.28,178.47,6.36,-40.77,3.52,-0.34,0.98,-0.04
1.4,-333.04,176.84,1.15,-82.53,-35.16,-0.28,1.18,-0.01
-6.0,-337.61,174.07,28.5,-47.52,-8.96,-0.25,1.08,0.12
-5.0,-336.49,174.39,32.08,-41.37,33.08,-0.34,0.94,-0.03
-0.0,-341.34,177.3,10.56,-24.67,5.47,-0.33,1.01,0.01
9.4,-351.73,176.88,5.21,-74.02,-26.89,-0.27,1.03,-0.03
-3.0,-351.82,172.34,17.66,-52.4,-22.5,-0.25,0.85,0.11
-7.0,-346.32,169.26,27.25,-75.21,-0.24,-0.23,0.96,0.05
2.8,-350.82,172.21,14.58,-98.84,36.55,-0.23,0.99,-0.07
-2.0,-344.12,177.96,-1.96,-59.0,-14.8,-0.28,1.09,-0.04
7.2,-352.25,179.45,2.89,-36.0,-27.35,-0.18,0.96,0.12
-4.0,-363.6,172.61,27.53,-76.5,10.85,-0.32,1.04,0.12
-11.0,-366.99,176.44,39.51,-32.63,-9.24,-0.29,0.81,0.02
2.1,-369.97,180.17,23.08,-90.68,27.86,-0.31,0.94,-0.06
12.0,-378.06,188.22,-10.75,-104.22,-18.0,-0.24,0.94,-0.05
0.5,-380.69,185.5,31.92,-75.27,-44.5,-0.29,0.81,0.06
-4.0,-386.81,182.68,31.53,-73.35,8.34,-0.26,0.88,0.08
-13.0,-394.79,187.48,49.77,-94.92,47.34,-0.33,1.04,0.02
-1.0,-411.5,194.76,7.89,-74.14,2.08,-0.33,0.97,-0.03
6.1,-418.26,195.3,7.11,-88.6,-17.99,-0.3,0.85,-0.05
1.2,-427.8,193.12,36.96,-96.8,-52.5,-0.28,0.89,-0.01
2.5,-421.02,190.98,46.56,-131.76,-3.9,-0.16,0.94,-0.1
-3.0,-427.37,194.56,21.37,-95.7,23.63,-0.26,1.0,-0.02
4.7,-417.67,197.6,11.25,-108.37,4.87,-0.33,0.95,-0.0
3.5,-425.18,196.26,11.0,-44.4,9.75,-0.31,0.97,0.1
-7.0,-420.48,190.95,32.77,-95.13,-15.2,-0.29,1.17,0.02
-6.0,-430.9,194.41,32.26,-32.89,18.44,-0.3,0.85,-0.07
-4.0,-426.61,197.07,14.11,-99.23,13.47,-0.25,1.0,-0.03
6.0,-431.99,198.72,-2.76,-50.89,-30.0,-0.13,0.88,0.06
-2.0,-432.53,199.32,32.63,-111.73,-23.0,-0.25,0.87,0.02
-0.0,-424.43,196.59,29.37,-53.82,-15.4,-0.21,0.97,0.01
3.4,-422.62,194.73,25.9,-92.06,23.15,-0.23,0.98,-0.02
-1.0,-426.34,196.95,22.51,-73.86,-9.05,-0.27,0.96,-0.1
1.9,-429.07,195.25,8.34,-38.76,-2.9,-0.18,0.96,0.01
-2.0,-430.52,191.85,12.95,-63.94,13.26,-0.33,0.92,0.09
-6.0,-418.45,189.26,28.19,-85.39,-6.94,-0.24,0.9,-0.01
1.4,-422.97,194.45,13.69,-82.42,7.44,-0.36,0.99,-0.12
7.8,-421.99,198.24,6.23,-77.75,-9.2,-0.32,1.0,-0.09
0.0,-420.65,196.47,7.7,-22.22,-24.11,-0.2,1.1,0.08
-2.0,-423.01,193.96,39.11,-87.73,5.63,-0.27,1.1,0.06
-4.0,-422.52,192.18,34.97,-66.89,30.16,-0.32,0.95,-0.06
