yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.04,9.5,65.74,0.01,-2.53,-0.72,-0.08,1.0,0.16
-0.45,9.12,66.31,0.1,-0.61,-1.53,-0.08,0.99,0.17
-0.02,9.04,66.63,-0.57,0.24,-0.07,-0.1,0.99,0.19
2.4,7.12,65.99,-4.86,-5.88,9.27,0.04,0.96,0.15
1.19,8.59,65.56,-2.73,5.69,4.61,-0.16,1.02,0.29
2.17,-0.13,69.51,13.48,-34.84,8.39,-0.16,1.3,-0.14
-13.6,-18.58,78.57,35.63,-76.62,-52.7,-0.24,0.89,0.06
-1.59,10.12,77.04,-3.48,108.35,-6.15,-0.43,0.89,0.2
-1.62,-4.84,81.37,18.24,-61.42,-6.27,-0.35,1.08,-0.02
15.07,-27.79,78.76,-9.18,-95.73,58.17,-0.3,1.0,-0.07
-12.1,-39.37,79.36,3.31,-53.43,-46.9,-0.3,1.01,-0.08
-2.49,-51.26,81.65,8.23,-53.87,-9.6,0.03,1.07,0.08
-0.96,-61.55,87.06,22.66,-51.75,-3.72,-0.22,0.94,0.08
-9.96,-87.4,88.54,7.53,-115.92,-38.4,-0.21,0.93,0.02
2.39,-124.88,93.27,19.85,-165.57,9.22,-0.08,0.93,-0.07
-4.0,-133.58,97.24,19.34,-57.77,-15.6,-0.3,0.98,-0.1
-15.0,-150.05,90.55,-23.07,-89.52,-61.0,-0.29,1.04,0.02
6.22,-140.9,95.98,25.22,9.64,24.02,-0.3,0.88,0.13
-0.0,-160.6,100.87,24.14,-105.29,-2.4,-0.35,0.92,0.09
3.4,-177.9,103.17,14.23,-98.31,13.29,-0.35,0.94,-0.04
-4.0,-190.79,105.7,15.07,-83.19,-18.1,-0.31,1.0,-0.05
-13.0,-178.44,105.13,1.8,17.42,-53.53,-0.17,1.02,0.05
6.3,-186.58,105.38,6.37,-63.51,24.53,-0.22,0.96,0.22
6.8,-196.18,112.94,35.5,-71.04,26.35,-0.3,1.12,0.14
2.8,-203.8,110.82,-1.95,-64.96,11.1,-0.31,0.98,-0.07
-7.0,-212.66,111.13,7.27,-70.82,-28.85,-0.27,1.0,-0.14
-8.0,-223.28,111.46,6.52,-77.72,-31.98,-0.13,1.12,0.18
8.3,-228.82,115.61,23.5,-60.79,32.24,-0.27,0.9,0.2
0.6,-228.36,115.68,6.51,-37.03,2.54,-0.22,0.97,0.05
0.0,-232.51,117.03,12.24,-55.8,0.06,-0.3,0.95,-0.02
-4.0,-236.46,117.18,6.87,-55.21,-17.07,-0.21,1.01,0.0
-8.0,-235.62,116.94,5.6,-36.84,-33.24,-0.23,0.95,0.04
2.9,-235.39,122.15,28.4,-39.68,11.44,-0.3,0.94,0.15
4.3,-243.04,132.61,50.18,-71.39,16.76,-0.31,1.01,0.11
8.1,-253.33,128.39,-7.68,-82.59,31.35,-0.24,1.01,-0.14
-17.0,-270.69,131.01,18.66,-111.9,-67.0,-0.19,0.99,-0.1
-2.0,-263.29,136.09,29.24,-15.83,-9.05,-0.21,0.91,0.11
3.1,-274.59,144.78,45.39,-90.82,12.02,-0.32,0.94,-0.04
1.7,-290.53,143.63,6.66,-110.54,6.69,-0.27,1.07,-0.11
-2.0,-314.65,134.7,-19.86,-136.05,-9.0,0.89,0.89,0.18
3.1,-299.56,136.52,17.89,6.77,12.13,-0.34,0.92,0.08
0.3,-322.64,141.37,29.28,-142.82,1.15,-0.24,0.92,0.03
-4.0,-325.06,137.56,-4.1,-64.01,-17.2,-0.28,0.96,-0.15
-3.0,-329.53,141.63,27.08,-73.21,-11.8,-0.32,0.97,-0.09
-8.0,-327.45,141.89,9.79,-44.83,-33.52,-0.05,1.25,0.04
6.8,-327.72,144.75,23.27,-57.12,26.54,-0.36,0.93,0.06
10.0,-337.55,142.25,0.73,-93.85,41.47,-0.22,1.01,0.03
-6.0,-342.52,140.04,1.98,-71.11,-23.47,-0.27,0.95,-0.06
-11.0,-345.66,147.41,40.6,-70.18,-44.4,-0.25,0.92,-0.16
0.6,-337.35,148.89,18.6,-25.56,2.56,-0.4,1.01,0.05
5.0,-353.33,152.4,27.3,-122.0,19.4,-0.39,0.97,0.14
2.7,-371.96,152.17,11.44,-133.57,10.3,-0.25,0.97,-0.05
-6.0,-373.07,153.43,18.29,-67.49,-26.9,-0.34,0.93,-0.03
-9.0,-356.59,156.45,23.76,4.73,-36.31,-0.15,0.93,-0.01
-5.0,-353.95,157.9,18.79,-48.67,-19.3,-0.23,1.06,0.14
1.0,-360.24,159.26,19.0,-84.45,3.85,-0.26,0.93,0.09
3.3,-360.17,159.41,14.45,-60.21,12.73,-0.26,0.89,0.08
0.3,-361.65,158.32,9.76,-66.81,1.16,-0.3,0.91,0.07
-10.0,-370.9,161.48,26.45,-97.87,-40.2,-0.28,0.86,-0.01
-4.0,-330.75,163.2,21.32,99.89,-17.1,-0.15,0.88,0.25
2.7,-334.35,168.92,37.16,-69.59,10.64,-0.25,1.03,0.14
5.1,-339.57,168.37,12.99,-77.27,19.73,-0.26,0.93,0.03
-3.0,-341.99,166.44,7.95,-67.39,-13.15,-0.34,0.98,-0.06
-17.0,-354.5,169.6,27.12,-106.79,-67.0,-0.21,1.03,0.14
0.5,-328.0,166.41,3.49,46.01,2.05,-0.37,0.96,0.11
6.9,-338.82,166.41,15.47,-99.42,26.87,-0.34,0.96,0.04
-8.0,-346.42,166.73,16.33,-87.85,-34.2,-0.3,0.98,-0.02
-15.0,-347.07,166.52,12.64,-59.01,-61.3,-0.12,1.16,0.1
-3.0,-323.57,167.06,17.31,36.14,-15.28,-0.27,0.94,0.12
2.5,-315.87,171.11,32.94,-25.2,9.85,-0.44,0.89,0.12
11.0,-337.15,167.55,1.28,-138.88,44.24,-0.31,1.14,0.09
-16.0,-336.5,159.74,-15.95,-54.48,-63.0,-0.28,0.87,-0.08
-22.0,-328.94,164.25,32.16,-26.41,-87.5,-0.31,0.96,0.11
4.9,-330.07,172.13,45.88,-58.89,19.11,-0.17,0.91,0.18
17.0,-345.36,171.69,14.53,-117.54,68.3,-0.32,0.96,0.08
-6.0,-341.38,165.96,-7.06,-42.08,-23.2,-0.3,0.99,0.1
-14.0,-343.52,162.73,1.93,-66.2,-56.05,-0.28,0.93,-0.0
-11.0,-382.26,171.53,48.18,-210.63,-44.0,-0.05,1.13,0.15
6.6,-352.8,171.03,16.4,51.69,25.56,-0.59,0.92,0.03
-7.0,-356.91,164.33,16.31,-54.66,90.86,-0.26,1.0,0.13
-40.0,-347.64,156.98,-9.5,-75.29,-27.0,-0.43,0.89,0.15
27.0,-355.01,185.88,-15.27,-22.44,-158.0,-0.3,1.17,-0.02
7.8,-357.08,184.58,49.21,-46.66,-29.7,-0.14,0.69,0.16
-11.0,-353.6,168.97,95.18,-97.82,107.1,-0.26,1.05,0.24
-21.0,-345.19,171.99,13.43,-68.14,30.21,-0.32,1.04,0.21
9.9,-355.94,173.88,-44.7,-46.25,-45.0,-0.33,1.04,0.04
19.0,-350.94,177.02,27.45,-25.53,-83.3,-0.29,1.01,-0.1
2.9,-353.51,173.62,27.15,-93.99,38.42,0.69,1.14,0.67
-18.0,-368.42,169.73,28.31,-39.09,75.37,-0.18,0.85,0.09
-36.0,-371.56,171.65,2.18,-67.79,11.11,-0.17,1.02,0.12
10.0,-371.99,182.63,0.89,-119.91,-72.1,-0.35,1.0,-0.02
-0.0,-385.54,190.08,22.09,-73.44,-142.0,-0.19,1.12,0.02
-6.0,-375.38,189.94,61.69,-65.63,39.63,-0.45,0.88,0.16
0.4,-382.37,193.82,58.77,-119.02,19.4,-0.6,0.95,0.11
-2.0,-377.37,194.29,10.05,-60.46,-0.89,-0.36,1.01,0.11
6.3,-388.48,198.83,19.21,-24.52,-25.6,-0.37,0.96,0.16
-1.0,-388.91,196.39,35.09,-90.92,1.63,-0.32,0.91,0.2
-5.0,-387.63,194.67,21.85,-43.69,-8.05,-0.22,0.83,0.22
-3.0,-388.06,193.3,38.63,-109.01,24.4,-0.39,0.95,0.01
1.7,-396.52,196.41,10.63,-66.92,-5.53,-0.31,0.94,-0.04
-0.0,-399.99,193.81,12.45,-59.61,-21.3,-0.25,1.03,0.04
-5.0,-401.16,193.57,14.47,-67.02,-14.4,-0.33,0.93,0.03
-7.0,-408.68,191.6,23.26,-76.04,16.18,-0.17,1.11,0.11
-2.0,-406.29,191.32,25.19,-80.84,6.19,-0.32,0.94,-0.02
3.3,-402.98,193.44,9.3,-80.4,-1.24,-0.29,0.97,-0.02
-0.0,-398.85,191.46,18.02,-71.19,-21.5,-0.24,1.0,-0.09
-7.0,-395.51,186.94,10.83,-96.47,-28.9,-0.22,0.98,0.05
-2.0,-392.65,188.46,18.23,-58.91,-8.18,-0.32,0.94,0.07
4.7,-416.65,189.74,27.36,-54.6,12.79,-0.28,0.98,0.03
-2.0,-419.55,187.12,11.39,-50.9,-0.23,-0.29,0.98,0.01
-14.0,-425.56,185.83,0.11,-52.41,-29.31,-0.23,1.09,-0.07
-0.0,-419.99,186.73,24.97,-55.41,-11.1,-0.34,0.92,-0.01
1.0,-433.55,188.88,27.47,-122.98,7.33,-0.13,1.09,0.05
3.7,-438.04,194.94,12.44,-97.53,17.0,-0.29,0.99,-0.03
-4.0,-436.09,188.65,8.14,-80.96,-9.31,-0.29,0.99,-0.07
-9.0,-433.79,181.86,13.43,-94.58,-55.3,-0.35,1.06,-0.09
1.8,-438.55,183.42,22.38,-49.3,-0.24,-0.36,0.91,0.02
3.1,-437.76,187.98,25.82,-123.39,3.86,-0.15,1.02,0.1
-10.0,-434.07,183.84,43.04,-90.52,14.36,-0.25,0.98,-0.03
-4.0,-431.22,182.49,-6.13,-64.63,-18.2,0.06,0.99,0.13
6.4,-425.18,181.13,-10.12,-60.37,-36.0,-0.02,1.05,0.24
0.2,-430.57,181.86,22.92,-88.46,7.02,-0.16,0.93,-0.04
-8.0,-435.04,179.73,34.94,-68.91,12.12,-0.25,1.0,-0.05
-1.0,-416.06,177.27,3.27,-45.05,-2.39,-0.18,1.08,-0.01
4.6,-410.36,175.53,13.75,-77.48,-38.3,-0.26,0.9,-0.03
1.3,-398.08,179.76,12.23,-60.75,-18.1,-0.29,0.88,0.03
5.2,-413.03,181.31,12.34,-47.97,24.96,-0.32,0.96,-0.03
-3.0,-424.39,173.98,20.4,-92.32,0.99,-0.22,0.94,-0.11
-4.0,-415.19,170.99,8.6,-89.38,-33.48,-0.25,0.97,-0.06
-1.0,-417.47,167.43,6.88,4.1,-5.05,-0.18,1.03,0.16
2.3,-406.49,167.95,9.15,-45.42,17.97,-0.12,0.92,0.17
-0.0,-410.54,170.42,32.84,-17.82,5.0,-0.23,0.93,0.01
-3.0,-414.17,165.52,22.96,-126.44,20.4,-0.21,1.08,-0.17
-7.0,-401.19,161.65,-12.49,-113.49,-12.0,-0.15,0.92,-0.02
1.3,-393.82,160.86,2.95,-32.7,-18.32,-0.12,1.04,0.07
3.2,-384.18,161.35,-0.07,-76.69,-6.99,-0.19,0.9,0.1
1.6,-382.78,167.12,16.73,-24.97,8.86,-0.23,0.99,0.09
0.4,-383.82,163.93,24.69,-83.74,-3.08,-0.29,1.08,-0.07
-3.0,-380.18,158.04,-4.27,-82.77,-11.8,-0.04,0.98,0.08
3.4,-384.28,160.03,-2.51,-14.78,-26.9,0.03,1.0,0.11
-4.0,-383.86,160.09,9.31,-34.5,5.02,-0.17,1.0,0.13
