yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.14,3.75,-33.35,-222.58,56.64,82.8,-0.17,0.08,-0.2
-33.7,69.81,41.56,250.13,230.17,-113.0,-0.75,1.94,-0.68
-6.48,37.23,59.49,71.95,-122.41,-24.0,-0.63,1.24,1.29
-64.7,-24.97,43.84,-61.72,-250.14,-25.0,-1.53,2.0,-0.34
-3.35,-33.35,41.61,3.45,-30.11,-12.87,0.36,-0.27,0.2
2.9,-33.51,38.2,-5.75,-1.43,11.21,0.43,-0.12,0.79
65.03,32.5,62.94,99.9,250.13,250.1,-1.04,0.69,0.16
11.55,45.83,66.03,15.12,55.01,44.59,-0.63,1.13,0.88
-3.54,52.77,62.22,-15.63,32.48,-13.6,-0.3,0.93,0.22
-3.82,50.34,17.13,-178.59,-3.32,-14.0,-0.49,1.66,1.34
19.32,31.1,-38.11,-228.46,-71.08,74.0,-0.24,1.02,0.64
35.29,47.26,-69.36,-127.22,59.66,135.0,-0.65,-0.32,-0.1
-10.4,46.36,-67.45,6.37,2.68,-40.24,-0.12,-0.77,0.4
-28.4,33.28,-34.74,123.0,-53.57,-109.0,-0.31,-0.1,0.22
-45.67,40.84,18.86,201.34,34.82,-175.0,-0.14,1.2,1.04
0.0,2.19,0.34,125.76,-32.47,8.43,-0.19,1.49,1.0
-4.81,28.83,53.75,7.26,-8.59,-18.56,-0.41,0.92,0.43
-39.94,-7.82,32.14,-85.1,-148.73,-15.0,-1.09,1.22,0.77
-4.02,-55.64,0.11,-113.33,-180.87,-1.0,-0.33,0.47,0.35
22.63,-22.88,5.55,-13.14,-18.17,-14.0,0.49,-0.2,0.72
54.21,29.79,17.95,22.88,132.79,87.03,0.76,-0.1,0.33
28.53,51.27,35.22,46.93,201.15,209.3,-0.84,0.49,0.73
-2.03,59.42,34.42,64.68,84.81,109.73,-0.87,1.03,0.49
-6.85,74.73,-8.35,-8.3,38.04,-7.83,-0.35,1.0,0.25
24.31,43.57,-67.99,-175.5,69.98,-26.0,-0.23,1.52,1.0
15.8,64.67,-103.01,-250.14,-116.02,93.0,-0.49,1.38,0.81
-7.4,51.08,-85.81,-145.75,84.52,60.8,-0.58,-0.47,-0.39
-42.9,53.19,-21.33,55.89,-45.95,-26.4,-0.51,-0.69,0.33
-21.01,65.54,33.85,234.0,15.32,-165.0,-0.15,0.98,0.41
5.07,75.37,35.77,207.44,57.67,-80.8,-0.07,1.8,0.88
0.53,65.25,35.05,4.05,51.26,19.56,0.18,1.18,0.76
-0.6,63.76,36.44,-8.36,-31.56,2.06,-0.33,0.97,0.14
-64.79,13.36,26.56,1.31,0.9,-2.3,-0.34,0.78,0.25
-55.7,-29.07,16.31,-41.1,-199.59,-25.0,-1.28,1.29,0.18
64.23,-14.47,40.01,-40.78,-167.04,-21.0,0.06,0.27,0.58
54.17,46.63,69.65,-12.8,-82.5,-5.2,0.34,-0.05,0.77
-1.23,65.56,64.2,96.09,122.44,230.2,-0.04,0.29,0.15
-1.6,99.72,38.53,118.32,237.21,209.0,-1.03,1.18,0.54
17.08,98.31,-22.16,-17.34,75.64,-4.73,-0.95,0.85,0.1
27.83,89.09,-71.69,-102.43,150.32,-6.0,0.33,1.12,0.59
1.12,83.48,-70.14,-246.64,9.15,65.7,-0.28,1.91,1.06
-34.7,64.3,-8.9,-211.4,-24.82,107.0,-0.18,0.37,0.21
-29.29,61.52,56.17,4.01,-13.1,4.31,-0.51,-0.84,-0.16
-5.03,54.1,65.05,226.43,-67.89,-133.0,-0.21,0.34,-0.22
0.3,45.34,63.73,250.13,-0.8,-113.0,0.0,2.0,1.02
-34.78,6.07,47.04,33.79,-18.7,-19.3,0.15,1.1,0.43
-61.8,-43.42,22.55,-5.4,-29.79,1.17,-0.35,0.92,0.23
-19.92,-55.77,0.08,-62.92,-157.23,-13.0,-1.21,1.13,0.82
9.65,-46.25,5.45,-98.98,-201.89,-23.0,-0.58,0.96,0.46
48.21,-10.59,43.73,-86.02,-47.31,-76.0,0.55,-0.03,0.36
35.08,-2.69,75.13,24.07,38.72,37.27,0.73,-0.22,0.39
1.56,-1.92,71.88,149.97,126.89,186.0,-0.73,0.44,0.2
-1.26,-1.06,70.02,125.15,23.89,134.9,-1.38,1.66,0.61
3.34,18.47,29.88,-11.11,-1.67,6.02,-0.48,0.95,0.06
26.23,1.39,-30.59,-7.78,1.02,-4.86,-0.23,0.98,0.16
18.08,39.57,-64.07,-158.08,78.31,12.8,0.05,1.63,1.22
-25.4,30.63,-32.91,-250.14,-67.29,101.0,-0.29,1.62,0.4
-31.46,47.29,33.48,-135.01,145.27,69.0,-0.92,-0.55,-0.43
-15.6,45.45,64.87,121.89,-35.82,-97.0,-0.38,-0.43,-0.17
-2.55,47.08,63.54,250.13,69.88,-120.0,-0.39,1.89,0.74
-13.7,23.01,58.55,121.89,1.47,-60.24,0.22,1.43,0.77
-54.44,-6.97,46.88,-5.91,10.62,-9.81,-0.35,0.95,0.14
-63.8,-46.54,35.25,-18.57,-94.05,-52.0,-0.57,0.93,0.35
-8.16,-50.25,24.57,-43.72,-124.8,-21.0,-1.0,0.82,0.26
70.04,-39.05,45.93,-40.33,-166.48,-24.0,-0.56,0.11,0.6
65.03,4.41,63.96,-36.56,-20.67,-31.0,0.14,-0.05,0.75
25.71,42.37,81.02,81.54,36.93,250.13,0.18,0.11,0.53
-0.99,56.3,79.59,71.13,163.98,250.1,-0.54,1.04,0.58
-5.33,69.63,64.65,71.48,146.72,99.26,-0.98,1.07,0.31
20.17,62.68,4.71,-1.75,58.53,-3.82,-0.5,0.92,0.36
38.65,64.27,-46.3,-57.18,63.54,-20.5,0.12,1.17,0.62
-13.0,70.79,-40.57,-239.5,-16.79,77.0,-0.02,1.66,0.93
-33.91,69.66,26.28,-196.56,12.48,138.0,-0.22,0.54,0.39
-31.45,64.96,78.27,25.54,32.98,-50.47,-0.33,-0.77,-0.25
-5.9,48.48,85.1,250.13,3.89,-130.4,-0.31,0.94,0.14
-58.77,14.62,60.38,202.9,-6.83,-121.0,0.2,1.9,0.87
-64.7,-25.2,67.9,29.36,-54.95,-22.6,0.1,1.21,0.54
1.1,-45.47,65.83,-27.68,16.62,-18.6,-0.49,0.96,0.13
18.96,-32.53,79.12,-56.73,-137.14,-20.0,-1.33,1.06,0.5
35.08,26.44,84.1,37.02,-162.96,-250.0,-0.43,0.25,0.64
64.78,53.41,100.35,7.31,-79.12,4.24,0.35,-0.28,0.35
-6.76,74.68,62.27,67.37,47.47,73.21,0.23,-0.28,0.69
5.25,63.83,0.15,29.18,222.06,134.9,-0.35,0.16,0.18
41.94,50.05,-38.49,71.76,105.58,250.1,-2.0,1.99,0.36
2.18,47.41,-40.05,-18.37,10.92,2.0,-0.37,0.89,0.15
-32.7,45.47,-15.05,-113.4,81.3,-24.0,-0.11,1.44,1.07
-38.81,68.6,51.01,-250.14,-32.76,20.0,-0.25,1.73,0.57
-3.91,59.95,78.54,-159.79,-50.34,161.0,-0.26,0.23,0.35
0.91,61.01,75.69,-5.71,-9.89,8.4,-0.9,-0.84,0.26
-13.72,41.53,54.88,101.99,-6.47,-126.0,-0.3,-0.36,-0.09
-61.34,-3.51,22.27,250.13,99.87,-149.0,-0.1,1.93,0.27
-41.86,-10.61,3.97,101.6,-21.43,-13.0,0.09,1.37,0.98
47.38,24.09,28.1,-10.5,11.35,3.5,-0.27,0.94,0.12
65.03,85.78,58.46,-78.5,-73.03,-52.0,-0.65,0.96,0.77
7.51,116.84,61.65,-129.46,-179.82,-2.0,-1.1,1.33,0.54
-4.04,94.47,61.18,-71.45,-20.31,-160.0,0.37,0.08,0.26
-11.21,107.59,8.42,-2.03,10.63,-1.87,-0.02,-0.48,0.93
1.38,100.89,-47.6,90.15,116.08,169.2,-0.01,0.16,0.17
17.7,156.67,-77.02,118.32,244.44,250.0,-1.37,1.57,0.02
-18.5,120.73,24.11,13.6,134.08,28.98,-0.62,1.03,0.44
-9.22,111.24,57.28,-3.52,-72.83,-15.5,-0.2,1.02,0.27
0.72,105.84,64.16,-211.03,66.96,-43.0,-0.15,1.71,1.02
-5.02,74.66,55.59,-233.39,-11.61,5.3,-0.24,0.98,0.54
-61.72,43.29,30.72,-119.15,232.13,68.0,-0.44,-0.38,-0.15
-43.38,4.6,15.62,0.71,-17.32,0.0,-0.28,-0.48,-0.25
0.42,-0.62,7.41,115.81,-71.31,-66.0,-0.21,1.38,1.05
38.78,38.0,28.31,250.13,-29.37,-66.0,-0.15,1.29,0.61
54.69,70.16,44.97,126.54,-19.65,-35.0,-0.1,1.06,0.4
2.87,94.63,44.82,25.84,-4.63,2.77,-0.5,0.99,0.84
0.21,84.64,45.85,-31.35,-111.37,-19.0,-1.17,1.34,0.57
-9.36,116.99,20.6,-98.44,-120.38,-23.0,0.1,0.29,0.23
2.63,126.94,-40.29,-63.15,-145.1,-16.0,0.6,-0.11,0.73
15.5,120.92,-91.32,-29.44,-13.92,1.61,-0.45,0.16,0.11
-14.0,103.03,-75.68,82.19,144.52,149.7,-1.05,1.19,0.41
-29.88,95.96,-7.01,63.79,128.58,210.3,-0.73,0.98,0.3
1.07,75.87,42.33,-1.62,104.02,11.07,-0.14,1.0,0.04
0.08,58.55,43.52,-1.8,-26.24,0.8,0.02,1.23,0.73
-40.65,22.77,28.69,-103.77,143.89,-36.0,-0.19,1.92,1.12
-64.79,-34.33,9.44,-250.14,57.81,10.1,-0.17,0.16,-0.11
-7.6,-54.13,11.02,-217.89,-10.46,59.0,-0.78,-0.72,-0.55
14.12,-47.31,14.78,53.97,-58.79,-54.5,0.03,1.72,0.3
60.4,19.13,22.27,250.13,-11.68,-114.0,0.43,1.79,0.96
27.52,50.51,32.55,165.46,-44.05,-51.0,-0.16,1.07,0.33
-0.16,53.51,30.29,15.45,-7.07,3.8,-0.49,1.05,0.05
-7.34,57.27,22.52,1.19,-61.5,0.29,-1.32,1.03,0.46
-22.4,55.57,-38.33,-58.48,-142.44,-15.0,-0.81,0.83,0.19
3.44,16.56,-90.46,-79.99,-233.02,-25.0,0.59,0.11,0.36
1.64,24.94,-97.19,6.44,-75.61,-29.24,0.61,0.02,0.4
-26.0,19.6,-65.3,16.66,27.82,54.53,-0.82,0.61,0.05
-41.32,34.11,2.82,26.47,250.13,232.2,-0.87,1.38,0.5
-3.42,35.41,34.06,36.11,123.82,105.8,-0.49,0.9,0.01
3.92,38.81,36.2,-13.77,15.63,-0.61,-0.16,0.99,0.47
-7.01,33.7,31.7,-33.8,20.73,-26.2,-0.73,2.0,1.13
-57.17,2.23,21.61,-250.14,-0.46,-86.0,-0.3,0.51,0.06
-48.77,-39.62,3.1,-225.3,-152.83,13.0,-1.53,-0.66,-0.51
-0.12,-28.46,-3.41,-37.89,26.44,6.32,-0.44,-0.34,-0.06
41.24,-13.47,18.05,118.6,-25.84,-100.0,-0.32,1.68,0.49
62.62,21.69,32.06,250.13,59.4,-158.0,0.06,1.43,1.01
-0.17,42.69,40.27,117.28,11.05,-13.2,-0.37,0.91,0.3
6.44,42.07,14.93,4.04,15.89,15.07,-0.54,0.98,0.64
5.96,39.28,-45.33,-20.23,-18.31,-27.0,-1.61,1.39,0.59
23.56,24.45,-82.72,-41.73,-128.71,-22.0,0.23,0.38,-0.34
-4.76,17.55,-72.02,-77.71,-163.46,-18.0,0.24,-0.3,0.94
-43.9,16.06,-11.6,-22.75,40.52,-0.47,-0.33,0.06,0.35
-4.93,15.9,47.32,84.57,48.75,159.24,-0.96,1.2,0.54
-3.2,12.99,58.06,51.6,133.47,241.7,-0.27,0.99,0.19
-2.42,10.05,56.5,24.77,63.5,60.28,0.09,1.41,1.32
-56.2,-40.21,45.78,-1.67,22.76,-0.6,-0.22,1.86,0.91
-38.8,-70.01,21.16,-102.96,4.84,24.88,-0.35,-0.25,-0.13
-1.01,-70.02,12.45,-250.14,-5.45,23.0,-0.51,-0.77,0.16
38.07,-35.06,37.32,-152.19,-61.56,90.0,-0.12,0.57,0.09
48.52,30.37,59.42,35.57,-26.85,-16.9,-0.11,1.97,1.4
10.62,43.7,66.22,219.35,-5.1,-169.0,-0.09,1.07,0.61
0.28,36.47,66.05,225.46,1.48,-18.97,-0.38,1.0,0.3
-0.32,28.79,57.55,41.16,-9.82,-12.37,-1.33,1.81,0.32
22.22,30.19,-4.52,-7.22,-12.88,-9.32,-0.03,0.13,0.04
24.91,32.82,-57.86,-42.54,-206.32,-21.0,0.25,-0.55,0.81
-37.95,27.06,21.72,-102.55,-127.53,-1.0,0.11,0.05,0.08
-12.66,17.35,82.76,-24.33,-8.37,-3.6,-1.21,1.14,0.24
-0.3,16.19,88.36,98.01,136.69,146.4,-0.38,1.11,0.51
5.27,13.48,87.43,87.98,250.13,187.3,-0.15,0.98,0.12
-27.12,2.83,74.12,27.15,55.5,40.84,-0.17,1.15,0.74
-64.7,-41.41,58.68,-2.69,-23.5,1.1,0.04,1.92,1.08
-22.2,-58.28,37.66,-32.66,-26.17,-1.2,-0.07,0.61,0.12
64.2,8.53,67.49,-250.14,10.42,85.7,-0.77,-0.78,-0.46
37.93,14.12,83.24,-226.85,14.38,95.8,-0.2,0.74,0.06
-1.88,9.49,82.88,26.93,20.85,-14.89,-0.32,2.0,1.12
-0.29,10.29,82.36,250.13,-38.44,-135.0,-0.0,1.07,0.4
2.87,21.12,19.86,238.44,-35.86,-48.0,-0.29,0.97,0.15
25.65,-4.68,-37.94,24.56,-1.88,-1.17,-1.19,0.98,0.88
8.49,-4.24,-45.77,-0.97,-10.98,20.34,-0.98,1.14,0.23
-28.1,-12.54,-8.21,-44.87,-47.44,-104.0,0.61,-0.07,0.39
-19.02,8.2,57.03,-57.95,-183.95,-25.0,0.49,-0.32,0.54
-3.21,10.78,70.49,-73.96,-65.17,-85.0,-1.14,0.87,0.17
0.33,4.88,73.14,33.66,28.15,63.28,-0.85,1.28,0.66
-52.4,-25.33,46.68,89.99,204.72,230.1,-0.22,0.99,0.1
-40.9,-76.92,51.27,66.2,18.94,146.47,-0.2,0.99,0.16
46.45,-8.68,45.48,-0.35,-18.24,-7.24,-0.13,2.0,1.31
63.69,3.57,76.59,-0.9,2.92,-1.11,-0.16,0.97,0.14
