yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
1.93,-0.23,50.45,-16.92,-45.03,37.8,-0.32,1.13,-0.17
-13.01,11.48,53.46,8.64,37.43,-43.81,-0.39,0.82,0.03
-0.61,23.36,54.89,1.59,47.56,-2.32,-0.17,0.93,0.03
4.99,36.07,14.5,-162.38,55.89,19.2,0.26,1.91,1.33
36.9,63.14,-49.77,-250.14,105.92,132.0,-0.08,1.25,-0.14
0.28,48.82,-58.94,-37.09,-51.31,1.07,-0.28,-0.52,0.36
-19.7,32.32,-30.55,109.95,-66.99,-75.0,-0.36,-0.26,-0.02
-14.96,50.82,35.55,250.13,78.17,-57.7,-0.29,1.77,0.69
1.11,58.6,52.36,63.24,35.9,4.24,-0.45,1.1,0.46
-7.54,36.6,53.02,0.27,-82.66,-29.12,-0.42,1.01,0.08
-55.4,-23.0,33.21,-79.13,-240.21,-21.0,-1.45,1.73,0.23
-40.6,-60.14,10.32,-91.37,-146.54,-15.0,0.19,0.16,0.19
23.81,-26.95,8.86,-29.25,-13.37,-0.9,0.29,-0.28,0.98
57.47,34.37,32.16,30.56,128.24,85.35,0.31,-0.21,0.14
26.26,67.82,35.95,89.18,232.79,221.0,-1.21,0.86,0.23
2.19,73.25,33.6,12.53,132.99,100.9,-1.1,1.27,0.2
-10.09,76.08,4.93,-14.91,29.54,8.44,-0.33,0.91,0.0
30.68,84.08,-54.8,-111.15,22.21,-36.0,0.14,1.42,0.77
6.25,82.74,-80.76,-250.14,43.05,117.0,-0.25,1.8,0.51
-5.25,78.01,-75.0,-109.85,-1.78,24.1,-0.38,-0.16,0.13
-22.7,49.8,-36.98,14.85,-11.28,-20.2,-0.42,-0.36,0.49
-4.13,38.79,29.41,141.66,-112.34,-87.0,-0.23,-0.05,-0.03
1.13,24.77,44.42,250.13,-36.98,-15.0,-0.21,2.0,1.05
-1.3,16.84,49.86,53.93,-49.75,4.36,0.06,1.29,0.48
-69.79,-67.31,4.64,16.64,-29.82,-5.01,-0.21,1.0,0.09
-14.0,-78.4,-10.98,-51.21,-118.95,-17.0,-1.15,1.38,0.6
7.95,-73.5,-11.6,-120.55,-215.78,-2.0,-0.78,0.59,0.22
63.49,-11.34,12.24,-60.69,-46.03,-55.0,0.77,-0.09,0.51
49.24,37.87,41.74,0.15,13.82,30.58,0.62,-0.43,0.54
-3.46,45.84,40.75,90.11,227.74,245.1,-0.98,0.45,-0.11
0.5,44.29,37.49,113.19,190.51,190.0,-1.1,1.39,0.77
-2.31,70.47,-21.53,-9.06,35.82,-13.3,-0.24,1.0,0.17
19.92,71.63,-79.66,-18.46,-0.31,1.94,-0.17,1.06,0.25
-0.99,71.32,-87.65,-241.93,112.09,-8.0,-0.07,1.86,0.83
-8.81,58.75,-72.28,-38.82,3.55,-3.82,-0.19,0.91,0.19
-33.13,44.92,-3.74,54.73,-46.05,-34.0,-0.55,-0.51,0.34
-2.79,53.06,21.09,250.13,-45.01,-127.0,-0.43,-0.43,0.15
-5.5,53.21,27.09,89.92,40.3,-10.76,0.19,1.76,0.23
-36.64,23.4,12.96,14.76,7.76,-21.08,0.07,1.5,0.94
