yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.82,-19.05,66.26,-27.04,-82.95,16.3,-0.35,0.96,-0.09
4.92,20.32,58.76,-30.49,151.9,19.0,-0.32,0.83,-0.08
-3.27,24.13,54.47,-17.88,14.41,-12.5,-0.45,0.92,0.14
-2.97,39.93,11.94,-169.61,68.22,-11.0,0.24,2.0,1.95
65.03,39.78,-47.95,-250.14,3.63,250.1,-0.48,2.0,-0.19
3.31,50.88,-56.12,-33.32,43.85,12.79,-0.67,-0.67,0.05
-17.1,47.57,-42.09,54.2,-11.75,-66.0,-0.57,-0.59,0.29
-7.03,75.85,51.93,203.66,136.14,-250.0,-0.07,1.16,0.1
2.48,82.19,50.93,135.5,-3.5,-25.1,-0.21,2.0,1.29
-0.46,78.98,51.66,-6.75,34.98,9.53,-0.3,1.02,0.25
-58.86,24.64,26.35,-0.2,-2.68,-1.78,-0.32,0.95,0.11
-41.52,-19.98,0.52,-101.2,-212.41,-2.0,-1.74,1.97,0.4
-0.14,-25.01,-3.63,-109.02,-171.83,-1.0,0.07,0.19,-0.08
14.38,-6.67,-2.96,-12.89,-19.66,-0.5,0.38,-0.38,0.8
64.78,53.21,24.5,5.22,71.71,51.19,0.63,-0.31,0.42
26.82,77.54,31.11,104.37,231.44,250.0,-0.85,0.62,0.25
0.56,84.46,31.82,22.39,102.04,103.5,-0.74,1.25,0.72
-10.47,84.64,2.98,-3.76,37.85,2.17,-0.26,0.97,0.17
30.06,62.41,-56.77,-118.35,13.15,-40.0,-0.22,1.24,1.17
41.69,60.01,-90.85,-249.42,-76.6,116.0,-0.18,1.7,0.98
-3.04,53.44,-86.36,-145.53,-12.38,160.0,-0.84,-0.01,-0.15
-49.55,78.4,17.83,9.45,-22.77,-11.73,-0.62,-0.62,0.53
17.84,91.47,28.39,115.11,-37.54,-135.0,-0.69,-0.07,0.17
-0.76,93.82,29.99,250.13,132.0,-176.0,0.2,1.87,0.64
-24.47,70.96,14.64,34.88,63.05,68.61,-0.29,1.32,0.57
-65.04,5.93,-10.86,-0.43,21.39,-2.95,-1.35,1.25,1.0
-8.8,-18.18,-23.11,-62.8,-83.28,-94.0,-0.08,0.76,-0.12
9.65,-15.1,-21.09,-112.5,-250.14,-2.0,0.3,-0.51,0.37
63.39,40.54,14.23,-43.29,-91.52,-34.0,0.71,-0.32,0.57
48.56,51.97,63.01,6.95,15.76,34.45,-0.45,0.33,0.1
3.77,66.18,61.39,132.98,212.85,244.0,-0.82,1.67,1.05
-2.07,65.18,60.28,189.47,48.67,186.7,-0.36,1.01,0.12
-4.66,77.7,-1.73,-7.56,62.35,14.56,-0.25,1.0,0.32
30.7,56.13,-48.17,-5.48,4.49,-7.98,-0.08,1.96,0.91
14.77,31.34,-56.35,-250.14,60.5,-17.0,-0.23,0.71,0.32
-18.8,24.0,-39.6,-195.37,-76.31,117.0,-1.2,-0.55,0.53
-57.85,33.73,15.85,-37.0,-99.92,57.0,-0.42,-0.42,0.47
10.07,36.92,65.72,58.96,-27.64,-67.2,-0.25,0.96,0.16
2.17,34.48,67.54,204.98,40.66,-223.0,-0.23,2.0,1.47
-5.05,7.61,69.6,193.77,17.34,38.75,-0.32,0.94,0.16
-61.4,-48.55,24.37,6.76,-6.83,8.38,-0.93,0.9,0.19
-25.2,-48.84,-4.94,12.24,-109.86,-19.0,-1.39,1.78,0.55
-1.69,-55.24,-8.03,-178.09,-229.63,-2.0,0.3,0.02,0.09
39.44,-6.26,5.48,-114.07,2.82,-97.2,0.26,-0.4,0.89
64.78,31.91,33.01,-9.39,-31.08,-6.52,0.36,0.03,0.14
18.16,46.91,35.2,52.32,199.09,152.2,-1.05,1.09,0.35
-1.87,31.99,37.2,104.46,145.66,250.0,-0.74,1.0,0.42
-6.82,49.39,13.41,6.11,59.74,69.83,-0.36,0.98,0.05
