yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.18,-48.01,51.39,-2.42,-6.23,0.69,0.29,0.94,0.2
0.17,-48.3,51.48,-2.44,-6.02,0.64,0.31,0.93,0.19
0.04,-48.53,51.58,-2.51,-6.0,0.15,0.29,0.94,0.2
0.17,-48.47,51.77,-2.26,-4.98,0.64,0.28,0.94,0.19
0.33,-45.17,44.11,-33.18,8.71,1.27,0.26,0.69,0.15
-5.39,-43.43,49.43,16.34,1.6,-20.72,0.21,0.98,0.16
-11.6,-45.34,49.88,-3.79,-14.17,-45.1,0.06,1.04,0.09
-1.31,-60.4,50.78,3.91,-61.13,-5.06,0.76,0.85,-0.04
19.85,-43.93,45.86,-21.66,55.33,76.63,-0.14,0.97,0.49
-2.04,-25.63,49.9,11.6,67.62,-7.84,0.18,1.22,0.29
-6.18,-23.37,54.65,14.19,4.68,-23.86,-0.03,1.03,0.17
-5.56,-31.2,39.4,-65.37,-34.43,-21.0,0.1,1.1,0.17
10.21,-42.9,40.6,0.78,-52.02,39.42,0.01,0.9,0.43
-0.43,-36.6,43.83,8.43,21.56,-1.65,0.37,1.03,0.15
0.88,-38.16,44.33,-2.31,-10.04,3.4,0.22,0.92,0.24
