yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
1.65,-35.4,72.48,-6.69,-11.69,6.0,-0.1,0.97,0.08
1.87,-35.21,71.36,-11.12,-6.22,6.37,-0.0,1.0,0.05
1.56,-34.92,70.34,-6.84,-4.95,7.18,0.05,0.99,0.09
0.31,-36.6,70.79,0.02,-11.66,1.19,0.08,0.98,0.12
-2.96,-38.73,69.48,-6.96,-13.79,-11.4,0.07,0.97,0.13
-4.55,-37.17,69.21,-3.48,-0.05,-17.52,-0.01,0.99,0.1
-13.3,-38.79,72.82,13.4,-14.05,-51.4,-0.17,0.95,0.16
19.4,-29.27,81.62,34.57,33.73,74.92,0.18,0.98,0.1
-2.27,-17.54,73.47,-23.5,35.44,-8.75,-0.92,0.54,-0.8
-5.21,-15.89,74.9,4.13,4.31,-20.05,0.05,0.98,0.1
-4.85,-17.38,71.06,-16.76,-9.65,-18.7,-0.12,1.02,0.01
-5.0,-37.08,77.4,25.24,-79.32,-19.3,0.3,0.99,-0.08
20.21,-33.72,75.04,-8.07,4.33,77.73,-0.35,0.97,0.14
-6.6,-15.98,72.36,-9.1,69.67,-25.37,0.42,0.89,-0.04
-0.08,-14.6,73.41,2.95,3.42,-0.32,0.05,0.99,0.16
