yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.1,-34.13,66.72,-1.05,-4.78,0.38,0.01,0.98,0.17
0.14,-34.39,66.59,-2.76,-6.56,0.54,0.0,0.98,0.16
-0.41,-34.95,66.38,-2.99,-8.04,-1.59,-0.03,1.02,0.18
-13.4,-47.57,67.05,2.64,-60.09,-52.09,-0.4,0.94,0.02
-3.32,-48.5,63.76,-15.05,-10.37,-12.0,0.09,0.85,0.14
7.08,-34.77,55.1,-36.73,49.44,27.32,0.28,1.23,0.16
2.94,-33.27,59.72,13.62,0.23,11.35,-0.02,0.99,0.06
-3.91,-16.49,63.55,15.76,57.06,-15.08,-0.59,0.95,0.15
-12.4,-14.41,52.49,-47.01,6.25,-47.87,0.06,0.99,0.16
4.19,0.29,64.17,46.02,56.39,16.12,-0.05,1.99,1.28
7.92,-1.94,56.35,-33.69,-10.79,30.5,-0.2,0.96,0.04
4.72,-4.11,52.0,-20.77,-8.36,18.21,0.07,0.95,0.21
1.04,-4.56,52.28,-2.6,-1.55,4.0,0.1,0.98,0.24
-1.02,-3.28,55.75,9.8,5.02,-3.95,0.07,1.0,0.2
-0.34,-4.06,56.41,-1.09,-2.98,-1.32,0.07,0.98,0.18
