yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.42,-1.2,75.92,1.73,45.14,8.34,-0.51,1.02,0.09
1.16,-1.56,77.84,7.6,0.28,3.93,0.22,0.98,0.28
1.6,-5.65,63.7,-55.66,-18.69,6.16,-0.28,1.26,0.34
-15.5,-11.46,70.55,25.27,-25.74,-60.1,-0.16,0.96,0.13
7.93,-30.87,78.54,35.39,-74.98,30.61,0.47,0.71,-0.36
5.92,-23.89,71.39,-27.66,20.21,22.79,-0.33,1.05,-0.04
0.86,-27.75,58.93,-51.69,-20.39,3.3,-0.12,0.96,0.06
-8.24,4.54,57.69,-4.42,120.12,-31.8,-0.59,0.9,0.19
-13.37,-2.13,62.81,16.44,-27.05,-51.6,-0.1,0.91,-0.04
3.05,-2.48,68.71,20.53,-0.65,11.77,0.1,0.83,-0.04
9.5,-2.96,63.62,-22.21,-3.71,36.67,-0.15,1.01,-0.11
2.65,-2.22,61.5,-12.35,2.48,10.24,0.0,0.99,-0.04
0.09,-7.94,61.17,-5.04,-23.28,0.33,0.01,0.91,0.09
0.61,-11.5,60.61,-5.76,-16.53,2.37,-0.1,0.99,0.06
0.65,-13.42,60.97,-2.63,-9.62,2.5,-0.0,1.0,0.07
