yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.05,-15.85,80.6,54.31,-194.45,-41.0,-0.49,0.08,0.83
6.32,2.87,68.62,28.49,48.97,-6.32,-0.88,0.31,0.79
-8.28,54.06,49.81,-25.73,35.59,-0.17,-0.71,0.1,0.69
-0.35,55.46,64.82,-36.0,65.13,24.31,-0.86,-0.14,0.16
8.14,31.63,75.2,-63.18,194.08,-31.0,-0.91,-0.51,-0.36
1.06,38.54,80.33,72.82,5.4,-1.37,-1.24,-0.25,-0.61
-5.1,37.97,81.27,53.61,-96.52,31.31,-0.62,0.37,-0.09
-9.72,34.58,71.25,27.79,23.5,4.08,-0.96,0.07,-0.24
-9.44,20.95,48.62,15.98,-8.22,-19.6,-0.55,-0.41,-0.26
-7.25,23.29,22.92,-21.66,-15.21,-37.0,-1.11,-0.59,-0.2
-0.31,21.54,-8.88,-75.11,-59.04,-36.0,-0.89,-0.47,-0.09
-4.18,24.29,3.21,-90.7,2.87,-27.89,-0.79,-0.12,-0.61
7.06,16.18,35.15,-123.13,-11.62,-1.0,-0.67,-0.57,-0.42
4.21,44.12,53.8,52.72,7.53,-16.07,-0.53,-0.3,-0.14
9.75,30.04,61.36,133.54,-38.11,27.2,-1.14,-0.39,0.02
6.8,31.05,45.24,83.76,103.6,16.27,-1.06,-0.75,-0.07
-3.28,26.85,53.33,44.53,-58.13,37.52,-0.84,0.28,-0.33
-12.09,31.82,51.84,-57.75,-1.23,26.26,-0.93,-0.04,-0.21
-5.07,24.78,30.08,40.19,-24.3,-12.6,-0.8,-0.39,-0.14
-0.87,14.86,9.29,6.63,14.15,-46.49,-1.01,-0.56,-0.18
0.98,5.9,-31.45,-73.95,-32.53,-19.0,-1.12,-0.35,-0.15
-3.54,7.24,-25.31,-76.02,-47.37,-3.3,-0.79,-0.31,-0.21
0.12,9.52,14.24,-158.34,-43.85,3.7,-0.78,-0.16,-0.38
9.6,40.36,27.27,21.28,-3.69,-13.68,-0.56,-0.31,-0.22
9.07,33.9,54.51,159.43,1.34,0.47,-1.16,-0.39,-0.28
6.94,32.8,31.29,57.4,114.24,36.92,-1.06,-1.15,-0.02
-10.71,33.65,52.68,121.56,-26.35,35.0,-0.17,0.31,-0.21
1.9,30.0,40.88,-85.6,-2.69,24.79,-0.75,-0.0,-0.29
-8.79,34.29,19.95,90.73,-2.37,-41.2,-0.77,-0.36,0.1
-12.4,7.34,2.34,-34.98,-19.56,7.34,-1.04,-0.55,-0.29
-7.0,-10.38,-38.92,-73.25,12.58,-33.9,-1.19,-0.34,-0.12
-3.02,-7.75,-35.59,-64.79,-114.19,-47.0,-0.9,-0.34,-0.55
0.55,5.1,4.02,-162.73,-78.83,-27.0,-0.72,-0.21,-0.28
11.22,38.95,9.01,9.58,-1.4,-11.63,-0.48,-0.27,-0.27
7.38,28.47,35.4,157.2,41.95,2.11,-1.7,-0.31,-0.29
0.89,29.54,30.69,22.37,124.73,43.34,-1.18,-0.8,-0.15
-14.37,31.82,46.05,113.03,-44.79,28.5,-0.59,-0.15,-0.07
3.0,44.61,15.65,-10.93,-3.05,3.44,-0.97,0.19,-0.16
-14.49,24.43,-7.04,-11.17,6.84,25.4,-0.76,-0.12,-0.23
-4.91,17.82,-40.8,75.72,-10.4,-51.3,-1.04,-0.57,-0.05
-1.63,19.37,-37.04,-109.79,46.54,11.5,-1.25,-0.36,-0.22
-6.97,13.01,-2.21,-86.19,-85.44,-55.0,-0.8,-0.39,-0.37
-4.15,57.12,-4.14,-132.53,-31.58,-18.0,-0.66,-0.15,-0.26
4.61,54.56,22.27,10.46,-1.44,-6.31,-0.7,-0.23,-0.25
6.29,42.6,19.77,136.4,-32.63,-26.0,-1.28,-0.52,0.09
-14.13,42.92,27.63,-4.53,168.02,-15.9,-0.92,-0.9,-0.02
