yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.16,31.26,84.95,16.44,-33.2,16.05,0.13,1.03,-0.18
-0.83,29.43,83.7,-3.97,-2.2,-3.21,0.01,0.92,-0.19
0.47,27.95,83.55,0.45,-0.67,1.81,0.06,0.97,-0.21
0.2,25.4,82.68,-2.4,-4.89,0.76,0.09,0.99,-0.21
-15.71,23.3,78.33,-17.86,-5.13,-60.6,-0.1,1.24,0.04
-64.79,6.15,129.11,211.4,-68.86,-250.0,-0.45,0.64,-0.85
40.59,70.2,135.5,44.26,250.13,155.5,-0.44,0.14,-0.49
-12.1,52.88,147.69,64.29,-58.35,-46.8,0.0,0.33,-0.38
-5.64,62.9,122.56,-74.08,40.53,-21.6,-1.12,-0.46,-0.8
0.0,-24.55,9.0,-83.12,-63.05,-94.0,-0.88,0.2,-0.39
-7.11,56.24,48.43,-167.89,35.09,-25.0,-0.64,-0.04,-0.81
-4.19,46.95,62.54,63.89,-34.99,-16.1,-0.58,0.04,-0.63
11.6,70.18,79.27,77.7,89.24,44.62,-0.85,-0.07,-0.29
16.64,59.43,101.23,104.22,-40.58,63.9,-0.99,-0.45,-0.53
14.43,51.87,107.63,42.75,-27.31,55.71,-0.66,-0.08,-0.78
4.94,52.86,108.35,16.54,4.55,18.99,-0.68,0.35,-0.49
-9.7,43.13,114.06,38.29,-40.61,-37.4,-0.72,0.19,-0.34
-2.28,61.96,82.76,-103.47,75.36,-8.7,-0.68,-0.38,-0.6
-20.53,52.0,69.09,-41.53,-38.51,-79.0,-0.95,-0.02,-0.73
-17.0,46.93,41.0,-101.61,-18.46,-65.0,-0.47,0.01,-0.56
-4.69,41.5,34.5,-18.58,-20.32,-18.0,-0.59,-0.09,-0.75
7.17,40.53,51.79,77.71,-4.59,27.68,-0.51,-0.2,-0.45
11.51,59.86,67.61,47.75,14.5,41.09,-1.05,-0.01,-0.56
16.04,59.15,92.36,111.22,0.48,61.95,-0.72,-0.31,-0.68
9.15,55.73,86.26,-13.35,-11.33,35.1,-0.67,-0.09,-0.82
-8.22,52.26,95.61,49.77,-12.93,-31.7,-0.67,0.38,-0.57
-6.9,62.19,71.25,-79.4,39.53,-26.6,-0.69,0.17,-0.57
-8.37,58.96,58.29,-40.39,-11.99,-32.0,-0.89,-0.37,-0.51
-21.76,40.01,29.1,-107.15,-76.01,-83.0,-0.84,-0.05,-0.49
-1.15,39.51,0.98,-108.27,-1.88,-4.4,-0.57,0.03,-0.7
0.24,36.41,18.58,70.69,-12.92,0.94,-0.66,-0.0,-0.71
15.06,45.92,38.93,85.73,34.82,58.13,-0.67,-0.08,-0.42
12.1,45.79,47.75,41.59,-2.32,46.7,-1.02,0.02,-0.65
11.84,40.02,62.94,72.21,-23.93,45.55,-0.86,-0.44,-0.56
11.2,29.5,60.87,-1.34,-43.23,43.25,-0.66,0.31,-0.57
-7.6,33.55,66.51,27.53,11.11,-27.13,-0.8,0.28,-0.45
-8.52,49.21,55.54,-29.94,61.11,-32.7,-0.52,-0.27,-0.48
-12.13,50.56,37.52,-61.31,5.41,-46.83,-0.95,-0.3,-0.76
-23.92,35.22,20.5,-63.07,-62.37,-92.0,-0.98,0.11,-0.65
-8.32,40.65,-4.73,-97.44,20.65,-32.1,-0.58,-0.07,-0.63
-0.26,38.01,5.83,42.59,-10.0,-1.0,-0.51,-0.1,-0.67
14.3,43.48,25.37,79.67,18.95,55.21,-0.71,-0.01,-0.46
10.9,45.62,32.59,33.04,6.31,42.08,-0.97,0.01,-0.61
13.55,29.13,52.28,87.36,-66.5,52.1,-0.9,-0.42,-0.68
1.08,31.0,39.77,50.99,-19.57,-18.7,-0.84,0.44,-0.67
-0.53,23.03,38.03,-38.72,-17.88,-1.8,-0.72,0.19,-0.64
-6.71,23.71,28.9,-29.44,-2.85,-25.9,-0.78,-0.32,-0.47
-25.58,15.32,8.88,-75.92,-39.67,-98.0,-1.02,-0.15,-0.63
-8.03,21.06,-17.78,-104.97,17.95,-31.0,-0.97,0.04,-0.52
-1.77,19.07,-9.56,29.69,-10.63,-6.81,-0.66,-0.08,-0.6
17.28,22.94,12.88,89.06,8.05,66.71,-0.6,0.04,-0.77
7.65,22.19,19.79,28.79,-8.55,27.33,-0.96,-0.04,-0.43
12.47,18.05,36.33,74.05,-20.82,47.95,-0.97,-0.15,-0.5
13.35,24.57,34.86,-0.08,23.67,51.53,-0.73,-0.47,-0.44
-2.37,27.7,41.27,29.24,6.11,-9.16,-0.39,0.0,-0.59
-5.02,36.06,45.59,22.9,27.98,-17.92,-0.82,0.21,-0.32
-3.6,48.21,30.98,-48.66,45.95,-13.8,-0.63,-0.06,-0.55
-21.42,39.26,15.63,-58.18,-38.0,-82.0,-1.01,-0.35,-0.68
-16.7,35.22,-23.49,-154.92,-16.3,-64.0,-1.0,0.17,-0.53
-5.95,40.81,-25.47,-12.91,22.77,-22.8,-0.54,0.06,-0.64
1.37,35.34,10.81,141.15,-23.61,5.28,-0.46,0.11,-0.7
14.93,54.29,18.0,31.55,70.37,57.65,-0.75,0.07,-0.61
14.01,53.2,34.28,72.19,-3.3,53.89,-0.94,-0.1,-0.29
16.21,56.66,47.56,60.12,15.81,62.59,-0.91,-0.53,-0.64
6.27,58.78,38.88,-30.86,9.21,24.11,-0.75,-0.15,-0.84
-12.65,59.61,53.27,60.57,5.72,-48.66,-0.79,0.39,-0.47
3.41,71.7,35.66,-56.95,50.87,13.18,-0.57,0.29,-0.51
-34.84,52.7,-9.27,3.0,-13.13,0.0,-0.67,-0.51,-0.41
-8.0,53.05,-37.24,-53.05,-7.42,-50.7,-0.95,0.07,-0.58
-0.49,47.63,-27.72,-110.78,-60.2,-12.0,-0.98,0.09,-0.6
21.53,57.46,-8.77,-113.95,7.09,-30.9,-0.25,-0.0,-0.78
8.17,55.0,-3.04,32.34,-18.3,-1.89,-0.49,-0.02,-0.79
10.74,52.05,12.66,71.85,33.51,82.8,-0.97,-0.04,-0.09
0.24,29.92,41.71,21.36,-9.06,31.42,-0.9,0.03,-0.69
-0.22,38.44,41.17,65.64,-9.51,41.48,-0.67,-0.33,-0.71
-9.63,48.37,19.36,117.03,-76.3,57.5,-0.95,-0.07,-0.88
-21.53,37.93,9.81,4.4,-13.09,0.84,-0.55,0.33,-0.39
-23.8,21.92,-13.06,5.11,30.39,-0.85,-0.54,-0.04,-0.39
-5.61,17.37,-14.86,-78.79,39.37,-37.1,-0.75,-0.28,-0.79
13.77,29.11,8.13,-37.18,-41.28,-82.0,-0.74,0.24,-0.68
26.34,35.27,11.71,-90.74,-65.74,-91.0,-0.68,0.04,-0.65
7.26,24.64,25.83,-9.6,-18.97,-21.6,-0.4,0.03,-0.79
7.89,27.12,31.8,91.05,43.15,53.18,-0.47,-0.07,-0.5
-4.15,26.86,37.77,15.0,21.21,101.72,-1.02,0.1,-0.81
-4.09,12.94,42.14,61.08,-43.64,27.92,-0.75,-0.32,-0.77
-1.03,37.2,17.31,24.45,8.69,28.29,-0.39,0.16,-0.7
-10.81,42.22,2.05,26.47,-5.72,-15.98,-0.84,0.28,-0.49
-20.5,18.47,-23.33,23.63,-59.21,-15.7,-0.64,0.0,-0.6
-6.51,33.23,-34.65,-90.89,89.39,-3.95,-1.31,-0.29,-0.64
10.52,33.53,-6.79,-59.21,17.63,-41.7,-0.88,0.07,-0.65
15.66,49.32,-4.11,-101.15,-98.24,-78.0,-0.79,-0.02,-0.43
6.24,44.19,8.4,-51.49,58.26,-25.1,-0.35,0.19,-0.72
6.64,41.09,23.55,106.15,1.73,40.47,-0.36,-0.01,-0.63
-11.35,27.59,30.33,10.02,58.27,60.47,-1.32,-0.05,-0.58
-1.26,39.17,14.91,50.5,-19.39,23.98,-0.68,-0.12,-0.74
-7.85,39.71,4.36,64.43,-13.08,25.63,-0.75,-0.23,-0.64
-20.5,34.95,-20.9,-28.26,-36.2,37.5,-0.61,0.4,-0.58
-7.01,27.22,-47.28,52.01,-20.09,-40.5,-0.6,0.13,-0.41
1.69,49.21,-17.37,-53.92,41.63,-4.85,-0.98,-0.37,-0.51
15.04,52.05,-7.99,-40.11,-0.08,-30.3,-0.78,0.01,-0.58
8.75,47.32,5.51,-99.09,-23.18,-79.0,-1.1,-0.18,-0.47
10.31,42.42,25.7,-103.24,-29.38,-25.0,-0.61,0.22,-0.71
10.64,37.08,15.69,110.94,91.21,6.52,-0.09,0.1,-0.68
-9.04,30.6,24.71,34.23,9.24,58.05,-0.94,0.08,-0.48
-14.4,48.32,-5.89,54.4,-18.5,33.79,-0.85,-0.17,-0.72
-16.1,37.85,-22.92,83.73,-20.63,39.66,-0.75,-0.2,-0.52
0.5,26.53,-50.9,-42.87,-21.23,41.0,-0.54,0.55,-0.29
-0.75,27.99,-31.35,35.8,-29.68,-34.9,-0.82,0.3,-0.37
17.43,30.95,-5.93,-46.88,69.11,-16.9,-0.76,-0.4,-0.31
1.09,32.64,1.77,-61.32,-4.1,-51.4,-0.91,0.02,-0.47
14.73,21.55,17.79,-68.95,-43.98,-62.0,-0.98,-0.03,-0.54
-1.65,5.68,2.4,-117.64,-45.26,1.9,-0.56,0.15,-0.75
-3.41,9.13,16.24,69.33,2.63,-2.9,-0.68,0.09,-0.64
-7.88,19.57,6.02,96.66,3.72,67.3,-0.94,0.05,0.18
-18.0,16.11,-7.07,30.34,1.83,4.19,-1.04,-0.04,-0.56
-19.23,4.94,-23.73,-65.34,-64.53,-6.3,-1.02,-0.18,-0.59
-1.26,-0.79,-43.99,52.57,5.68,-13.12,-0.41,0.58,-0.54
1.35,0.21,-26.66,-37.08,34.69,-30.4,-0.8,0.34,-0.42
8.36,8.07,-10.52,-48.47,-18.87,-64.0,-0.65,-0.12,-0.45
12.36,9.84,-1.11,-67.79,-52.79,-73.0,-1.1,0.07,-0.64
17.83,8.97,14.47,-86.96,-25.75,-4.8,-0.93,-0.01,-0.4
5.06,-6.97,-2.24,62.39,-1.56,5.2,-0.39,0.19,-0.95
-5.39,-5.67,15.37,61.56,20.31,32.29,-0.48,-0.0,-0.72
-7.76,10.07,10.64,37.39,-1.5,47.56,-0.77,-0.08,-0.26
-10.56,12.06,-4.47,64.13,-9.73,68.83,-0.97,-0.17,-0.5
