yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.23,-54.42,50.32,-0.85,-6.05,-0.88,0.29,0.92,0.28
-0.09,-54.23,50.68,-1.05,-5.32,-0.36,0.29,0.92,0.29
0.1,-54.22,50.73,-2.39,-5.94,0.4,0.29,0.93,0.27
-0.15,-54.1,51.24,-0.47,-5.47,-0.56,0.3,0.91,0.26
-4.28,-51.46,53.57,6.31,4.06,-16.44,0.23,0.94,0.25
-6.96,-52.04,53.18,-4.11,-8.25,-26.86,0.26,0.94,0.24
-5.23,-73.99,36.73,-67.54,-95.88,-20.0,0.1,1.07,0.56
12.9,-76.6,44.71,27.05,-19.58,49.82,0.28,0.85,0.21
7.99,-72.8,41.64,-14.79,-0.02,30.75,-0.41,1.12,0.49
0.73,-69.44,45.68,12.53,4.66,2.82,0.32,0.93,0.31
3.6,-70.79,45.92,-0.84,-12.26,13.89,0.45,0.84,0.3
-0.69,-68.94,46.83,-2.72,-6.34,1.91,0.35,0.91,0.27
-0.45,-68.44,46.46,0.67,-2.24,-2.66,0.36,0.9,0.26
-0.42,-67.98,46.01,-4.35,-5.88,-1.75,0.34,0.9,0.26
-0.07,-67.66,45.48,-4.78,-6.15,-1.6,0.32,0.91,0.28
