yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.17,-22.01,66.29,-1.24,-20.87,3.38,0.2,0.97,0.09
-0.86,-21.61,66.66,0.25,0.4,-2.88,0.25,0.94,0.1
-0.34,-23.56,65.46,-5.78,-8.63,-1.31,0.29,0.96,0.09
-1.59,-23.53,64.26,-5.82,-1.0,-6.15,0.28,0.94,0.13
-4.11,-22.72,65.68,3.79,1.47,-15.87,0.21,0.97,0.1
-9.79,-27.21,69.61,13.22,-20.59,-37.7,0.12,0.98,0.08
-15.3,-31.46,51.46,-74.7,-21.59,-59.0,-0.02,1.36,0.23
9.19,-48.99,56.56,17.44,-73.51,35.21,0.14,0.84,0.28
11.21,-53.26,54.22,-11.37,-24.37,43.2,0.1,1.18,0.45
3.03,-41.2,58.25,16.06,44.22,11.72,0.53,0.97,0.42
0.49,-42.98,60.56,7.94,-11.12,1.89,0.28,0.91,0.27
0.26,-43.6,61.06,0.47,-7.05,1.02,0.26,0.96,0.23
-0.37,-43.84,61.56,0.66,-5.44,-1.43,0.28,0.94,0.22
-0.05,-44.23,60.96,-3.75,-6.1,-0.21,0.27,0.94,0.22
-0.46,-44.38,61.51,0.73,-5.37,-1.77,0.25,0.93,0.22
