yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.83,42.66,-11.86,27.89,14.97,16.66,-0.3,-0.95,-0.08
-4.02,55.7,-11.4,9.93,53.0,-14.84,-0.41,-0.93,0.12
-14.4,47.55,-21.19,-29.21,-26.25,-55.0,-0.27,-1.0,0.05
-13.3,52.02,-31.73,-34.4,26.15,-51.4,0.06,-0.81,0.29
24.21,32.51,-49.81,-67.7,-68.32,93.1,0.19,-0.99,-0.51
12.21,32.72,-19.35,121.34,-0.26,47.15,-0.76,-0.81,-0.45
-5.99,30.73,-7.82,49.31,-8.89,-23.03,-0.8,-0.81,0.61
-12.7,21.19,-14.23,-18.9,-32.7,-49.0,0.07,-0.66,0.54
1.08,22.49,-41.08,-97.76,9.99,4.14,0.18,-1.13,0.23
37.8,39.62,-39.49,11.99,72.14,145.94,-0.04,-0.86,-0.21
-12.5,27.41,-33.41,26.36,-48.87,-48.4,-0.66,-0.84,0.09
-17.6,22.06,-32.59,7.91,-18.62,-67.95,-0.16,-0.84,0.41
-7.63,21.35,-56.38,-87.57,0.6,-29.46,-0.01,-0.94,0.12
26.05,4.04,-63.12,-25.96,-65.99,100.0,-0.01,-0.96,-0.49
-1.95,1.78,-38.45,97.46,-13.98,-7.52,-0.64,-0.89,-0.27
-10.4,11.12,-9.22,117.66,33.0,-39.9,-0.5,-0.68,0.57
-18.0,24.72,-28.68,-68.4,55.44,-69.4,-0.08,-0.88,0.33
-2.99,25.17,-52.73,-89.76,8.82,-11.49,0.31,-0.9,0.1
38.29,-4.31,-65.08,-47.54,-115.08,147.0,-0.05,-0.79,-0.35
0.86,-4.67,-34.2,119.55,-9.08,3.31,-0.75,-0.68,-0.4
-22.2,-22.12,-4.97,116.25,-75.11,-85.0,-0.49,-0.5,0.88
-18.0,-45.18,-35.1,-111.78,-93.07,-71.0,0.25,-0.71,0.31
12.7,-40.94,-61.31,-97.85,10.65,49.23,0.09,-0.93,-0.09
24.7,-37.66,-53.21,29.56,0.69,95.33,-0.81,-0.93,-0.56
-14.0,-26.81,-28.39,100.75,32.75,-54.9,-0.53,-0.9,0.13
-23.0,-29.74,-25.26,14.92,-15.76,-91.7,0.03,-0.72,0.77
7.57,-42.7,-44.77,-73.11,-52.02,29.1,0.55,-0.95,0.28
28.9,-29.14,-52.13,-26.79,45.79,111.9,-0.22,-0.93,-0.44
17.0,-31.53,-28.69,92.15,-21.16,65.21,-0.7,-0.7,0.23
-26.0,-31.53,-18.69,40.86,-10.38,-101.0,-0.56,-0.56,0.66
-15.0,-59.19,-45.02,-99.28,-114.31,-60.0,0.16,-0.77,0.47
21.1,-58.97,-69.95,-96.05,-5.75,81.56,0.31,-0.94,-0.07
16.1,-52.69,-47.52,84.68,8.54,62.27,-0.97,-0.84,-0.5
-5.3,-52.14,-17.26,120.65,-13.12,-20.0,-0.69,-0.67,0.34
-22.0,-47.4,-22.97,-18.22,8.36,-86.09,-0.24,-0.7,0.62
-6.9,-58.94,-44.76,-80.61,-51.24,-26.0,0.31,-0.95,0.27
23.7,-69.02,-66.75,-82.11,-48.97,91.1,0.08,-0.88,-0.09
7.25,-72.24,-45.1,84.4,-29.76,27.89,-0.61,-0.82,-0.17
-18.0,-69.49,-19.56,101.31,-6.25,-71.3,-0.6,-0.61,0.58
-25.0,-69.38,-28.97,-32.97,-11.43,-97.0,-0.08,-0.72,0.64
4.6,-65.58,-50.41,-80.5,7.64,17.78,0.4,-0.97,0.23
30.5,-66.35,-63.9,-51.35,-13.92,117.0,-0.03,-0.8,-0.33
7.81,-78.94,-36.73,108.42,-66.05,30.1,-0.43,-0.74,-0.14
-11.0,-80.17,-20.24,65.79,-23.18,-42.3,-0.61,-0.61,0.63
-2.3,-81.34,-50.65,-35.28,-32.32,-81.0,-0.09,-0.83,0.47
27.0,-81.74,-59.59,-75.19,3.53,-8.98,0.36,-0.93,0.28
0.05,-84.3,-26.82,-33.78,-16.1,103.0,-0.15,-0.82,-0.38
-18.0,-76.6,-13.06,132.97,-27.16,0.18,-0.33,-0.77,0.02
-18.0,-82.95,-34.61,56.66,13.98,-71.86,-0.38,-0.63,0.77
13.3,-81.74,-70.5,-80.84,-36.89,-73.0,0.1,-0.73,0.62
27.1,-92.67,-64.76,-139.61,-3.76,51.4,0.51,-0.9,-0.07
-6.8,-96.42,-29.37,20.18,-59.21,104.0,-0.32,-0.94,-0.62
-24.0,-90.86,-28.86,138.76,-37.22,-26.0,-0.68,-0.65,0.21
-12.0,-86.23,-53.61,3.04,4.44,-95.81,-0.28,-0.63,0.83
15.1,-74.81,-78.5,-94.04,6.6,-47.05,0.27,-0.88,0.35
24.7,-83.07,-65.57,-97.92,34.69,58.13,0.32,-0.96,-0.32
-10.0,-83.77,-32.83,46.86,-50.14,95.43,-0.69,-0.99,-0.63
-28.0,-93.47,-46.83,125.84,-24.92,-38.0,-0.9,-0.59,0.23
4.84,-79.75,-67.7,-54.19,-54.09,-109.0,-0.18,-0.67,0.65
25.0,-109.43,-61.38,-80.69,43.63,18.69,0.35,-0.89,0.13
1.35,-86.16,-30.91,24.78,-132.32,98.4,-0.08,-1.02,-0.48
-20.0,-87.26,-30.02,119.91,70.01,5.23,-0.59,-0.69,0.36
-8.7,-93.32,-53.83,5.85,-20.22,-79.33,-0.22,-0.73,0.69
14.0,-112.52,-75.99,-89.84,-37.52,-33.0,0.08,-0.86,0.4
7.0,-123.71,-65.17,-84.61,-92.44,56.2,-0.06,-0.95,-0.16
-8.0,-82.99,-36.39,39.71,-68.27,27.06,-0.61,-0.91,-0.35
-20.0,-75.05,-39.26,113.15,137.65,-30.0,-0.62,-0.84,0.25
-0.8,-74.42,-51.11,-8.41,16.98,-79.95,-0.17,-0.82,0.54
15.1,-76.33,-74.67,-42.65,-6.96,-3.28,0.3,-1.02,0.21
5.6,-102.25,-54.09,-88.93,-19.64,58.3,-0.0,-0.88,-0.07
-22.0,-91.91,-44.66,78.52,-123.01,21.6,-0.71,-0.82,-0.18
-11.0,-86.57,-55.79,39.34,23.41,-86.69,-0.16,-0.82,0.37
4.04,-85.36,-77.38,-41.97,6.96,-43.12,0.03,-0.88,0.47
20.4,-79.89,-76.67,-84.19,-5.88,15.56,0.34,-0.95,0.0
1.54,-93.41,-57.56,-0.76,5.56,78.89,-0.35,-0.99,-0.6
-24.0,-74.49,-42.47,76.01,-68.87,5.9,-0.21,-0.85,0.09
-7.9,-68.69,-56.1,59.44,61.43,-94.65,0.04,-0.76,0.64
2.04,-55.33,-69.53,-50.92,11.73,-30.7,0.04,-0.89,0.38
18.3,-63.44,-85.32,-51.97,45.04,7.83,0.27,-0.93,0.27
-5.6,-73.04,-61.46,-63.98,-42.3,70.6,-0.08,-0.87,-0.37
-12.0,-68.45,-46.59,91.31,-53.42,-21.6,-0.48,-0.82,-0.14
-21.0,-81.11,-60.72,56.11,1.14,-48.64,-0.62,-0.68,0.59
14.7,-77.3,-83.19,-54.5,-60.21,-84.0,0.15,-0.79,0.44
18.5,-91.77,-72.81,-87.25,4.16,56.67,0.19,-0.91,-0.0
-18.0,-85.2,-50.93,38.2,-73.85,71.45,-0.36,-0.93,-0.37
-22.0,-79.82,-43.67,83.02,4.04,-70.03,-0.77,-0.7,0.11
-3.6,-69.55,-61.55,30.14,8.32,-84.69,0.05,-0.86,0.54
15.6,-76.1,-82.98,-67.63,31.02,-13.9,0.29,-0.93,0.23
24.4,-72.4,-69.08,-85.25,-36.12,60.0,0.15,-0.98,-0.43
-13.0,-83.31,-53.26,50.15,-2.02,93.97,-0.46,-0.72,-0.44
-23.0,-75.19,-40.33,58.62,-63.88,-51.4,-0.94,-0.73,0.02
-6.2,-78.48,-66.31,53.31,18.36,-91.8,-0.08,-0.77,0.39
25.6,-83.34,-79.43,-100.44,-21.79,-24.0,0.39,-0.95,0.19
5.67,-92.66,-58.51,-53.48,-31.04,98.8,0.11,-0.89,-0.49
-23.0,-103.16,-40.6,80.98,-55.05,21.8,-0.43,-0.84,-0.12
-6.0,-110.16,-57.33,70.34,-59.92,-92.4,-0.28,-0.7,0.57
1.2,-103.25,-77.9,-62.95,-43.35,-23.0,0.14,-0.92,0.39
14.0,-116.84,-85.94,-80.11,12.14,4.68,0.22,-0.93,0.17
-1.0,-108.86,-56.11,-35.74,-74.44,54.2,-0.44,-0.91,-0.46
-11.0,-91.58,-40.33,115.23,8.24,-5.37,-0.53,-0.85,-0.18
-22.0,-96.39,-51.51,61.11,48.66,-43.55,-0.35,-0.71,0.68
13.2,-90.29,-73.94,-42.34,-36.82,-85.0,-0.31,-0.83,0.48
26.1,-69.32,-57.44,-89.17,14.09,51.25,0.56,-0.9,-0.09
-11.0,-69.4,-26.69,61.82,65.56,100.56,-0.46,-0.81,-0.59
-19.0,-65.79,-39.86,119.06,-17.89,-43.0,-0.67,-0.5,0.62
-9.1,-66.45,-59.95,-48.23,1.29,-76.09,-0.21,-0.77,0.5
19.0,-105.58,-78.27,-75.5,-12.89,-35.0,0.03,-0.9,0.31
3.8,-112.05,-64.07,-71.38,-167.24,74.0,0.09,-1.0,-0.27
-13.0,-104.17,-36.69,53.5,-47.98,14.6,-0.51,-0.81,-0.11
-10.0,-92.83,-50.35,108.37,10.21,-53.7,-0.34,-0.75,0.44
-0.3,-80.01,-68.13,-50.27,28.13,-38.3,-0.05,-0.89,0.44
25.9,-92.58,-74.04,-67.63,38.97,-1.22,0.29,-1.04,0.14
0.66,-76.06,-54.62,-23.16,-62.27,100.0,0.13,-0.94,-0.28
-16.0,-67.74,-44.73,74.43,45.45,2.53,-0.61,-0.81,-0.06
-12.0,-59.07,-52.23,40.22,17.11,-65.44,-0.43,-0.84,0.32
6.39,-57.22,-69.23,-27.6,23.14,-48.7,-0.08,-0.88,0.5
20.0,-103.67,-68.57,-63.58,-1.34,24.67,0.07,-0.97,0.11
-7.5,-93.16,-50.9,3.45,-195.89,77.92,-0.07,-0.98,-0.27
-17.0,-74.41,-48.09,69.02,20.98,-29.21,-0.48,-0.83,0.3
-1.8,-69.59,-64.99,11.93,58.17,-67.47,-0.22,-0.83,0.53
13.4,-77.89,-79.3,-64.1,8.75,-7.22,0.14,-0.94,0.27
6.8,-86.31,-66.79,-54.73,-44.24,51.7,0.02,-0.95,-0.14
-12.0,-77.74,-44.4,46.5,-50.85,26.16,-0.55,-0.95,-0.29
-14.0,-66.09,-50.9,87.95,16.39,-49.53,-0.42,-0.8,0.34
-3.9,-61.83,-71.11,-23.37,33.06,-55.0,-0.14,-0.89,0.46
19.4,-80.36,-74.87,-77.92,9.63,-15.29,0.36,-0.99,0.06
-2.4,-59.76,-52.09,-15.73,-85.44,74.9,-0.11,-0.91,-0.37
-10.0,-40.15,-44.83,90.29,66.24,-9.54,-0.35,-0.91,-0.02
-10.0,-35.71,-53.92,30.82,67.21,-39.48,-0.19,-0.88,0.41
3.61,-34.86,-61.18,-31.98,12.05,-38.7,0.06,-0.89,0.26
10.2,-30.67,-74.14,-24.37,-1.92,13.88,0.04,-0.98,0.11
12.1,-31.75,-42.1,-50.05,11.13,39.73,-0.01,-0.95,-0.27
-18.0,-44.04,-30.19,125.53,-14.37,46.6,-0.51,-0.79,-0.16
-15.0,-50.57,-50.48,46.47,-59.43,-71.6,-0.57,-0.61,0.74
6.44,-35.56,-67.13,-74.76,-32.52,-59.0,0.06,-0.89,0.33
23.1,-45.14,-67.62,-62.68,54.26,24.79,-0.42,-0.9,-0.52
-3.0,-20.23,-34.2,-4.17,-47.78,89.31,-0.6,-0.69,0.23
-21.0,-24.91,-35.89,131.07,86.54,-11.5,-0.16,-0.8,0.54
-8.7,-31.65,-53.74,-3.44,-23.51,-83.0,0.26,-0.99,0.19
13.9,-44.32,-68.53,-65.7,-28.7,-33.0,0.24,-0.94,0.01
21.2,-41.34,-64.76,-56.02,-53.69,53.8,-0.48,-0.8,-0.38
0.2,-41.89,-41.01,12.53,0.31,81.77,-0.54,-0.77,0.16
-15.0,-39.88,-45.67,93.73,-14.41,0.77,-0.32,-0.81,0.38
-4.5,-42.0,-60.85,-15.92,-1.82,-60.6,0.12,-0.98,0.06
17.1,-35.87,-69.81,-54.95,-13.82,-17.0,-0.02,-0.9,-0.19
13.4,-42.36,-54.78,-33.02,17.57,65.55,-0.53,-0.83,-0.31
-13.0,-58.45,-34.8,57.82,-36.87,51.78,-0.84,-0.61,0.37
-21.0,-64.21,-42.62,76.65,-79.21,-51.8,-0.14,-0.83,0.44
-4.9,-74.57,-63.87,-27.27,-33.89,-81.0,0.16,-0.98,0.17
24.1,-79.91,-83.16,-79.69,-50.3,-18.0,0.08,-0.92,-0.25
16.5,-64.13,-69.04,-75.66,-32.58,92.9,-0.65,-0.82,-0.56
-6.9,-61.54,-47.71,50.41,45.26,63.82,-0.48,-0.72,0.2
-23.0,-66.08,-49.29,83.04,-5.18,-26.63,-0.15,-0.86,0.36
5.33,-66.44,-81.4,-3.5,-29.66,-89.8,0.23,-0.92,0.11
25.2,-72.9,-84.93,-124.62,-9.78,20.4,-0.06,-0.91,-0.63
10.4,-61.97,-57.3,-18.38,-37.17,97.3,-0.52,-0.73,-0.18
-16.0,-64.13,-44.93,105.59,26.6,40.19,-0.72,-0.65,0.4
-19.0,-69.18,-52.81,46.54,-25.54,-63.0,-0.04,-0.87,0.39
-1.7,-66.53,-73.44,-28.29,-30.93,-76.0,0.17,-0.93,0.15
26.9,-67.82,-90.77,-78.86,1.21,-6.9,-0.08,-0.84,-0.53
15.0,-72.61,-73.67,-72.25,-16.59,103.0,-0.62,-0.77,-0.59
-5.4,-76.92,-47.28,60.67,-35.3,58.02,-0.64,-0.67,0.05
-20.0,-81.48,-46.44,101.74,-36.0,-20.0,-0.44,-0.79,0.34
-10.0,-84.75,-53.47,4.54,-34.92,-79.44,0.15,-0.97,0.22
2.45,-87.23,-68.42,-23.71,-24.87,-41.0,0.12,-0.89,0.5
30.2,-94.79,-84.96,-58.86,-22.48,9.41,-0.16,-0.89,-0.54
7.21,-80.93,-48.46,-68.25,-45.84,116.0,-0.62,-0.73,-0.16
-30.0,-71.52,-44.25,140.41,33.95,27.75,-0.53,-0.67,0.69
-8.1,-75.87,-70.01,15.15,20.1,-116.1,0.17,-0.9,0.19
19.8,-71.49,-84.31,-98.44,-27.22,-31.0,0.02,-0.88,-0.32
12.7,-62.73,-65.8,-57.28,5.6,76.42,-0.72,-0.85,-0.34
-11.0,-76.06,-45.97,68.41,17.63,49.34,-0.78,-0.71,0.21
-19.0,-77.7,-49.84,75.5,-70.92,-42.9,-0.25,-0.88,0.37
-5.3,-72.38,-68.21,-12.84,-21.19,-75.0,0.27,-0.97,0.14
25.9,-89.74,-82.1,-69.96,11.31,-20.6,-0.21,-0.92,-0.33
0.79,-92.28,-51.95,-55.89,-83.12,99.6,-0.52,-0.79,-0.1
-18.0,-86.22,-46.87,117.1,-29.99,3.05,-0.38,-0.77,0.55
-14.0,-97.6,-66.73,19.92,6.02,-70.81,-0.13,-0.86,0.28
14.0,-74.4,-85.18,-76.07,-60.95,-57.0,0.23,-0.9,-0.17
18.3,-66.41,-71.04,-73.03,79.53,53.92,-0.64,-0.89,-0.57
-1.3,-64.16,-50.59,50.39,15.12,70.52,-0.55,-0.83,0.13
-17.0,-69.46,-46.82,79.54,-6.89,-5.34,-0.15,-0.85,0.38
4.02,-63.25,-72.55,17.4,-33.16,-68.7,0.12,-0.92,0.17
18.5,-68.33,-85.15,-98.22,14.94,15.45,-0.37,-0.86,-0.57
14.2,-72.73,-73.33,-54.06,-33.8,71.7,-0.68,-0.73,-0.49
-10.0,-75.22,-53.26,40.26,-34.63,54.63,-0.72,-0.75,-0.02
-19.0,-76.26,-50.12,76.37,-28.76,-39.7,-0.28,-0.86,0.34
-12.0,-84.16,-64.9,14.11,-18.95,-75.7,0.02,-0.9,0.26
12.4,-94.74,-81.26,-55.37,-43.74,-49.0,0.19,-0.91,-0.55
15.8,-73.11,-56.8,-66.92,-54.49,47.8,-0.26,-0.86,-0.32
7.13,-53.84,-28.35,95.28,69.0,60.89,-0.65,-0.7,0.3
-21.0,-87.5,-31.93,112.04,58.99,27.43,-0.56,-0.7,0.47
15.0,-122.19,-61.58,-11.86,-148.85,-82.0,0.5,-0.96,0.0
18.0,-115.28,-56.7,-113.92,-148.55,59.0,-0.58,-0.92,-0.52
-10.0,-107.7,-33.71,17.76,3.51,72.19,-0.58,-0.85,0.1
-18.0,-99.9,-30.12,91.88,6.43,-39.26,-0.23,-0.79,0.61
-2.0,-124.78,-51.11,17.11,11.94,-70.31,0.33,-0.94,0.31
24.0,-123.08,-64.55,-78.95,-113.16,-8.0,0.06,-0.92,-0.16
15.4,-98.87,-53.33,-49.26,-12.6,95.4,-0.58,-0.8,-0.31
-2.8,-82.76,-20.61,42.83,72.03,59.82,-0.78,-0.72,0.04
-24.0,-87.52,-16.35,129.32,41.09,-10.7,-0.18,-0.7,0.66
-20.0,-110.65,-39.45,21.08,-34.09,-93.6,-0.22,-0.71,0.56
24.0,-108.42,-70.02,-87.54,-109.3,-80.0,0.25,-0.89,-0.14
26.0,-121.46,-68.95,-117.24,-6.36,95.0,-0.84,-0.8,-0.63
-9.0,-113.08,-39.31,-0.97,-75.62,101.3,-0.83,-0.75,-0.25
-21.0,-99.41,-24.53,114.74,6.74,-38.47,-0.58,-0.77,0.5
-5.0,-102.87,-46.35,60.12,31.47,-82.69,0.34,-0.92,0.31
19.0,-111.47,-65.97,-81.19,-26.72,-19.0,0.17,-0.99,-0.31
15.0,-99.98,-50.36,-75.04,-49.66,76.1,-0.52,-0.74,-0.09
-10.0,-93.66,-24.69,60.68,22.57,57.69,-0.49,-0.67,0.36
-18.0,-91.22,-32.14,102.85,4.07,-41.18,-0.07,-0.82,0.57
3.43,-86.71,-53.92,-24.95,-5.89,-70.3,0.23,-0.96,0.01
19.7,-92.85,-57.61,-80.11,5.59,13.18,-0.21,-0.99,-0.36
5.24,-84.47,-38.46,-12.78,-40.48,76.0,-0.57,-0.77,-0.01
-20.0,-78.56,-31.88,76.39,12.89,20.24,-0.38,-0.8,0.42
-11.0,-85.66,-44.41,28.83,6.42,-78.02,0.02,-0.91,0.29
8.98,-78.35,-65.25,-43.88,-40.98,-42.0,0.28,-0.88,-0.02
19.7,-90.37,-58.91,-79.01,18.38,34.54,-0.54,-0.87,-0.48
2.84,-43.8,-26.84,23.08,-65.53,76.2,-0.63,-0.7,0.01
-16.0,-59.32,-23.72,126.76,165.39,10.9,-0.22,-0.76,0.56
-7.5,-65.24,-45.14,16.54,-71.54,-64.3,-0.09,-0.91,0.33
10.6,-32.0,-57.14,-78.47,-34.06,-29.0,0.12,-0.94,-0.13
16.4,-26.43,-52.25,-42.65,123.91,40.9,-0.2,-0.89,-0.28
7.05,-9.68,-16.48,21.56,15.33,63.37,-0.69,-0.65,0.13
-14.5,16.15,-10.99,141.8,55.44,27.11,-0.49,-0.77,0.65
0.41,-36.38,-47.3,26.36,98.12,-56.21,0.29,-0.92,0.19
22.3,-27.42,-48.81,-136.1,-205.17,1.0,-0.42,-0.82,-0.21
