yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.4,16.39,-67.61,3.93,9.98,-8.04,-0.23,-0.96,-0.04
0.08,16.78,-67.56,2.02,2.42,0.3,-0.17,-0.97,-0.03
1.4,17.52,-68.11,-0.15,4.12,5.4,-0.16,-0.95,-0.02
8.43,9.9,-54.94,52.3,-23.81,32.56,0.69,-1.48,-0.19
-0.82,11.09,-36.0,73.32,-2.06,-3.17,-1.0,-0.76,0.11
-15.0,-14.94,-39.51,-14.89,-105.34,-58.0,-0.33,-0.56,0.87
44.22,7.2,-55.82,-58.19,79.85,158.5,-0.07,-0.92,-0.58
28.4,63.82,8.98,250.13,215.91,109.0,-0.83,0.14,0.01
-26.1,-0.53,-15.12,-89.4,-250.14,-10.0,-0.23,-0.34,0.46
8.67,-0.43,-44.16,-105.87,1.05,33.46,0.09,-1.06,-0.1
36.04,8.85,-59.11,-57.24,33.56,138.6,-0.28,-0.64,-0.23
16.0,-9.01,-19.58,152.68,-79.87,61.7,-0.97,-0.38,-0.44
-13.0,-56.56,-40.49,71.85,-68.42,-152.0,-1.18,-0.14,0.53
21.4,-44.66,-59.35,-149.73,-131.53,-5.0,0.87,-1.03,-0.1
24.9,-41.58,-47.36,-70.95,38.85,82.63,0.02,-0.89,-0.34
-0.4,-34.99,-11.76,46.44,0.78,96.27,-0.47,-0.76,-0.49
-24.0,-95.15,-35.16,140.27,10.66,-1.63,-0.92,-0.59,-0.11
19.5,-75.71,-52.11,-90.43,-250.14,-96.0,-0.25,-0.52,0.72
20.0,-61.2,-38.25,-62.85,64.7,75.32,0.25,-1.03,-0.36
6.3,-64.76,-12.6,101.05,-33.88,24.2,-0.5,-0.9,-0.45
-15.0,-109.63,-48.94,-140.63,-192.28,-6.0,-1.01,-0.53,0.15
14.1,-86.21,-65.92,-65.04,76.99,54.42,-0.21,-0.64,0.64
18.0,-74.74,-56.72,35.36,28.5,69.81,0.09,-0.97,-0.39
5.77,-68.32,-34.33,88.94,7.62,22.2,-0.41,-0.85,-0.4
-25.0,-92.65,-26.57,34.24,-114.21,-99.0,-0.58,-0.74,-0.02
-0.9,-91.95,-51.31,-93.07,-8.4,-3.65,-0.5,-0.72,0.22
21.1,-69.45,-51.62,2.08,73.74,81.28,0.45,-1.05,-0.09
6.27,-54.64,-30.11,85.56,41.43,24.22,-0.18,-0.92,-0.25
-9.4,-69.29,-20.36,37.11,-69.62,-33.5,-0.76,-0.79,-0.14
-13.0,-95.57,-53.26,-123.98,-115.62,-5.0,-0.83,-0.67,0.4
17.6,-74.28,-71.47,-69.82,69.55,67.79,0.07,-0.83,0.31
22.8,-58.1,-36.29,137.6,48.76,88.14,-0.04,-0.9,-0.28
-8.2,-63.65,-27.08,37.02,-39.2,-31.6,-0.49,-0.79,-0.54
-13.0,-86.23,-42.14,-55.63,-103.64,-51.0,-0.81,-0.66,0.38
2.2,-86.21,-58.99,-62.57,-11.09,8.47,-0.31,-0.81,0.44
23.2,-65.18,-65.12,-24.08,68.81,89.85,0.3,-1.01,0.09
18.1,-38.55,-32.9,124.33,87.38,70.02,-0.2,-0.88,-0.41
-15.0,-68.46,-30.54,10.94,-131.92,-60.0,-0.83,-0.53,-0.08
-8.9,-80.29,-58.6,-105.66,-58.71,-34.0,-0.63,-0.66,0.35
19.5,-63.94,-66.35,-29.91,51.61,75.24,-0.01,-0.91,0.24
16.3,-40.1,-42.05,93.85,78.51,62.99,-0.12,-0.93,-0.41
-6.6,-42.95,-22.94,76.84,-24.89,-25.4,-0.73,-0.7,-0.27
-13.0,-76.59,-43.06,-75.72,-143.93,-52.0,-0.7,-0.7,0.2
6.68,-74.02,-53.92,-38.2,0.1,25.69,-0.17,-0.76,0.5
17.5,-46.03,-47.72,28.2,98.18,67.73,0.25,-1.06,-0.08
21.86,-1.06,-23.59,88.97,153.79,78.07,-0.25,-0.9,-0.04
-18.0,-38.34,-14.31,40.0,-156.15,-71.0,-0.72,-0.69,-0.24
-14.0,-58.54,-44.15,-110.03,-88.49,-57.0,-0.63,-0.63,0.34
13.3,-58.37,-54.97,-38.59,-8.53,51.39,-0.1,-0.86,0.18
23.3,-38.95,-38.72,66.15,64.83,90.15,0.02,-0.97,-0.28
1.93,-36.41,-17.2,85.98,-4.49,7.44,-0.38,-0.8,-0.27
-18.0,-95.48,-19.8,-6.37,-247.98,-70.0,-0.92,-0.7,-0.05
10.8,-98.69,-68.29,-189.06,-22.27,41.0,-0.45,-0.64,0.53
27.8,-84.64,-54.74,51.29,36.93,107.47,0.64,-0.84,-0.12
17.5,-75.25,-18.24,144.23,16.69,67.56,-0.45,-0.86,-0.61
-5.9,-77.96,-13.77,16.69,-33.69,-23.0,-0.68,-0.63,-0.18
34.3,-83.93,-48.59,0.55,-9.6,0.0,-1.49,-0.3,0.55
0.72,-79.66,-24.23,-161.89,-233.19,-3.0,0.21,-0.59,0.72
-12.0,-138.94,-50.24,23.89,161.89,123.1,-0.44,-0.89,-0.56
14.0,-111.45,-70.63,94.21,-6.33,2.76,-1.15,-0.59,-0.09
18.0,-100.26,-54.87,-102.3,-250.14,-4.0,0.11,-0.58,0.72
5.49,-82.59,-31.65,-79.28,89.53,55.03,0.19,-0.98,-0.41
-18.0,-112.41,-40.45,62.65,24.11,72.77,-0.3,-0.87,-0.23
10.0,-107.16,-62.58,91.24,47.5,21.02,-0.72,-0.74,0.06
19.2,-98.18,-64.93,-30.16,-125.21,-66.0,-0.17,-0.73,0.59
