yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-3.13,60.12,43.39,14.92,41.15,-13.6,4.75,-0.68,0.0
-11.06,49.6,51.01,57.56,127.85,-10.8,-0.48,0.75,0.68
6.87,13.95,4.88,32.48,-40.17,-42.7,-1.45,1.05,0.86
1.91,16.91,7.33,-13.22,-159.79,60.0,-0.45,0.71,1.58
5.57,8.91,31.81,-150.72,23.11,24.6,0.04,0.09,-0.38
0.46,8.72,36.22,13.43,14.47,7.34,-0.26,0.22,0.98
-0.84,9.86,35.02,98.0,-31.97,21.6,0.09,0.52,1.48
-0.89,11.64,39.73,19.75,1.2,1.79,-0.07,0.23,0.9
-2.17,10.87,35.24,-1.34,5.28,-3.24,-0.08,0.34,1.0
5.17,4.34,7.14,20.08,7.47,-3.21,-0.02,0.42,1.08
0.85,8.33,-2.48,-15.11,-1.34,-8.39,0.01,0.45,1.23
-1.88,9.06,-1.6,-110.56,-24.42,19.0,0.05,-0.33,0.5
-0.59,25.37,17.43,-31.99,17.44,3.27,0.19,-0.28,0.95
5.26,31.05,31.98,5.74,6.02,-7.3,0.14,0.07,0.52
-1.14,27.95,30.83,75.02,69.55,-2.26,-0.3,0.53,1.46
0.39,24.93,32.94,58.18,25.16,20.32,-0.2,0.37,0.92
1.04,12.59,5.18,-2.9,-9.32,-4.4,-0.17,0.46,0.85
-2.91,15.77,-11.35,8.93,-9.28,1.51,-0.14,0.7,1.72
-2.32,13.68,-10.24,-109.89,-46.27,4.0,-0.08,-0.2,0.31
2.95,27.82,20.56,-60.48,12.89,-11.2,0.2,-0.26,1.05
-0.17,37.17,33.97,4.85,-4.17,-8.97,0.07,-0.21,0.8
0.9,38.75,38.09,23.36,8.29,-0.69,0.02,0.21,0.58
0.61,33.44,32.82,89.99,50.26,10.53,-0.09,0.57,1.09
-1.7,32.12,12.54,53.07,41.52,-0.66,-0.2,0.6,0.98
-6.77,38.64,-1.1,16.95,10.71,3.47,-0.23,0.64,1.04
-2.8,36.71,-6.4,-20.14,-16.87,2.35,-0.05,0.44,0.95
0.11,31.15,-2.24,-80.27,-0.36,-6.57,-0.06,0.02,0.83
1.73,28.96,11.63,-53.04,30.79,-26.1,-0.1,-0.21,0.83
6.38,33.72,26.16,-19.16,-2.56,-10.8,-0.07,-0.18,0.87
-0.61,31.07,30.05,17.52,-17.24,0.44,-0.08,0.09,1.0
0.47,24.39,24.45,54.63,-4.53,6.67,-0.15,0.34,1.29
2.49,18.93,4.84,57.95,22.77,24.63,-0.05,0.45,1.09
0.62,14.34,-7.4,16.3,-5.66,-2.36,0.01,0.5,1.27
-2.26,14.81,-6.24,-21.11,-21.79,1.82,-0.07,0.31,1.0
-3.25,16.98,6.42,-77.37,-18.56,9.58,-0.02,-0.14,0.84
-3.07,17.38,25.54,6.19,5.95,-8.74,0.16,-0.24,0.78
0.09,19.88,31.43,51.21,12.15,-12.53,0.11,-0.14,0.97
-0.47,23.87,30.29,75.37,3.56,-11.85,-0.11,0.37,1.28
3.32,20.36,13.17,23.84,12.37,0.37,-0.07,0.51,1.12
2.68,14.15,-8.02,-3.24,18.69,-1.8,-0.07,0.48,1.13
-1.05,16.72,-7.48,-67.46,-11.34,12.8,-0.16,0.52,1.33
-3.3,16.5,7.66,-82.44,-21.47,10.3,0.01,-0.04,0.64
1.7,15.45,30.13,4.45,14.92,-4.05,0.18,-0.27,0.64
-2.46,18.81,33.74,60.72,2.47,-12.73,0.07,-0.11,0.96
-2.58,23.15,33.04,81.3,-2.18,6.08,-0.1,0.49,1.06
2.26,20.23,17.45,15.11,16.04,-9.48,0.01,0.54,1.09
2.44,19.26,-2.12,-2.33,19.67,-9.96,-0.11,0.62,1.04
0.26,21.42,-5.42,-61.07,-9.22,8.72,-0.17,0.5,1.17
1.55,18.64,1.7,-77.94,-1.0,9.4,-0.03,0.17,0.75
-2.04,21.99,12.94,-11.51,12.09,0.93,0.12,-0.11,0.83
0.42,24.23,21.44,28.63,-7.94,5.99,-0.02,-0.08,0.97
-0.36,20.31,25.33,44.2,16.58,-7.89,0.01,0.15,1.03
2.16,14.78,18.65,33.44,12.5,1.63,-0.01,0.34,1.09
-0.11,13.1,3.04,15.89,-12.73,-1.4,-0.11,0.41,1.11
0.96,11.53,-3.42,-26.46,-20.02,8.34,-0.13,0.44,1.04
-0.03,12.68,2.01,-61.44,-3.27,-0.41,0.12,0.18,1.0
-1.55,11.73,13.75,-24.27,-4.25,3.71,-0.0,-0.12,0.9
-3.77,13.57,25.41,22.2,5.92,-0.11,-0.06,-0.09,0.91
-4.95,26.54,30.94,47.27,-1.63,-5.99,0.02,0.03,1.03
2.74,22.57,27.33,47.17,9.46,-14.56,0.02,0.21,1.01
3.17,14.23,19.97,22.54,54.46,-19.13,0.01,0.44,1.0
4.33,10.67,9.14,-13.35,-12.28,10.5,-0.07,0.46,1.05
-2.33,13.18,0.59,-28.53,-29.82,12.1,-0.0,0.44,1.11
-2.63,11.76,0.9,-41.35,-11.05,16.7,0.11,0.11,1.04
