yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.79,66.98,101.37,-12.86,-57.11,-11.0,-0.85,-0.67,-0.13
64.17,78.41,75.89,-18.45,-45.18,18.4,-0.43,-0.37,0.09
61.34,40.62,61.51,-87.04,44.0,247.7,-0.82,0.08,-0.13
-6.77,48.29,64.08,-54.65,-143.96,235.0,-0.79,1.25,-0.13
-13.81,43.4,57.4,9.27,34.42,-26.12,-0.33,0.97,0.22
4.39,36.91,-25.76,-28.18,-14.0,-53.0,-0.25,1.04,0.19
-1.21,18.93,-28.16,-171.82,-14.93,-50.0,-1.05,1.69,1.64
3.22,14.33,-33.13,-156.51,-3.97,15.7,-0.13,0.47,0.08
1.03,30.76,-40.41,-10.9,-63.97,-4.6,0.23,-0.29,0.89
-6.12,32.34,-9.09,0.31,12.44,0.0,0.25,-0.35,1.0
7.18,32.87,2.31,-28.24,70.54,3.98,0.18,-0.47,0.55
0.67,24.79,1.03,119.37,11.98,-23.6,0.12,0.02,1.65
1.5,26.11,-28.7,42.21,4.93,27.5,-0.29,0.22,1.06
-0.16,27.23,-45.33,-7.01,-24.75,2.41,0.09,0.38,1.23
2.68,22.91,-51.05,-121.73,10.53,5.79,0.16,0.3,1.16
-1.63,21.29,-45.91,-66.15,9.4,-0.6,0.06,-0.37,0.6
-3.52,22.45,-19.1,-23.93,-12.64,10.3,0.03,-0.58,0.7
-1.87,38.19,-1.85,20.89,-2.67,-6.29,0.01,-0.67,0.51
-2.74,26.87,-0.8,102.89,10.83,-13.5,0.2,-0.18,0.62
0.88,24.76,-7.95,64.44,65.97,-7.16,-0.07,0.21,1.42
0.14,21.43,-20.85,2.19,-39.53,-10.57,-0.02,0.23,1.19
0.99,23.52,-40.01,-30.25,-3.41,3.39,0.09,0.17,1.12
2.08,31.12,-48.06,-53.33,-7.52,0.53,0.24,0.02,1.17
-3.61,23.56,-41.17,-78.23,14.9,3.84,0.29,-0.21,0.84
-3.08,32.32,-27.49,-33.36,37.37,8.05,0.3,-0.51,0.71
-3.31,41.65,0.35,27.35,-25.77,-13.9,-0.03,-0.59,0.57
3.99,41.65,-12.02,52.15,41.44,-11.85,0.23,-0.35,0.73
9.4,33.93,-29.22,0.0,-2.07,0.0,0.07,-0.1,1.26
6.58,39.52,-38.68,72.46,49.87,-8.0,0.34,0.32,1.31
-0.37,42.65,-41.99,29.89,2.44,-11.83,0.39,0.35,1.37
-9.9,46.33,-21.64,-51.92,9.13,15.41,0.37,-0.1,0.94
-5.62,55.25,-3.1,-70.17,-20.91,36.2,0.18,-0.44,0.56
-3.09,57.3,3.89,-36.73,30.04,25.32,0.25,-0.51,0.72
1.53,51.36,1.17,-14.08,21.52,-1.42,0.25,-0.29,0.66
2.7,51.01,-12.63,78.69,24.7,-38.21,0.37,0.16,1.34
4.14,53.65,-30.07,69.76,45.58,-21.63,0.07,0.37,1.17
4.27,47.12,-37.65,24.79,17.68,-11.94,0.08,0.29,1.19
3.69,48.27,-38.33,-12.49,-14.05,5.9,0.07,0.13,1.08
-8.79,60.58,-26.32,-56.44,7.48,10.42,0.22,-0.03,0.98
-7.75,76.94,3.53,-71.62,20.74,15.92,0.14,-0.36,0.66
-0.3,78.16,8.86,-30.82,-15.95,16.5,0.36,-0.42,0.83
0.11,71.92,-3.73,-4.77,15.63,14.25,0.14,-0.4,0.53
-0.2,70.94,-32.35,44.48,54.98,-31.5,-0.05,0.2,1.24
0.76,59.41,-45.71,113.91,74.89,-29.8,-0.03,0.42,1.19
1.65,48.16,-47.43,18.86,17.04,-1.16,-0.0,0.38,1.26
-0.95,45.16,-38.7,-51.92,-12.55,0.42,0.05,0.13,1.09
-4.41,37.32,-13.95,-116.32,8.05,-0.79,0.09,-0.45,0.62
