yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.67,-0.74,64.07,-26.71,15.53,-13.4,0.03,1.2,0.52
-41.38,-5.57,58.03,-20.61,-22.38,-149.0,-0.59,1.0,0.62
-1.55,-12.27,42.31,-53.53,-34.0,-5.9,-0.59,-0.02,0.72
-7.21,-52.39,14.2,-102.63,-167.68,-2.0,-0.63,-0.53,1.12
12.6,-71.07,21.81,35.84,-83.04,48.46,0.01,-0.19,0.55
-12.1,-15.81,20.73,-1.24,213.09,-46.6,0.29,0.04,0.84
20.6,77.47,-9.74,51.03,250.13,-107.0,-0.66,-0.21,-0.25
-3.71,84.25,-13.59,-145.95,104.76,73.0,-0.89,-0.72,-0.88
-5.44,20.87,2.07,-16.27,33.82,-14.3,-0.6,-0.09,-0.8
5.77,-21.44,20.89,63.95,-250.14,-20.0,-1.17,-0.48,-0.45
9.54,-25.99,20.92,76.3,-169.4,22.2,-0.36,-0.04,1.23
1.48,-5.28,21.57,0.61,-21.09,36.68,0.06,0.31,0.96
-37.18,59.47,45.35,6.4,80.56,5.69,0.18,-0.05,0.96
12.82,67.57,19.74,96.04,250.13,-143.0,-0.87,0.33,-0.42
-2.81,73.73,13.5,-91.47,35.42,49.48,-0.93,-0.61,-0.84
1.58,72.83,8.43,-20.06,28.24,-10.7,-0.7,-0.19,-0.66
-12.22,9.41,12.21,-17.58,1.85,6.11,-0.69,-0.08,-0.82
10.97,-17.53,27.06,18.94,-250.14,-47.0,-1.45,-0.55,-1.5
1.56,-4.31,27.57,59.62,-107.82,42.1,-0.22,0.29,1.39
-26.72,60.39,40.61,22.29,0.03,36.67,0.26,0.1,0.81
8.06,111.86,11.96,-11.57,49.18,5.56,0.29,0.06,0.91
9.18,102.88,-2.46,61.27,250.13,-103.0,-0.93,-0.5,0.28
-19.3,39.08,-13.5,-68.36,136.31,-26.0,-0.89,-0.43,-0.03
21.18,18.82,-1.57,-28.34,77.69,31.01,-0.7,-0.46,-0.63
10.68,18.9,1.92,-56.65,-24.54,35.4,-0.6,0.06,-0.72
-12.02,33.47,-1.61,-40.43,-250.14,-74.0,-0.89,-0.45,0.05
-19.46,89.09,12.94,40.98,-75.79,81.47,-0.13,0.65,1.17
-2.47,111.38,-7.01,11.73,4.76,38.15,0.19,0.11,0.94
-3.0,115.71,-15.8,-15.89,62.36,-46.4,0.08,0.21,0.96
4.45,90.53,-16.39,61.86,218.32,-75.1,-0.84,-0.35,0.09
-14.5,24.77,-17.81,-74.52,95.94,-9.5,-0.96,-0.46,-0.74
14.49,15.11,-10.02,-34.82,29.85,-11.9,-0.56,-0.18,-0.81
11.18,16.39,-3.23,-2.39,-89.27,17.12,-0.69,-0.27,-0.68
