yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.29,-0.35,67.17,-7.56,5.23,5.77,0.09,0.93,0.4
-9.56,4.43,61.69,-19.44,16.69,-31.3,0.07,1.24,0.38
-12.44,51.33,74.18,51.4,182.74,-47.8,-0.69,0.93,-0.02
-29.6,63.5,100.43,120.32,45.58,-114.0,-1.99,-0.63,0.05
-12.45,44.53,85.51,-81.11,-54.19,4.27,-0.09,1.03,-0.82
-0.64,55.59,82.38,39.66,-11.16,-44.6,-0.45,-0.04,-0.42
-64.0,115.31,121.13,6.51,44.3,-2.45,-0.65,-0.51,-0.41
31.15,121.76,83.29,156.45,250.13,-250.0,0.11,1.02,-0.17
-10.0,104.23,70.05,-126.66,40.56,119.0,-0.66,-0.95,-1.21
-22.6,38.21,54.05,-36.51,-56.38,-38.0,-0.73,-0.43,-0.94
14.72,17.71,64.3,-44.96,-250.14,-86.0,-0.29,-0.87,0.69
12.93,14.05,69.25,49.55,-77.4,56.63,-0.17,0.02,1.1
-2.87,89.72,70.27,28.87,-11.09,49.93,0.08,0.14,0.92
2.68,102.71,45.4,2.68,250.13,-120.4,-0.2,-0.02,0.38
-3.55,90.72,39.7,27.76,55.34,-11.08,-0.74,-0.4,-0.45
7.31,25.99,42.02,-81.98,62.52,10.31,-0.47,-0.73,-0.74
-6.26,-21.98,37.54,-10.5,-35.58,-13.0,-0.41,-0.52,-0.74
4.42,-40.67,38.5,22.92,-250.14,28.1,-0.5,-0.65,-0.4
10.46,-38.6,39.03,-7.08,-190.44,-24.0,-0.21,-0.51,1.02
-17.73,24.89,36.28,10.97,-79.14,17.01,-0.08,-0.12,0.99
-22.38,89.44,47.77,9.72,4.35,40.39,0.2,-0.11,0.68
-9.56,91.7,34.62,-4.52,250.13,-68.4,0.11,-0.03,0.97
7.2,91.69,10.58,50.6,250.13,-85.7,-1.31,0.16,-0.39
5.07,27.91,15.17,-37.89,18.98,-36.9,-0.55,-0.83,-0.61
0.14,5.17,30.59,-80.75,10.05,25.8,-0.48,-0.51,-0.94
6.57,4.05,22.28,24.06,-250.14,19.5,-1.32,-0.65,-0.51
-23.06,65.32,20.31,65.89,-90.58,0.53,-0.43,-0.18,1.02
-1.0,97.91,35.7,1.0,15.44,0.0,-0.42,0.08,0.86
9.05,117.93,10.05,-6.6,45.53,59.63,0.65,-0.03,0.93
-1.83,101.71,16.28,-17.89,-44.93,25.3,0.55,-0.04,0.91
-7.66,35.97,7.87,-4.01,250.13,-88.3,-0.63,-0.38,-0.55
21.0,18.62,27.5,69.09,134.56,-43.4,-0.49,-0.54,-0.99
-13.65,66.04,22.5,-92.88,92.18,34.82,-0.6,-0.33,-0.98
-11.8,101.75,34.24,-6.2,-26.11,14.05,-0.53,-0.4,-0.69
3.52,109.91,13.34,37.73,-12.17,-6.57,-0.35,-0.48,0.88
-1.91,118.41,5.27,-26.8,-250.14,-29.0,0.1,0.04,0.9
-14.72,53.7,10.74,79.5,-62.74,80.76,0.36,0.09,0.64
-15.51,7.94,15.51,-16.82,198.42,-52.0,-1.57,0.07,-0.6
4.81,14.95,31.07,50.25,142.61,-45.5,-0.55,-0.34,-0.61
-22.48,77.42,41.79,-74.6,42.87,13.54,-0.58,-0.55,-1.06
-14.7,134.79,38.19,-26.39,47.67,-7.37,-1.21,-0.38,-0.74
-0.41,146.51,25.64,25.25,-250.14,-56.0,-0.2,-0.66,0.96
-9.21,139.87,22.4,26.25,-176.32,-59.0,-0.01,0.08,1.01
-6.83,73.21,24.39,60.63,-10.35,52.7,0.24,-0.05,0.79
0.63,48.95,33.63,8.18,40.08,17.19,-0.23,-0.06,0.57
1.73,25.54,58.33,48.98,250.13,-86.7,-0.97,-0.54,-0.68
-25.53,89.38,69.94,-3.81,235.5,-56.9,-0.62,-0.51,-0.82
6.36,104.75,61.56,-39.92,63.32,-1.57,-0.32,-0.49,-0.95
11.77,110.22,54.88,-4.74,-5.85,-35.57,-0.59,-0.73,-0.46
-10.4,106.23,54.86,18.68,-250.14,-26.0,-0.11,-0.28,1.08
6.39,40.64,45.8,43.44,-86.67,2.44,0.26,0.15,0.97
-8.84,-0.32,50.7,107.66,-91.82,51.8,0.48,-0.06,0.86
36.0,-18.59,69.79,5.01,15.53,6.18,-0.9,-0.04,-0.39
-0.18,-15.31,64.71,56.44,250.13,-98.5,-0.67,-0.38,-0.69
-36.77,49.69,80.2,-18.91,69.44,24.45,-0.68,-0.5,-0.99
-2.81,82.33,70.92,-13.31,33.82,45.45,-0.53,-0.31,-0.77
1.88,91.66,55.48,11.69,-3.57,-40.47,-0.24,-0.47,0.07
-10.59,66.6,66.03,-17.66,-250.14,24.0,-0.36,-0.7,1.07
3.5,2.07,62.88,32.15,-160.74,-34.0,0.26,0.57,0.82
