yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-1.23,-42.33,76.57,-1.6,0.28,-4.76,-0.25,0.99,0.11
0.58,-38.66,77.66,4.73,5.66,2.23,-0.28,0.95,0.09
-0.33,-36.8,77.51,0.18,-1.37,-1.28,-0.23,0.98,0.1
-0.39,-34.88,77.37,-0.24,-0.36,-1.52,-0.28,0.97,0.06
-0.0,-33.48,77.39,0.69,-2.53,-0.02,-0.35,0.16,1.32
-35.5,-93.74,23.44,-205.58,-250.14,-1.0,-0.23,0.02,0.93
-7.4,-116.41,-3.94,-106.1,-108.12,-2.0,0.4,0.11,0.64
22.89,-109.64,3.01,25.82,13.5,87.71,-0.78,-0.17,-0.12
-16.0,-42.0,23.76,79.78,224.97,-57.6,-0.9,-0.69,-0.95
-10.8,-23.45,16.04,-22.73,61.86,-41.8,-0.58,-0.86,-0.72
8.65,-24.91,-14.93,-114.63,-13.99,33.0,-0.5,-0.5,-0.3
22.6,-84.72,-27.83,-47.57,-250.14,87.0,-0.21,-0.39,1.32
-8.0,-103.6,-32.16,-19.31,-90.92,-34.0,0.04,0.1,0.68
19.0,-106.91,-14.69,63.25,-29.16,74.56,-0.61,-0.18,-0.45
-8.1,-48.28,-17.06,-11.76,219.37,-31.0,-0.3,-0.21,-0.18
-15.5,-24.73,-8.35,34.27,78.33,-59.97,-0.8,-0.68,-0.84
15.36,-57.92,-3.59,22.82,-145.11,59.3,-0.9,-0.34,-0.72
6.29,-30.14,-27.58,-91.82,96.18,24.18,-0.18,-0.7,1.05
1.78,-71.12,-21.32,23.4,-177.45,6.88,0.05,0.25,0.91
20.76,-106.2,3.51,7.79,-163.7,-55.1,0.37,0.04,0.92
5.32,-88.62,3.88,81.67,-5.99,74.15,-0.69,-0.31,-0.13
-30.4,-20.31,16.04,1.66,56.89,20.44,-0.63,-0.09,-0.51
-7.86,8.87,32.19,53.37,250.13,-117.0,-0.57,-0.54,-0.8
7.61,35.93,12.75,68.6,106.01,-30.3,-0.61,-0.49,-0.98
2.63,44.49,5.77,-68.09,104.92,29.2,-0.98,-0.35,-0.57
2.68,-17.25,11.61,-22.31,35.56,10.17,-0.1,-0.42,1.11
-8.73,-47.96,19.08,27.21,-250.14,10.3,0.14,0.34,0.87
26.53,-55.79,29.85,35.11,-126.59,-33.0,0.57,-0.0,0.87
0.83,-38.4,27.0,42.82,-37.66,102.0,-0.87,-0.15,-0.18
-9.8,28.34,29.71,-6.17,61.37,2.98,-0.47,-0.15,-0.52
-20.36,57.24,52.87,16.8,250.13,-37.8,-0.9,-0.63,-0.6
5.69,80.98,35.66,99.44,113.72,-78.3,-0.65,-0.61,-0.8
-1.49,80.37,27.4,-55.88,97.31,21.95,-0.72,-0.67,0.37
4.14,16.69,17.25,-22.44,5.26,-5.73,-0.06,-0.0,1.11
7.33,-4.48,30.14,-30.08,-250.14,15.0,0.14,0.24,0.81
11.29,-9.56,34.34,54.62,-82.93,28.31,0.3,0.1,0.9
-9.24,57.57,31.23,19.11,-19.6,43.57,-0.9,0.01,-0.55
-4.82,67.55,37.58,-7.35,250.13,-32.8,-0.8,-0.62,-0.61
-1.12,78.9,47.24,30.5,40.0,-18.61,-0.67,-0.63,-0.7
1.83,87.22,35.81,49.96,49.59,-4.33,-0.49,-0.48,-0.63
2.05,59.31,33.73,-32.94,40.28,7.04,-0.23,-0.67,1.24
-9.18,2.58,34.16,2.4,-103.29,7.92,0.1,0.24,0.94
18.86,-26.11,51.51,11.66,-220.11,-35.0,0.42,0.03,0.69
12.46,-28.93,50.3,72.72,-113.6,72.5,-0.7,-0.24,0.18
-52.21,37.09,51.49,2.89,-9.76,44.5,-0.65,-0.27,-0.62
-3.87,55.15,68.37,15.85,250.13,-201.0,-0.7,-0.59,-0.82
1.99,70.49,38.29,78.59,71.32,-14.89,-0.65,-0.45,-1.02
5.85,74.79,27.37,-105.36,64.97,7.68,-0.89,-0.44,0.72
-17.71,11.47,8.39,-34.33,23.66,22.52,-0.02,0.03,1.09
1.74,-37.49,23.8,-68.54,-250.14,-68.0,0.37,0.27,0.69
19.24,-39.21,31.14,63.11,-195.29,6.72,0.34,0.02,0.98
-5.76,23.79,31.65,30.1,-8.56,73.7,-0.73,-0.05,-0.35
-9.9,66.93,39.48,6.89,250.13,-22.23,-0.49,-0.34,-0.5
-5.2,72.84,60.49,37.14,166.94,-38.2,-0.41,-0.76,-0.82
0.0,1.7,5.0,94.64,28.16,-20.0,-0.63,-0.41,-0.93
-0.54,85.57,25.0,-120.2,98.2,6.55,-0.46,-0.32,0.18
30.48,21.51,32.95,1.02,-26.28,-1.93,-0.25,0.13,1.21
5.17,-5.12,28.54,41.02,-250.14,116.0,0.33,0.3,0.75
22.77,-15.78,33.84,-13.44,-105.53,19.0,0.4,0.1,0.98
-13.79,46.16,32.83,22.55,-39.97,87.6,-0.62,0.19,-0.4
-13.96,60.16,52.07,0.52,250.13,-53.24,-0.76,-0.2,-0.6
11.16,82.5,47.28,80.37,54.97,-53.89,-0.76,-0.36,-0.9
-1.85,84.85,36.05,-9.05,91.12,42.91,-0.88,-0.44,-0.6
2.99,31.44,37.99,-34.83,16.63,-7.13,-0.52,-0.31,1.1
-0.86,-31.04,35.83,17.16,-208.34,11.4,-0.03,0.1,1.05
16.3,-54.51,39.52,-0.27,-250.14,-3.3,0.34,0.18,0.96
-17.03,9.94,33.12,5.37,-85.11,35.27,-0.03,0.07,0.89
-9.13,35.25,49.83,17.05,-18.08,58.0,-1.25,-0.08,-0.31
-4.09,39.98,49.06,-20.09,250.13,-65.0,-0.65,-0.54,-0.31
0.57,29.43,32.84,73.11,91.23,-35.25,-0.54,-0.57,-0.81
1.61,22.44,31.44,10.82,17.24,-15.74,-0.68,-0.56,-0.75
5.83,-39.4,25.09,-52.45,-40.63,2.2,-0.61,-0.78,0.63
2.12,-82.08,34.93,4.34,-29.02,6.18,-0.17,0.04,1.24
22.04,-81.16,46.05,-13.81,-250.14,22.0,0.26,0.05,0.6
-17.2,-16.09,43.83,43.32,-179.27,8.18,0.36,0.04,0.92
-15.78,24.94,68.22,49.63,-5.73,85.09,-0.56,0.08,-0.43
-1.4,30.67,68.4,-1.89,250.13,-66.1,-0.92,-0.69,-0.21
4.24,29.31,48.28,104.15,154.03,-60.0,-0.56,-0.79,-0.51
-5.17,-71.62,70.12,17.45,18.69,-5.37,-0.62,-0.57,0.14
15.2,-104.45,85.47,-62.46,-5.48,16.37,-0.37,-0.16,1.23
13.51,-83.62,86.88,22.42,-250.14,12.6,0.37,0.27,0.99
-30.0,-15.45,102.11,82.63,-153.66,-18.0,0.52,0.18,0.69
-6.04,-2.44,116.26,70.18,-139.29,58.3,-0.93,-0.13,-0.4
13.29,27.14,87.11,17.53,72.74,52.18,-0.52,-0.15,-0.56
-0.85,23.7,84.02,76.39,250.13,-116.0,-0.63,-0.49,-0.82
4.4,-72.94,86.96,74.88,42.99,-23.23,-0.59,-0.37,-1.03
20.56,-67.88,91.99,-94.06,112.76,51.1,-0.92,-0.42,0.3
-0.2,-32.56,102.82,4.38,-13.97,-3.28,-0.01,-0.2,1.08
1.81,-18.41,87.93,7.26,-13.81,0.0,0.4,0.34,0.99
5.5,-9.2,69.08,-22.43,-250.14,-53.0,0.51,-0.01,0.8
-0.92,-68.35,64.44,65.22,-149.59,17.0,-0.86,-0.3,-0.95
-13.0,-109.2,65.7,31.23,11.96,79.06,-0.78,-0.59,-0.67
17.2,-135.47,83.14,-2.88,164.25,-20.1,-0.7,-0.57,-0.9
18.3,-117.14,88.9,71.76,-35.7,-0.98,-0.83,-0.22,0.14
-17.1,-47.75,82.2,-38.39,44.89,6.98,-0.32,-0.55,1.0
-5.8,-24.77,105.37,-57.42,28.7,21.24,0.33,0.13,0.98
9.78,9.12,81.78,-5.15,-250.14,-3.5,0.62,0.1,0.75
-3.94,13.92,76.16,19.89,-177.82,-52.0,-0.59,-0.09,0.37
-16.7,-47.06,54.96,79.25,-119.77,66.2,-0.64,0.03,-0.49
-6.77,-77.97,73.44,32.98,53.94,65.42,-0.7,-0.3,-0.94
-6.15,-48.08,84.62,-11.47,250.13,-65.0,-0.74,-0.4,-1.06
-17.38,19.49,93.2,106.01,76.25,-22.6,-0.96,-0.6,0.53
-8.82,45.31,95.84,-75.34,126.15,37.6,0.01,-0.29,0.95
4.19,63.51,73.86,-6.67,15.48,-15.2,0.44,0.18,0.91
8.82,0.66,82.3,-68.1,-250.14,-64.0,0.57,0.04,0.8
-18.4,-38.72,74.84,85.53,-131.24,-26.0,-1.0,-0.14,-0.1
7.96,-56.64,89.58,74.32,-31.02,85.42,-0.64,-0.31,-0.61
-13.76,11.31,89.88,-4.75,124.92,-21.9,-0.73,-0.53,-0.88
-6.88,23.46,97.78,49.19,250.13,-66.8,-1.13,-0.55,-0.89
-3.54,46.1,94.11,28.66,100.02,-34.0,-0.56,-0.75,1.09
-10.5,25.26,75.23,-68.72,74.47,16.13,0.02,-0.0,0.91
1.48,-35.69,70.29,49.24,-250.14,34.0,0.38,0.2,0.88
0.0,3.24,0.7,-11.63,-161.35,-71.0,0.37,0.06,0.91
4.42,-44.81,79.31,71.3,-78.14,30.73,-0.66,-0.11,-0.52
-12.4,-31.01,93.22,28.31,-7.14,39.79,-0.78,-0.28,-0.48
9.11,-7.83,89.97,-0.33,250.13,-49.3,-0.59,-0.53,-1.17
9.41,15.68,61.97,47.45,42.49,-26.58,-0.58,-0.32,-0.96
-12.4,-13.0,75.01,3.75,85.75,-13.61,-0.74,-0.3,0.24
-0.67,-72.3,68.32,-107.18,75.18,-2.4,-0.17,-0.17,0.99
6.96,-97.5,71.93,57.9,-138.85,-37.0,0.06,0.18,0.86
18.26,-79.56,78.42,-4.34,-250.14,5.7,0.38,0.1,0.87
-10.78,19.4,96.1,49.57,-71.65,12.5,-0.68,-0.01,-0.6
7.92,45.5,64.27,10.45,19.88,16.99,-0.65,-0.4,-0.44
-7.54,-0.09,78.79,19.62,89.82,38.24,-0.37,-0.46,-1.15
