yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.13,-39.1,67.24,-1.95,-6.09,0.49,0.06,0.98,0.16
0.2,-39.17,67.14,-2.6,-6.03,0.76,0.06,0.97,0.15
-0.09,-38.65,67.72,0.15,-3.64,-0.36,-0.51,1.17,0.32
-9.51,-26.7,71.59,16.37,38.15,-36.72,0.23,0.98,0.17
-15.3,-31.48,65.27,-25.7,-21.36,-59.0,-1.01,1.92,0.72
-10.0,-6.46,78.88,56.03,91.31,-38.61,-0.03,0.95,0.06
5.63,-8.91,75.11,-16.21,-11.13,21.6,-0.06,1.06,0.1
0.89,-13.48,65.16,-49.18,-25.14,24.2,0.13,0.98,0.2
0.39,-10.65,65.17,5.64,3.63,3.45,0.07,0.97,0.16
0.37,-10.8,65.22,-2.34,9.82,1.5,0.1,0.96,0.16
0.48,-12.1,64.74,-2.02,-1.38,1.44,0.14,0.97,0.18
-0.16,-12.89,64.51,-3.79,-5.64,1.87,0.11,0.98,0.18
-0.24,-13.3,64.88,-3.06,-4.11,-0.62,0.09,0.98,0.17
-0.31,-14.39,65.12,-0.84,-2.89,-0.93,0.1,0.98,0.17
-0.24,-15.63,65.34,-1.24,-5.63,-1.21,0.1,0.98,0.18
