yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.12,61.42,10.87,-0.08,-1.49,-2.37,-0.88,0.17,-0.45
-2.35,56.14,7.43,-12.98,-19.16,-8.2,-1.03,0.28,-0.5
1.6,52.9,20.54,52.7,-16.74,6.14,-1.05,0.12,0.15
44.56,13.54,27.3,20.22,-145.56,172.0,0.4,0.81,0.01
19.54,-31.03,41.52,52.73,-177.25,75.1,-0.16,1.45,1.04
-26.5,31.41,-68.27,-250.14,250.13,-86.0,-0.42,1.53,0.66
-2.34,8.89,-41.15,-173.15,-4.17,-94.0,-0.21,-0.52,0.04
-25.1,-32.21,24.94,107.97,-89.96,-9.0,-0.39,-0.74,-0.11
-5.86,-42.59,44.94,250.13,-160.48,-96.0,0.41,1.09,0.81
9.62,-37.19,31.75,75.05,-46.87,-22.6,0.01,1.2,0.73
43.2,-13.3,-20.05,-54.73,16.47,36.98,0.22,1.0,0.62
2.93,49.29,-60.33,-208.42,94.44,166.0,0.55,0.69,0.72
-2.49,57.18,-62.91,-157.79,244.69,11.0,-0.31,-0.44,0.28
5.6,23.14,-28.0,-8.74,36.67,-9.56,-0.3,-0.93,-0.15
-25.25,7.71,36.77,137.82,-134.54,21.0,-0.65,-0.7,-0.07
4.71,3.57,41.62,250.13,-56.96,-97.0,0.19,0.75,1.0
15.28,-16.58,7.0,27.53,0.65,-54.44,0.29,0.95,0.74
21.6,16.17,-47.3,-10.44,-12.68,16.8,-0.1,0.74,0.6
-12.2,64.48,-76.43,-139.66,-79.37,59.0,0.17,0.98,1.0
14.14,50.57,-48.51,-219.6,130.27,83.0,0.11,0.21,0.79
17.06,17.73,14.36,-112.56,194.67,-47.0,-0.2,-0.79,0.04
-17.58,32.92,44.22,110.43,-48.03,54.3,-0.28,-0.92,-0.26
-5.17,27.72,57.59,250.13,-131.11,65.0,-0.25,-0.2,-0.09
8.52,9.58,49.18,113.73,64.6,-67.8,0.09,1.02,0.74
