yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.13,25.34,68.86,1.26,-1.7,-0.51,-0.24,0.98,0.09
-0.16,25.22,68.88,-0.84,1.26,-0.63,-0.25,0.96,0.08
-0.03,24.98,69.11,0.05,0.74,-0.13,-0.25,0.96,0.1
-0.38,24.36,69.3,-0.13,-0.81,-1.45,-0.25,0.97,0.09
0.05,23.54,69.76,0.95,-1.65,0.18,-0.24,0.97,0.1
-33.66,0.09,30.0,-158.11,-92.28,-12.0,-0.37,1.69,0.96
-33.3,3.51,-33.11,-250.14,3.09,-128.0,-0.29,-0.52,-0.15
6.94,3.83,49.0,52.79,-54.09,-29.6,-0.3,0.66,0.42
-4.82,11.67,72.39,250.13,43.33,24.87,-0.43,1.55,0.54
2.04,7.64,66.74,91.31,29.79,-18.62,-0.26,1.06,0.27
8.5,-8.26,24.55,-22.38,-16.51,7.88,-0.39,1.31,0.62
13.52,-3.56,-37.35,-168.76,-65.15,32.0,0.12,0.31,0.88
-6.89,-3.89,-65.5,-229.49,17.34,48.2,-0.36,-0.88,0.21
7.25,-22.37,-36.76,-108.42,-5.37,-26.0,-0.24,-0.72,0.21
-6.82,-11.74,27.96,115.66,-77.82,28.0,0.12,0.3,0.8
-2.86,-41.39,68.37,250.13,40.31,-26.2,-0.13,1.26,0.75
0.28,-33.69,71.37,157.54,-121.96,-11.0,-0.06,1.07,0.47
6.74,-34.22,33.47,12.34,23.73,1.06,0.02,0.52,1.22
4.2,-44.58,-21.46,-150.2,-8.17,26.0,-0.24,-0.47,0.37
-5.7,-11.78,-57.43,-218.39,-46.85,16.0,-0.25,-0.72,0.29
0.92,-20.8,-49.53,-140.59,121.19,-22.0,-0.34,0.59,1.13
16.0,-60.83,15.7,32.43,-40.89,3.53,0.0,1.01,0.71
-16.3,-44.96,64.28,250.13,-166.77,61.0,-0.22,0.95,0.45
-0.43,-38.19,68.65,188.33,53.85,-62.7,-0.23,1.02,0.54
0.21,-27.59,8.57,30.01,7.62,19.21,-0.15,0.96,1.0
-2.1,-19.49,-35.42,-9.46,1.95,-1.54,-0.21,-0.11,0.85
-2.8,-9.21,-49.34,-237.6,35.52,0.82,-0.19,-0.76,0.29
2.23,-9.48,-31.39,-174.36,25.94,-8.4,-0.06,-0.75,0.3
-1.5,-8.35,23.81,-50.95,35.92,-10.7,-0.15,0.16,0.71
-12.5,-20.24,74.6,75.18,-3.31,8.63,-0.26,1.15,0.77
4.78,-27.8,82.7,214.97,1.11,-5.79,0.11,1.15,0.53
11.46,-15.04,48.16,199.33,-50.88,-48.0,0.27,1.15,0.69
13.33,-33.26,-0.88,34.01,-32.74,18.4,0.03,0.31,0.95
-3.9,-48.72,-41.4,-134.82,48.66,44.2,-0.17,-0.36,0.69
-4.7,-68.43,-47.93,-192.36,-75.41,51.0,-0.02,-0.88,-0.05
-23.0,-85.53,-10.33,-158.23,-69.3,-15.0,0.62,-0.26,0.79
-15.0,-63.08,27.47,-19.02,-87.27,-18.0,0.21,0.34,0.83
-7.46,-38.84,56.26,134.42,-68.09,-85.0,-0.04,0.87,0.71
0.14,-33.33,59.46,146.82,78.68,-58.0,0.11,1.03,0.68
11.76,-25.51,25.89,111.61,86.67,-28.7,0.14,1.14,0.84
6.43,-4.81,-23.46,12.92,16.78,0.55,-0.06,0.27,0.89
-2.73,9.05,-52.65,-133.99,26.99,45.4,-0.29,-0.44,0.59
-0.93,17.06,-51.1,-196.3,78.3,24.7,-0.31,-0.84,0.32
0.04,11.04,-21.27,-115.73,51.56,-10.0,-0.4,-0.6,0.49
0.79,-1.94,32.78,7.76,30.6,-3.58,0.03,0.41,0.85
1.52,5.89,68.79,118.22,-25.74,0.15,-0.19,1.02,0.83
-1.25,1.73,46.64,209.86,-50.12,3.06,-0.33,0.92,0.31
5.66,2.63,10.17,108.83,12.97,-27.2,-0.17,1.05,0.69
-4.91,8.84,-39.56,29.93,13.08,5.44,-0.14,0.85,1.0
-5.77,12.41,-58.32,-87.01,-16.97,-4.8,-0.4,-0.03,0.85
8.92,-58.55,39.61,-145.58,2.89,21.85,-0.07,-0.67,0.08
-5.07,-37.86,52.36,-197.34,21.31,-18.0,-0.17,-0.53,0.47
