yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.2,-25.56,10.49,-2.25,8.91,4.0,0.14,-0.02,1.02
-0.6,-21.9,9.64,-1.24,10.05,-1.95,0.13,-0.03,1.02
-0.16,-21.35,13.06,15.44,-0.33,-0.63,0.12,-0.01,1.09
2.88,-9.94,-8.49,-83.5,38.47,11.13,-0.32,-0.09,0.69
-14.0,-29.9,-22.5,-55.93,-78.08,-54.0,0.2,-0.09,0.44
1.68,-33.76,-4.32,71.69,-16.59,6.44,0.41,-0.28,0.94
-4.76,-19.39,18.07,89.82,54.95,-18.37,0.32,-0.06,1.12
1.71,-16.59,30.7,51.4,9.96,6.6,0.26,0.32,1.23
7.03,-22.65,4.52,-94.1,-24.78,25.0,0.03,0.16,1.09
1.82,-44.39,-21.21,-98.02,-83.65,7.02,0.8,-0.54,0.54
0.05,-36.55,-6.24,61.16,25.76,0.19,0.14,-0.42,0.8
-3.12,-13.46,29.38,91.81,40.13,1.5,0.31,0.07,1.23
0.03,-11.64,28.93,50.61,45.11,-12.06,0.01,0.24,1.07
2.34,-9.37,27.03,-0.11,4.85,0.11,-0.03,0.36,1.05
-3.87,-25.67,-3.09,-4.3,10.3,9.03,0.52,0.22,1.5
4.13,-26.61,23.25,-118.23,-60.65,-14.0,0.3,0.05,0.34
-0.35,-13.73,33.71,-26.76,-53.99,15.0,0.53,-0.35,0.73
-4.35,9.21,30.35,124.11,44.4,14.76,0.32,-0.02,1.07
-8.89,4.86,7.67,42.5,50.15,-1.34,0.36,0.46,1.16
0.23,-25.44,-0.54,-10.89,90.61,-16.7,0.1,0.46,1.46
6.15,-30.33,16.23,-87.15,-20.04,-34.0,-0.32,0.07,0.68
2.74,-20.32,39.19,-29.25,-113.76,0.8,0.87,-0.33,0.87
-3.82,21.94,28.93,68.93,-20.87,23.76,0.31,-0.18,0.96
-9.66,27.21,6.98,86.56,33.82,9.77,0.16,0.18,1.21
-5.2,-22.21,3.89,-38.68,167.22,-14.0,0.12,0.79,1.83
3.82,-9.54,14.94,-82.99,20.08,-37.2,-0.44,-0.06,0.8
-4.56,8.75,34.32,-7.38,-190.65,-20.0,0.32,-0.34,0.67
-11.85,38.98,24.85,46.22,50.1,14.69,0.33,-0.16,0.99
-12.46,5.6,-3.38,79.85,73.37,-17.59,0.22,0.08,1.48
-4.14,18.48,-4.19,-33.66,121.21,-45.0,-0.31,0.19,1.57
-1.15,26.54,23.43,-112.11,-135.66,-4.0,-0.33,0.13,0.28
-3.64,28.98,33.84,0.33,56.2,-15.92,0.37,-0.41,0.76
-10.68,62.92,28.5,109.56,40.05,-4.44,0.62,0.12,1.11
-14.9,44.29,-4.23,42.96,16.09,-14.0,0.3,0.36,1.26
-1.76,47.02,10.65,-15.55,129.29,-38.0,-0.24,0.09,1.16
-4.75,69.96,32.68,-116.94,-66.7,-57.0,-0.05,-0.22,0.1
-1.58,68.49,31.83,61.47,24.93,-6.76,0.68,-0.27,0.67
-5.96,72.07,-9.84,89.74,100.73,-18.3,0.12,0.08,1.21
7.88,91.39,12.93,-0.08,5.4,-6.11,0.01,0.25,1.18
-4.72,91.35,36.99,-64.28,111.44,42.4,0.32,0.41,1.23
-7.82,129.19,14.55,-87.36,-57.81,-21.0,0.53,-0.37,0.53
-23.9,80.88,-19.02,89.31,93.46,30.43,0.47,0.08,0.97
-5.12,62.28,-9.35,95.85,15.71,-18.21,0.18,0.44,1.3
6.39,70.64,20.27,-85.18,165.78,-30.0,-0.08,0.2,1.5
-2.14,70.51,26.61,-129.21,-180.49,-9.0,-0.07,-0.04,0.07
0.03,104.28,11.66,37.76,-61.29,-19.6,0.03,-0.19,0.83
-14.0,70.94,-16.49,116.44,45.64,24.56,0.28,0.1,1.18
-1.32,50.2,-13.71,27.41,10.34,-8.26,-0.05,0.12,0.83
3.57,68.11,15.38,-57.05,145.28,0.11,-0.22,0.15,1.09
0.84,76.67,29.74,-113.63,-118.63,-5.0,-0.05,0.09,0.34
0.35,98.02,8.76,13.13,-71.8,-5.08,-0.01,-0.37,0.67
-4.84,42.81,-15.94,114.18,83.21,13.79,0.47,0.1,1.36
4.28,42.46,11.95,57.18,48.55,3.24,0.52,0.5,1.36
-4.19,38.87,23.14,-81.37,96.46,1.34,-0.2,0.2,1.01
-3.83,82.99,19.22,-89.15,-201.22,-18.0,0.47,-0.73,0.23
-24.9,38.18,-18.28,109.27,9.59,16.45,0.49,-0.01,1.01
-3.7,1.23,21.9,45.71,-4.43,-16.16,0.46,0.18,1.25
-1.01,22.86,20.02,-12.78,182.84,-14.0,-0.13,0.1,1.32
-0.96,26.48,6.8,-136.56,-169.56,-9.0,-0.04,-0.14,-0.03
-1.28,-0.32,3.07,33.66,-116.84,31.3,0.41,-0.49,0.72
-1.36,8.02,15.97,120.18,-16.58,-13.0,0.24,-0.2,1.26
2.15,14.69,30.72,-5.61,88.73,-3.91,0.18,0.18,1.04
-2.43,54.1,9.66,-50.52,18.53,-3.73,0.04,0.08,1.3
-8.86,37.51,-9.03,-7.44,-96.95,-4.94,0.39,-0.39,0.24
-2.65,39.52,-16.26,53.5,38.78,-5.25,0.51,-0.11,0.79
-0.92,52.77,13.58,61.5,28.4,8.29,0.04,0.06,1.44
-6.81,54.88,28.81,-80.04,160.75,-9.3,0.08,0.09,1.44
0.91,84.05,25.99,-72.73,-64.27,-34.0,-0.28,-0.04,0.34
9.19,49.34,8.9,-26.51,19.11,-10.2,0.5,-0.39,0.71
-17.34,51.11,24.85,117.37,63.58,-3.54,0.51,0.0,1.13
0.87,96.36,44.14,62.02,20.09,-26.27,0.45,0.21,1.25
-18.71,67.96,-1.22,-12.54,119.89,3.51,-0.56,0.53,0.45
5.51,48.73,-17.13,-90.91,-66.85,-40.0,-0.07,-0.65,0.4
5.66,43.51,3.09,34.7,-42.16,32.72,0.47,-0.24,0.99
-4.95,67.06,29.67,66.93,19.34,-66.96,0.51,-0.16,1.0
-6.28,21.68,-6.84,81.44,190.05,3.37,-0.02,0.02,1.28
5.25,-8.07,-11.28,-182.27,-98.72,-72.0,0.0,0.56,0.6
2.9,5.83,1.63,-59.5,-62.32,21.2,0.48,-0.54,0.85
-8.32,16.78,13.55,80.84,-10.69,21.76,0.32,-0.34,1.14
-0.02,44.29,17.29,26.09,45.64,-5.12,-0.06,-0.16,1.41
-16.4,16.74,-21.37,77.06,54.11,-17.67,-0.67,0.07,0.93
0.78,-0.05,-18.55,-147.46,-176.1,-2.0,-0.17,0.21,0.26
-0.67,9.14,-13.24,-14.77,-111.62,20.0,0.51,-0.47,0.82
-12.14,12.01,-0.58,52.73,57.76,11.14,0.35,-0.29,0.86
14.12,20.11,6.73,48.61,46.34,-32.23,0.18,-0.04,1.39
-12.3,10.94,-13.87,17.44,109.19,-0.06,-0.39,-0.03,0.9
4.43,-11.61,-9.94,-158.43,-103.24,-6.0,0.02,0.26,0.36
1.71,7.93,6.57,13.97,-64.21,3.0,0.05,-0.66,0.83
-0.64,40.52,15.52,19.75,40.5,-2.59,0.68,-0.27,1.67
-9.86,50.86,23.5,51.1,13.37,-46.87,0.04,-0.23,0.89
-17.54,23.24,-2.07,29.3,36.05,54.51,0.25,0.0,1.47
7.73,6.01,-8.74,-84.44,-35.05,-47.0,-0.14,0.27,0.87
-4.21,14.61,16.79,19.1,-85.02,17.1,0.41,-0.56,0.71
-3.54,39.6,28.35,60.13,72.72,6.11,0.23,-0.03,1.12
-3.02,100.68,24.48,35.44,130.51,-2.46,-0.33,0.3,1.63
-32.4,61.16,-10.77,32.14,42.44,-38.08,-0.9,0.41,1.2
2.06,60.73,-15.58,-108.87,-106.7,-6.0,-0.1,0.2,-0.02
12.59,48.23,1.37,-24.24,-61.28,29.8,0.56,-0.39,1.06
-1.29,52.81,15.25,102.31,38.16,-16.2,0.37,-0.15,1.27
0.56,58.71,18.82,46.61,104.62,-13.6,0.32,0.36,1.31
1.28,64.89,40.75,-13.51,250.13,-11.0,-0.15,0.4,1.4
-37.0,42.52,-20.83,-143.95,-150.34,-1.0,-0.7,0.59,0.27
0.82,9.1,-14.1,-14.66,8.37,7.91,0.03,-0.58,0.7
1.58,11.35,8.18,68.76,-39.76,48.61,0.07,-0.29,0.84
-3.16,58.54,20.92,56.12,26.6,-4.97,0.05,-0.01,1.11
6.28,57.1,9.28,16.0,31.93,2.15,-0.03,0.1,1.1
-15.6,20.84,-20.65,90.44,30.89,4.94,-0.36,0.09,0.91
4.18,16.42,-19.78,-250.14,-84.34,-14.0,-0.38,0.64,0.2
-4.05,20.66,7.64,29.32,-124.11,3.14,0.29,-0.53,0.68
3.14,34.83,12.45,89.98,13.73,6.11,0.45,-0.37,1.18
4.1,54.01,20.27,37.12,39.82,-6.15,0.12,-0.17,1.12
-27.8,28.09,-24.02,16.73,144.68,-11.2,0.05,0.22,1.45
0.52,-10.18,-12.68,-46.12,-3.2,24.23,-0.83,0.35,0.83
4.94,-10.0,14.8,-109.35,-131.73,-6.0,0.29,-0.48,0.0
-4.58,4.79,28.59,2.68,-11.62,16.08,0.32,-0.29,0.98
1.96,40.59,35.11,108.53,21.22,-15.6,0.21,-0.2,1.26
-16.9,40.67,-5.0,19.79,61.67,12.13,0.18,0.1,1.17
-3.67,34.54,-26.7,34.98,75.02,15.82,-0.92,-0.21,0.8
9.01,36.73,-2.31,-175.85,-94.44,-10.0,0.04,0.04,0.34
-14.82,11.41,27.37,44.73,-152.97,2.01,-0.55,-0.4,0.9
-0.15,62.83,32.15,103.31,0.13,17.7,0.12,-0.32,1.02
-15.7,52.34,-15.34,56.34,58.2,-17.69,0.05,0.21,1.25
-5.8,16.66,-14.54,28.83,144.02,7.57,-0.13,0.34,1.56
1.64,14.98,12.49,-161.48,0.69,-65.2,-0.68,0.64,0.56
-5.87,23.84,39.91,-78.67,-17.68,-14.0,0.03,-0.67,0.44
-0.88,33.43,45.18,98.48,16.49,34.8,0.22,-0.48,0.83
-6.42,63.11,42.22,118.38,-94.33,-57.0,0.16,0.02,1.18
-35.69,34.02,-3.9,20.02,211.07,-0.57,0.31,0.46,1.07
6.21,20.16,2.54,-190.27,-34.85,-60.0,-0.33,0.58,0.86
-5.35,15.23,39.01,8.16,-131.82,-22.4,0.41,-0.85,0.71
-12.72,20.71,56.32,109.35,-3.09,6.33,0.11,-0.32,0.95
-0.44,82.96,40.82,110.8,39.53,-22.5,0.23,0.15,1.25
-43.51,52.7,-7.87,23.8,43.17,-3.4,0.09,0.47,1.08
6.46,40.37,-10.91,-7.02,122.21,-24.7,-0.36,0.34,1.22
3.11,22.27,19.42,-179.36,-118.24,-1.0,-0.22,0.02,0.08
-2.74,12.03,37.38,31.69,-48.27,23.89,0.19,-0.65,0.73
-6.31,40.91,35.43,148.66,-14.13,-20.0,0.28,-0.18,1.02
-5.04,6.03,3.95,72.43,29.09,-49.12,0.54,0.41,0.9
-3.25,-5.79,-17.71,-57.24,250.13,-1.6,-0.4,0.63,1.23
10.71,-12.26,12.89,-192.21,-116.28,-1.0,-0.54,0.27,-0.32
-15.62,-5.62,39.05,-12.05,-40.82,24.9,0.03,-0.17,1.05
-6.82,48.05,44.58,122.0,-66.46,11.9,-0.06,-0.31,1.25
1.17,36.35,16.97,71.85,-36.3,-10.5,0.17,0.44,1.08
-0.3,5.26,-8.36,-4.71,116.88,-24.3,-0.21,0.48,1.45
6.76,11.21,9.16,-128.83,-138.14,-1.0,-0.3,0.49,0.3
-9.91,12.32,31.39,-77.36,-43.73,-12.0,0.21,-0.61,0.37
-3.43,34.76,34.69,125.4,-24.98,41.3,0.21,-0.54,0.82
-4.39,35.01,41.23,105.8,27.41,-60.0,0.35,0.14,1.13
-24.26,24.71,0.32,24.85,217.44,-26.3,0.41,0.58,1.33
10.87,27.23,1.23,-108.01,-42.95,4.5,-0.29,0.33,0.61
-2.66,29.4,31.93,-84.46,-105.69,-1.0,0.45,-0.67,0.37
-1.28,41.18,44.55,71.92,27.34,26.1,0.31,-0.33,1.02
2.59,53.94,21.29,90.53,7.48,-38.24,0.16,0.05,1.24
-3.97,41.12,4.5,15.35,93.31,-13.18,0.22,0.43,1.3
-6.25,56.3,47.76,29.7,2.54,-16.94,-0.56,0.31,1.15
-22.17,89.1,47.17,-146.35,-35.76,-93.0,0.0,-0.25,-0.08
-18.3,43.2,-10.94,7.73,15.15,41.98,0.09,-0.34,0.72
9.89,4.36,11.58,124.2,13.34,-10.2,0.03,-0.07,1.15
-7.22,5.23,37.5,51.83,51.78,-4.89,0.01,0.62,1.46
-6.86,57.02,24.6,-89.65,55.82,9.98,-0.17,0.26,0.68
-11.76,54.44,-5.66,-57.71,-35.89,-15.0,0.69,-0.64,0.34
3.0,42.96,-2.99,80.69,46.47,68.65,0.04,-0.03,1.02
14.82,50.29,13.03,88.34,29.53,-22.39,0.31,0.47,1.33
-12.15,39.88,48.85,4.71,138.82,-85.59,-0.26,0.07,1.12
-25.0,14.04,-12.89,-221.86,-162.87,-7.0,0.53,-0.28,-0.51
7.3,-18.0,-11.34,94.17,-150.25,38.0,-0.12,-0.4,0.55
-2.5,-27.99,27.25,105.75,5.59,-27.86,0.2,0.05,1.31
0.7,-23.58,32.19,-48.68,209.34,-26.0,0.2,0.57,1.66
-8.83,10.6,33.7,-123.97,-5.98,-45.0,-0.44,0.56,0.54
-14.95,-32.15,2.44,13.83,-30.76,11.6,0.7,-0.45,0.66
3.35,-27.47,17.54,66.73,35.67,57.23,0.42,0.22,1.24
-2.57,-2.62,40.34,90.37,-10.96,-27.5,-0.05,0.27,1.4
1.78,17.86,44.95,53.68,-11.93,-43.2,0.18,0.36,0.1
-6.09,-6.89,17.85,-250.14,-93.28,-96.0,-0.07,-0.45,1.01
