yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-4.13,52.87,20.84,32.79,20.94,-82.64,-0.57,0.01,0.43
-15.9,-15.4,33.34,50.95,-250.14,-56.0,-1.15,-0.36,0.86
-0.61,-21.09,38.95,28.94,-22.35,-2.37,0.26,-0.09,0.78
-4.7,-23.84,40.92,15.7,-13.4,-18.1,0.15,-0.22,1.3
5.71,-1.41,57.5,65.11,83.01,20.39,0.38,0.33,0.94
-23.2,-35.83,12.51,-169.85,-134.47,-8.0,0.13,-0.06,0.27
19.36,-20.98,27.28,66.4,53.82,74.47,0.01,-0.66,1.04
-0.97,-23.46,49.5,96.07,-13.98,-3.76,-0.08,-0.29,1.12
-9.3,-58.26,72.15,95.45,-141.89,-35.0,0.24,0.48,1.12
-2.53,-42.41,45.29,-102.39,55.16,-9.7,0.09,0.67,0.88
4.74,-27.7,5.29,-145.61,47.9,18.2,-0.38,-0.63,0.38
5.66,-46.42,18.67,60.31,-76.32,21.86,0.39,-0.61,0.78
-29.6,-33.3,56.39,155.44,49.18,-114.0,0.5,-0.1,1.13
7.79,-21.69,56.24,2.08,39.66,29.83,-0.21,0.91,1.08
-46.3,-10.67,-3.34,-230.31,33.24,-178.0,-0.23,-0.01,0.21
19.35,12.68,-6.7,-7.74,93.94,74.7,0.21,-0.69,0.82
-8.1,0.49,24.05,125.4,-46.2,-31.0,0.1,-0.36,1.14
-7.37,14.65,41.86,75.21,60.37,-28.46,0.45,0.04,1.18
16.61,36.75,55.16,52.41,81.47,59.55,-0.37,0.4,0.85
-34.48,24.15,15.12,-145.08,-52.11,-13.0,-0.22,-0.21,0.03
13.35,42.13,25.2,47.4,76.36,51.15,0.09,-0.58,1.0
-3.43,49.81,45.62,86.92,37.47,-13.23,-0.03,-0.11,1.32
-5.79,37.61,69.78,103.16,-41.55,-22.0,-0.08,0.2,1.32
-2.79,5.63,30.75,-150.86,-123.15,-1.0,-0.04,0.35,0.56
7.75,-27.45,-4.68,-130.71,-133.78,29.0,-0.19,-0.51,0.6
12.58,-4.55,12.04,69.05,83.85,48.58,-0.55,-0.37,1.19
-13.99,11.67,55.12,71.8,-28.2,-20.5,-0.33,-0.09,1.19
18.48,-25.82,1.09,98.39,81.45,-49.95,-0.07,0.43,1.63
1.84,-36.55,31.07,-185.83,-50.39,-72.0,-0.11,0.48,0.33
1.95,-22.27,48.17,-22.57,-96.82,71.3,0.46,-0.83,0.84
-17.3,-11.29,-4.07,120.62,-49.52,7.11,-0.33,0.02,1.37
16.68,-7.85,7.66,49.16,12.0,-20.86,0.05,0.26,1.14
-2.66,-5.29,30.92,23.08,31.32,6.99,-0.18,0.75,1.39
-8.58,2.86,44.23,-198.29,50.02,-67.0,0.3,-0.15,-0.11
13.81,13.92,24.8,51.76,15.56,64.15,0.43,-0.62,0.83
-22.0,-5.27,-19.94,95.05,9.36,-10.26,0.04,-0.03,1.21
16.55,3.85,8.78,55.84,32.37,-33.0,0.08,0.36,1.33
-9.6,2.99,31.81,-74.84,42.71,53.31,-0.26,0.43,0.96
-4.34,-2.21,38.08,-163.62,-73.76,-85.0,0.05,-0.38,-0.08
9.52,10.52,21.36,113.02,33.15,63.9,-0.4,-0.11,1.32
-18.7,-6.75,-21.11,85.15,-3.5,-34.4,-0.11,0.27,1.05
10.03,0.86,1.12,25.49,-20.85,-16.7,-0.08,0.74,1.29
-0.22,0.89,8.55,-66.63,46.67,36.76,-0.5,0.64,0.8
-6.77,9.04,21.56,-157.92,-64.82,-72.0,0.14,-0.38,0.18
-11.7,-7.92,-18.02,89.18,26.7,38.57,-0.35,-0.44,1.05
21.6,-11.43,-22.25,28.02,-2.24,-0.78,-0.33,-0.0,1.11
9.38,-7.49,-12.03,51.95,32.98,-26.15,0.01,0.34,1.75
-7.27,-14.64,-1.01,-159.91,-70.62,-45.0,-0.29,0.31,0.56
3.99,-22.91,-7.18,-16.6,-18.95,83.1,-0.3,-0.26,0.66
