yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-3.07,-18.9,34.87,-42.07,-101.01,-61.0,-0.32,0.2,0.68
3.49,-28.33,27.82,-21.38,-38.05,12.3,-0.06,0.06,0.92
-0.28,-38.91,27.42,2.44,-45.52,-1.07,0.2,0.06,1.16
-3.27,-42.89,27.96,6.5,-20.49,-12.6,0.17,0.0,0.95
-10.8,-43.51,31.3,17.66,-9.71,-41.73,-0.03,0.03,0.94
-2.58,-43.92,32.48,7.83,-6.91,-9.95,0.21,0.24,1.1
-5.12,-43.63,30.46,-4.7,-3.88,-19.69,0.23,0.2,0.98
-1.8,-42.12,30.39,2.65,0.61,-6.94,0.17,0.22,1.02
17.84,-9.16,6.83,-95.8,127.17,68.8,0.22,0.88,1.15
5.95,-42.64,-21.56,-102.08,-133.27,22.0,0.35,-1.09,0.24
3.2,-41.11,5.77,106.98,-0.7,12.31,0.0,-0.13,1.26
-4.2,-47.62,18.63,50.93,-32.08,-16.2,0.11,0.26,1.38
9.56,-45.24,-35.38,-206.41,-0.73,34.2,-0.11,0.28,0.21
19.5,-75.77,-39.79,-15.32,-129.92,75.0,-0.04,-0.79,0.66
-1.49,-89.25,-5.56,130.07,-67.66,-5.7,-0.24,0.11,1.43
7.49,-92.5,5.46,41.33,-28.14,28.79,-0.1,0.24,1.13
7.65,-108.79,3.89,-9.69,-73.96,27.44,0.09,0.61,1.01
-0.2,-68.86,-28.37,-120.29,145.06,-0.0,0.09,-0.35,0.23
10.1,-52.98,3.1,123.15,50.9,38.99,-0.22,-0.13,1.04
-4.81,-59.54,17.21,54.79,-34.43,-18.4,0.04,0.28,1.12
11.17,-83.59,26.64,37.27,-106.08,42.9,-0.04,0.64,1.7
-9.2,-78.41,-18.55,-168.6,15.7,-32.0,0.19,0.11,0.02
13.05,-63.64,-1.65,65.13,44.92,50.4,-0.2,-0.01,1.0
0.91,-73.02,17.12,72.21,-47.96,3.51,0.0,0.37,1.09
-10.3,-57.53,15.03,-9.6,49.97,-39.78,-0.07,0.59,1.29
10.5,-76.5,-9.59,-100.91,-83.89,40.0,0.19,0.46,0.89
-11.0,-24.89,-40.67,-115.82,192.87,-44.0,-0.17,-0.62,0.2
2.71,-22.04,-18.55,82.18,6.6,10.38,-0.11,-0.06,1.32
-5.87,-26.48,-3.78,55.05,-20.48,-22.6,0.11,0.17,1.12
-22.4,-28.8,15.3,72.8,-14.85,-86.2,-0.22,0.49,1.41
-16.0,-32.03,-37.66,-217.36,-20.34,-65.0,-0.16,0.36,-0.37
-0.7,-27.26,-35.57,4.75,17.09,-2.88,0.36,-0.29,0.98
-2.1,-25.1,-25.73,36.34,6.81,-8.18,0.3,-0.29,1.03
-5.25,-4.25,-8.68,64.73,80.4,-20.26,0.07,-0.04,1.11
23.74,-17.14,12.48,79.47,-54.51,91.31,-0.27,0.47,1.0
-8.94,-3.81,-14.17,0.79,-3.09,0.0,0.13,-0.45,0.11
-5.01,8.96,1.55,-206.52,-67.27,-11.0,0.46,-0.13,1.27
-5.49,9.81,10.63,98.33,109.08,-31.8,-0.01,0.12,1.16
-19.13,1.07,-40.2,59.98,50.69,-19.35,-0.27,0.4,1.12
-0.3,-17.48,-19.79,33.7,2.79,-21.18,-0.03,0.02,-0.21
-4.21,-13.86,-4.69,-203.77,-34.82,-73.0,0.45,-0.28,1.02
-8.31,41.11,2.38,77.63,-70.41,-1.18,0.38,0.09,1.25
-11.7,21.28,-28.2,56.91,14.44,-16.27,0.2,0.45,1.64
8.42,47.26,-34.46,25.14,219.08,-31.9,-0.18,0.3,0.54
-4.42,50.72,-19.57,-127.03,-75.79,-45.0,0.41,-0.52,0.61
-10.81,76.73,16.65,-23.99,111.85,32.4,0.31,-0.31,1.13
2.0,68.1,-29.39,56.53,23.77,-17.01,-0.1,0.04,1.01
1.6,80.22,-14.89,55.74,87.24,-23.31,-0.18,0.24,1.12
-5.28,77.91,9.96,83.7,34.59,-41.75,0.13,0.19,0.53
15.44,85.0,-6.95,-184.92,-20.16,7.6,0.59,-0.69,0.47
-2.2,56.6,-14.94,60.46,65.39,6.18,0.36,0.1,1.18
-2.32,55.35,0.98,96.79,6.36,-20.38,0.27,0.31,0.89
-0.87,72.17,14.72,97.0,63.9,-29.95,0.11,0.35,0.85
-2.29,97.47,24.82,-152.03,-4.41,55.1,-0.0,-0.96,0.51
-17.8,88.41,-16.66,-23.23,-100.2,-8.0,0.48,0.05,1.28
-0.54,98.69,0.6,61.32,7.4,-8.96,0.38,0.3,1.25
-5.5,94.24,20.12,53.37,79.24,-3.36,0.14,0.63,1.48
-4.21,79.72,26.86,36.46,105.99,-8.2,-0.39,-0.25,0.07
1.02,64.09,10.17,-157.58,-29.76,-69.0,0.31,-0.12,1.15
6.31,30.94,-15.84,67.45,57.73,-2.08,0.25,0.22,1.29
-2.55,31.97,4.3,76.8,-0.29,-21.15,0.27,0.48,1.23
-5.07,36.08,17.51,26.85,-41.24,-16.1,-0.45,0.47,0.79
-6.0,73.96,37.98,-67.15,-54.21,3.93,0.45,-0.39,0.85
21.39,-0.19,-19.47,-99.43,-118.92,24.0,0.49,-0.04,1.16
-11.83,5.17,13.79,78.76,12.76,-9.85,0.31,0.25,1.08
2.55,9.11,18.2,51.6,24.09,-19.52,0.51,0.44,1.06
-3.21,15.35,28.69,81.85,162.04,-23.1,-0.04,0.86,0.66
-8.94,21.63,-19.42,-204.15,-35.3,-11.0,0.69,-0.29,1.07
15.16,10.14,-9.96,-26.9,-217.69,76.0,0.32,0.05,1.2
-6.37,23.3,14.01,130.28,23.9,-45.6,0.26,0.29,1.07
-0.57,43.17,30.18,17.59,18.85,9.85,-0.26,0.43,0.89
-29.57,39.08,-6.38,41.07,24.24,-12.41,0.31,0.09,0.46
3.12,0.62,-10.6,-189.67,32.98,-34.0,0.36,-0.62,0.76
-6.3,-9.19,36.94,40.76,-39.47,58.53,0.3,0.19,1.25
3.74,29.09,38.6,93.45,56.7,-24.6,-0.12,0.47,1.55
-45.0,-34.29,-19.6,64.35,82.66,-2.2,-0.11,0.37,0.22
5.78,3.85,31.03,-151.28,-11.89,-11.0,0.66,-1.18,0.17
1.73,18.52,54.34,-8.34,-143.75,12.0,0.32,-0.07,1.17
6.21,23.08,56.94,189.28,-36.76,-24.0,0.04,0.54,1.15
-33.08,14.44,16.96,43.35,29.75,13.21,-0.43,0.62,1.11
11.53,39.51,26.24,-29.4,111.08,13.4,0.0,0.54,0.27
0.88,39.1,59.41,-238.04,-250.14,-1.0,0.68,-0.15,0.85
2.02,40.33,62.64,200.99,153.48,22.2,0.13,0.64,0.95
-8.08,102.47,56.57,92.99,60.44,6.66,-0.08,0.86,1.17
-31.83,34.71,27.0,13.31,20.83,23.97,-0.56,0.63,0.18
-6.37,39.42,66.53,-159.2,-37.54,-12.0,-0.12,-0.66,0.66
5.96,45.6,58.21,47.01,101.62,44.36,0.34,0.4,1.29
2.68,53.22,59.17,134.44,6.95,3.4,-0.11,0.53,1.11
-18.71,69.2,15.5,18.46,10.45,7.79,-1.03,0.6,1.12
8.45,31.71,43.36,-17.82,250.13,-31.0,0.21,-0.12,-0.26
0.0,-0.5,1.0,-106.73,-250.14,-1.0,0.03,0.18,1.28
13.73,8.71,63.42,161.42,24.65,-24.5,0.24,0.57,1.03
-1.56,17.14,53.63,-27.23,32.95,22.94,0.1,0.53,1.22
