yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.18,-35.68,56.77,4.22,11.6,-3.61,0.34,0.95,0.32
3.0,-34.13,55.88,-3.63,3.17,10.37,0.33,0.87,0.39
-0.84,-34.54,57.36,5.18,-4.37,-3.24,0.3,0.88,0.39
1.72,-36.55,56.78,-3.21,-11.11,6.64,0.28,0.91,0.38
0.66,-37.8,56.03,-4.01,-8.07,2.55,0.32,0.92,0.35
0.22,-38.71,55.3,-3.84,-6.73,0.87,0.33,0.89,0.36
0.55,-40.33,54.38,-5.12,-10.3,2.11,0.27,0.92,0.35
-2.02,-40.11,54.65,-0.58,-3.34,-7.76,0.25,0.95,0.37
-0.15,-39.37,54.56,-1.78,-1.21,-0.56,0.24,0.89,0.37
0.63,-39.89,57.03,8.6,-5.96,2.44,0.27,0.91,0.38
0.52,-40.24,56.97,-1.38,-5.37,2.0,0.27,0.91,0.35
0.14,-40.79,56.76,-1.95,-6.18,0.54,0.27,0.91,0.35
0.03,-41.35,56.41,-2.6,-6.3,0.13,0.28,0.9,0.35
0.06,-42.05,56.03,-2.73,-6.93,0.21,0.34,0.84,0.37
0.67,-43.76,53.7,-9.97,-10.46,2.61,0.28,0.89,0.39
