yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.03,-50.47,53.16,-5.47,-7.4,3.05,0.3,0.92,0.29
-0.17,-50.41,53.14,-2.15,-5.33,-0.11,0.31,0.91,0.28
-0.12,-50.45,52.9,-2.07,-5.18,-0.64,0.29,0.92,0.29
-0.13,-50.77,52.82,-2.93,-5.5,-0.45,0.3,0.91,0.3
0.01,-50.97,52.74,-2.3,-6.63,-0.52,0.3,0.92,0.3
0.08,-50.95,52.9,-2.44,-6.27,0.03,0.29,0.92,0.29
0.33,-51.09,52.53,-1.56,-5.44,0.31,0.29,0.91,0.28
0.21,-51.17,52.73,-3.48,-5.95,1.27,0.3,0.91,0.29
0.2,-51.13,52.85,-1.21,-5.79,0.79,0.3,0.92,0.31
0.24,-51.23,52.31,-1.65,-5.37,0.76,0.29,0.92,0.29
0.11,-50.94,51.23,-4.23,-5.9,0.91,0.29,0.92,0.3
0.37,-50.88,49.91,-6.25,-4.29,0.4,0.3,0.91,0.32
0.11,-51.02,48.68,-7.08,-4.99,1.42,0.32,0.89,0.34
-0.54,-51.04,47.26,-7.09,-5.98,0.41,0.3,0.91,0.35
-0.1,-50.56,47.26,-7.85,-5.76,-2.07,0.27,0.89,0.38
