yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
1.24,26.04,72.92,1.9,58.53,24.72,-0.32,0.91,-0.18
-2.99,32.0,64.82,-30.27,23.49,-10.9,-0.35,0.93,0.02
-8.51,31.31,56.74,-32.08,-1.82,-32.7,-0.43,0.88,0.11
-11.73,17.17,62.96,28.62,-60.63,-45.3,-0.96,0.66,0.16
-6.6,-37.12,19.94,8.0,-55.04,0.0,-1.51,0.53,0.75
21.07,-39.76,39.59,-15.97,-165.77,-21.0,-0.05,0.03,0.02
-19.8,-47.68,85.45,-133.92,-65.77,-23.0,-0.57,-0.45,0.35
-46.0,-56.7,97.52,87.68,-23.85,81.34,-0.82,0.3,1.29
-33.8,-74.29,84.05,188.29,-43.18,-76.0,-0.65,0.44,0.78
9.53,-76.82,63.94,58.55,-49.69,-177.0,-0.48,0.11,1.16
21.05,-57.03,59.2,-39.17,-83.21,-130.0,0.07,0.01,0.66
-12.3,-38.3,98.82,-67.52,-21.23,36.8,-0.27,-0.45,0.43
-48.0,-45.15,121.65,-2.12,63.54,81.27,-0.52,-0.14,1.34
-46.0,-51.39,121.09,169.11,62.53,-47.4,-0.77,0.48,1.04
-4.5,-84.66,98.05,104.4,-39.17,-186.0,-1.1,-0.15,1.02
3.58,-18.04,111.88,18.16,-39.79,-178.0,0.26,-0.08,1.04
-9.32,-0.47,170.78,-72.21,-139.27,-17.0,-0.22,-0.6,0.0
-40.0,-35.7,207.25,82.34,250.13,13.76,-1.1,0.52,0.45
-7.5,-81.25,170.01,250.13,58.14,-35.8,-0.97,0.53,0.74
16.2,-62.66,151.35,170.39,-149.32,-15.0,-0.66,0.3,0.95
-48.0,-48.73,217.16,-118.34,-193.58,-2.0,-0.21,-0.33,-0.02
-43.0,-83.87,211.46,-38.28,56.3,62.6,-0.82,-0.05,0.93
29.1,-96.91,159.38,146.71,42.98,62.09,-0.9,0.38,0.88
-41.0,-75.15,204.79,155.99,-16.91,-172.0,-0.86,0.48,1.1
-45.0,-104.75,198.77,8.93,-154.88,-167.0,-79.73,10.74,0.0
10.0,-103.69,160.04,-195.78,3.47,41.29,0.04,0.25,0.98
20.1,-97.61,173.94,54.33,-85.18,112.4,-0.26,-0.69,0.15
-7.8,-77.62,187.22,182.79,19.85,-9.4,-0.77,-0.34,0.95
-50.0,-95.4,213.59,53.63,24.37,-149.4,-0.56,0.14,0.76
-43.0,-111.82,195.71,7.79,-135.22,-173.0,-0.77,0.14,1.23
1.7,-115.18,156.56,-125.3,-12.56,42.0,-0.0,0.11,0.5
33.0,-103.23,181.04,86.73,1.56,77.63,-0.7,-0.59,0.66
-25.0,-88.0,236.86,83.39,59.58,-30.03,-0.54,-0.27,0.88
-46.0,-123.23,248.56,133.96,-90.91,-196.0,-0.94,0.33,0.96
-1.0,-126.3,202.39,-35.0,-78.11,-156.0,-0.44,0.04,1.28
19.0,-114.19,220.64,-123.03,-31.03,6.5,0.03,-0.19,0.68
-20.0,-128.02,275.05,128.79,25.18,129.2,-0.29,-0.37,0.44
-45.0,-146.03,281.55,250.13,35.02,-98.0,-1.39,0.44,0.72
2.5,-170.76,251.8,82.6,-163.19,-181.0,-0.93,0.35,0.83
19.0,-152.59,223.85,-147.53,-34.08,-7.0,-0.14,0.17,0.61
11.0,-129.95,256.52,108.89,20.54,75.36,-0.59,-0.28,0.45
-52.0,-147.97,268.53,250.13,-81.48,-79.0,-1.15,0.7,0.83
-27.0,-142.77,253.4,65.05,-99.46,-174.0,-0.77,0.6,0.6
6.3,-147.42,215.56,-75.79,-124.92,9.9,-0.33,0.23,1.17
21.0,-138.05,202.94,-72.44,38.12,73.7,-0.59,0.05,0.55
-4.0,-129.83,232.72,167.98,58.33,45.82,-0.96,-0.17,0.81
-65.0,-134.04,250.1,86.78,-98.97,-202.0,-0.91,0.33,1.05
-7.0,-149.3,201.84,-19.35,-3.73,-107.0,-0.09,0.19,1.03
22.0,-134.71,244.53,-109.69,-40.63,24.0,0.11,-0.16,1.14
-52.0,-120.65,289.77,-11.18,10.27,80.89,-0.16,-0.21,0.33
-54.0,-152.71,265.64,155.2,5.45,-18.47,-0.77,-0.41,1.08
-5.0,-190.09,225.83,102.42,-43.73,-250.0,-0.97,0.75,1.01
9.9,-174.06,232.85,-31.27,6.8,-172.4,-1.17,0.12,1.39
6.9,-109.38,263.16,-75.74,-102.1,-26.0,0.37,-0.25,0.43
-57.0,-117.7,297.57,210.38,28.62,88.09,-0.33,-0.38,0.22
-40.0,-126.55,290.66,216.35,29.95,-204.0,-0.92,0.93,1.25
3.4,-115.18,252.23,-50.9,-153.01,-21.0,-0.79,0.1,1.23
22.0,-106.0,253.72,-116.66,-170.47,-1.0,0.28,-0.02,0.65
-14.0,-65.42,277.04,72.58,31.57,38.18,-0.1,-0.32,0.23
-64.0,-52.23,295.21,160.69,224.68,26.8,-1.06,-0.21,0.99
-28.0,-74.17,275.78,177.62,-58.34,-220.0,-1.2,0.43,1.04
21.1,-82.61,258.67,21.58,-57.96,-155.0,-0.53,-0.24,1.25
32.4,-78.56,259.92,-106.63,23.35,13.2,-0.11,-0.07,0.49
-15.0,-57.95,277.87,55.87,15.99,85.95,-0.17,-0.58,0.3
-44.0,-47.26,286.06,136.54,138.81,-57.0,-0.89,-0.45,1.0
-57.0,-45.29,273.79,118.49,36.14,-249.0,-0.83,-0.12,1.0
-13.0,-46.43,231.42,-28.57,-97.08,-109.0,-0.08,-0.2,0.92
14.6,-31.14,237.4,-22.76,-41.85,81.5,0.32,-0.14,0.72
-21.0,-4.71,268.21,55.17,1.09,125.26,-0.16,-0.61,0.43
-48.94,7.25,282.04,116.34,64.83,-60.6,-0.68,-0.38,1.02
-8.7,-42.4,241.03,76.6,27.84,-173.6,-0.83,0.16,1.11
25.5,-27.79,240.44,-4.28,-3.85,-220.3,-0.52,0.12,1.07
-18.7,10.64,283.5,-125.94,-9.86,-53.0,0.18,0.0,0.81
-65.0,-37.75,266.49,70.02,57.07,56.56,0.15,-0.37,0.22
6.6,-27.53,231.51,165.08,96.56,-80.9,-0.49,-0.41,0.87
23.28,-4.17,234.54,96.34,43.82,-188.2,-0.64,0.4,1.63
1.62,42.25,287.28,-55.67,-85.24,-210.0,-12.75,-54.85,0.0
-65.0,28.11,285.14,-22.29,-116.8,-33.0,-0.76,0.08,0.92
-8.7,-11.32,260.68,41.24,47.18,91.15,0.52,-0.08,0.98
25.57,-7.41,254.62,212.21,142.69,-72.0,-0.04,-0.32,0.26
6.1,8.43,288.6,-24.63,-194.79,-25.0,-1.16,-0.07,1.13
-65.0,-3.91,327.71,-94.08,36.4,25.29,-0.43,0.32,1.43
