yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.04,-19.46,-34.84,5.05,0.83,0.16,0.31,-0.94,0.01
-0.0,-19.19,-35.13,4.89,0.78,-0.12,0.3,-0.94,0.01
0.66,-9.19,-37.84,-5.58,40.62,2.56,0.37,-0.92,0.05
3.84,27.01,-50.36,-44.85,147.01,14.8,0.29,-0.88,-0.01
18.24,32.43,-22.5,110.6,18.41,70.43,-2.0,-1.78,-0.33
-3.14,35.84,-18.24,26.09,20.5,-12.08,0.19,-1.07,-0.07
-2.39,40.86,-14.73,25.03,26.6,-9.22,0.07,-1.05,-0.0
-3.62,49.31,-19.19,-8.14,42.89,-13.98,0.23,-0.88,0.03
2.03,72.49,-24.39,-13.37,104.92,7.84,0.4,-0.91,0.07
-0.0,106.03,-29.71,-14.54,150.21,-0.3,0.4,-0.95,-0.05
-5.6,114.23,-29.39,8.76,51.34,-21.71,0.17,-0.91,-0.14
-5.63,99.66,-35.29,-16.06,-39.63,-21.0,0.06,-0.87,0.19
-1.91,92.75,-32.09,19.4,-9.87,-7.38,0.2,-0.95,0.14
4.14,136.85,-46.27,-52.52,197.09,15.9,0.52,-0.92,0.03
-6.7,146.59,-39.68,31.47,61.92,-25.89,0.12,-1.08,-0.2
-12.0,154.74,-43.28,-8.31,57.92,-50.05,0.16,-0.96,-0.12
4.47,165.07,-50.92,-26.72,69.53,17.27,0.36,-1.01,0.18
2.62,177.26,-55.71,-16.79,78.65,10.08,0.35,-0.9,0.19
1.05,205.1,-60.82,-18.5,143.95,4.06,0.36,-0.92,-0.02
-4.3,218.47,-58.15,13.07,88.19,-16.7,0.16,-0.99,-0.21
-8.0,211.83,-59.87,-2.61,8.31,-30.93,-0.01,-1.11,-0.1
1.99,220.85,-68.3,-3.31,44.65,-17.01,0.17,-0.97,0.06
2.75,267.85,-78.04,-23.88,59.7,7.11,0.33,-1.01,-0.01
-9.0,303.03,-81.52,-39.19,227.56,10.6,0.35,-1.03,-0.21
-6.6,306.87,-79.38,-16.63,184.02,-34.0,-0.06,-0.85,-0.46
-0.4,309.94,-80.85,8.41,65.76,-25.63,0.17,-1.0,-0.04
-0.0,312.59,-85.57,-7.12,64.32,-1.57,0.31,-0.96,0.05
1.79,313.09,-80.9,-20.69,63.7,-0.21,0.34,-0.94,0.05
-4.4,308.94,-84.6,17.25,53.89,6.92,0.17,-0.94,-0.16
-1.2,315.14,-86.67,-15.05,35.21,-17.1,0.19,-1.06,-0.05
7.28,311.79,-88.96,-10.08,76.92,-4.85,0.28,-0.98,0.06
1.36,324.96,-87.33,-13.78,42.24,28.09,0.55,-0.91,0.09
-12.0,313.47,-82.14,4.83,104.9,5.24,0.2,-1.0,-0.08
-8.1,309.51,-89.06,17.74,7.31,-44.42,0.2,-1.0,-0.14
7.55,301.94,-92.87,-27.53,35.36,-31.2,0.09,-0.95,0.05
0.97,307.44,-92.09,-18.01,21.87,29.05,0.28,-0.97,0.14
5.16,327.14,-90.18,-0.94,73.99,3.75,0.35,-0.85,0.04
-15.0,312.08,-89.47,3.95,132.08,19.92,0.36,-0.94,-0.04
-3.5,313.24,-93.78,0.44,-5.66,-59.26,0.23,-0.88,-0.07
-2.1,312.82,-95.52,-18.34,55.94,-13.7,0.13,-1.11,0.02
3.34,343.67,-96.73,-12.63,53.3,16.57,0.2,-0.95,0.15
-16.0,333.29,-95.74,-1.69,47.38,-7.55,0.35,-0.92,0.11
-0.9,333.96,-97.31,-8.9,176.17,12.79,0.35,-0.98,-0.07
-3.0,338.46,-105.38,1.05,15.31,-64.67,0.19,-0.96,-0.06
3.2,328.84,-105.44,-8.56,57.56,-3.56,0.13,-0.97,0.05
-4.0,345.15,-96.46,-6.18,19.16,12.36,0.3,-0.86,0.1
4.1,352.56,-100.04,30.11,84.55,-16.07,0.4,-1.01,-0.01
-8.0,373.79,-100.85,-0.63,83.42,-14.57,0.14,-1.08,-0.25
1.45,389.78,-96.74,-18.4,87.7,15.94,0.07,-0.95,0.01
-1.3,377.78,-96.83,-7.07,143.71,-31.9,0.28,-0.91,0.14
2.4,366.5,-102.95,11.78,127.37,5.6,0.24,-0.99,0.04
7.69,382.98,-95.32,-3.87,16.86,-5.24,0.34,-1.05,-0.09
-5.0,391.92,-98.09,-14.53,25.56,-18.7,0.24,-0.89,-0.03
-7.3,394.77,-99.94,-16.21,48.75,8.69,0.12,-0.97,0.13
-4.0,405.32,-105.71,25.85,127.86,29.7,0.33,-1.19,0.26
-3.0,422.93,-105.72,-15.45,100.72,-19.0,0.3,-1.0,-0.08
-3.0,402.77,-104.82,-9.26,74.73,-28.2,0.36,-0.89,-0.01
-2.0,377.65,-100.33,-9.05,63.26,9.44,0.06,-1.04,0.03
2.0,424.28,-110.51,0.57,-17.66,0.0,0.25,-0.93,0.14
2.8,420.09,-106.25,-5.4,137.92,-14.1,0.31,-0.89,0.03
-11.0,410.08,-98.76,-0.37,-11.62,-14.5,0.21,-1.01,-0.24
-6.0,423.34,-108.28,13.42,-34.02,-10.8,0.18,-1.15,-0.02
4.3,416.07,-108.91,-45.33,250.13,7.73,0.2,-0.89,0.08
6.2,423.72,-109.7,10.83,54.37,10.94,0.28,-0.9,-0.08
2.0,432.26,-102.11,25.32,28.85,-43.96,0.36,-1.07,-0.02
-14.0,414.07,-95.23,-41.19,120.29,-23.0,0.17,-1.0,-0.18
-2.0,418.2,-100.64,-7.76,41.03,16.93,0.16,-0.99,0.08
5.8,416.86,-105.48,-10.08,101.36,23.9,0.24,-0.99,0.08
3.4,421.95,-106.07,24.81,104.34,7.83,0.43,-1.0,0.13
-0.6,433.94,-96.52,24.55,-3.49,-56.6,0.26,-1.04,-0.12
-11.0,433.57,-94.34,-22.79,82.73,-8.23,0.01,-0.91,-0.12
0.9,416.28,-96.14,-24.36,64.72,22.4,-0.02,-1.06,-0.02
-1.1,408.11,-98.49,-7.98,90.38,13.49,0.31,-0.99,0.17
-3.0,432.75,-103.11,33.46,117.53,-2.29,0.29,-0.89,0.11
-14.0,431.19,-98.31,6.57,68.34,-45.98,0.21,-1.02,-0.14
2.31,417.57,-99.24,-8.77,0.53,3.48,0.04,-1.08,-0.13
2.5,412.66,-102.88,-13.11,36.5,-4.31,0.03,-0.95,0.08
1.0,426.05,-104.76,-23.36,168.11,-13.0,0.24,-0.91,0.12
2.3,438.17,-106.35,14.68,64.6,-55.84,0.34,-0.89,-0.06
-8.0,423.68,-100.3,-18.89,49.91,9.88,0.17,-0.99,-0.21
-2.0,403.72,-107.51,-13.95,123.81,4.03,0.37,-0.93,0.01
1.8,417.61,-105.08,-11.32,119.83,8.9,0.26,-0.93,0.12
-18.0,422.06,-98.76,19.56,14.16,-30.92,0.45,-0.94,0.18
-3.0,419.6,-100.7,-22.09,30.78,-7.27,0.32,-1.12,-0.01
4.1,413.15,-107.2,-13.24,24.37,-9.96,0.21,-0.98,-0.1
-2.0,405.03,-106.23,3.21,124.53,7.21,0.11,-1.06,0.08
6.4,420.8,-104.61,21.26,86.32,-72.42,0.19,-0.97,0.14
-16.0,407.78,-97.61,-10.47,59.03,-12.3,0.39,-0.93,-0.05
-7.0,408.09,-103.89,-30.89,44.2,16.13,0.13,-0.95,-0.13
2.5,405.33,-110.85,-2.57,37.1,-8.41,0.12,-0.88,-0.02
2.5,432.23,-108.69,0.95,131.57,24.82,0.29,-0.96,0.15
4.5,439.72,-109.27,23.43,17.34,-62.51,0.34,-0.86,0.14
-2.0,467.95,-111.63,-27.79,67.83,-27.0,0.32,-0.95,-0.02
-4.0,458.22,-105.21,-33.14,56.89,9.85,0.22,-0.97,-0.13
0.9,452.76,-106.89,-0.56,178.85,9.66,0.16,-0.96,0.04
-2.0,469.05,-109.74,-8.5,102.04,17.66,0.25,-0.94,0.18
-7.0,461.04,-105.47,-14.4,185.82,-10.0,0.63,-0.9,0.23
-1.0,446.23,-104.31,20.94,37.22,-16.46,0.31,-0.97,-0.18
1.3,443.18,-109.32,-11.85,50.98,3.24,0.18,-1.05,-0.11
3.9,451.65,-108.16,-18.13,142.27,-7.8,0.1,-0.89,-0.08
-4.0,447.08,-107.22,11.42,45.77,-27.98,0.38,-0.84,0.02
-7.0,464.0,-106.29,-1.02,17.64,-5.02,0.26,-0.91,-0.06
-3.0,441.55,-106.11,-25.01,61.94,5.28,0.34,-0.95,0.08
3.5,452.87,-109.94,-1.79,108.66,15.12,0.23,-0.87,0.08
0.1,478.06,-112.26,-2.24,57.18,-16.44,0.33,-0.88,0.06
-7.0,477.11,-107.56,-1.54,142.37,-27.1,0.31,-0.88,0.0
1.2,443.65,-109.02,-2.79,-15.04,-14.3,0.26,-0.98,-0.08
5.8,443.63,-106.55,-20.72,118.47,13.6,0.06,-0.99,0.07
-2.0,466.94,-113.91,-16.11,177.73,0.7,0.23,-0.86,0.14
-11.0,451.5,-112.22,13.42,74.13,-28.31,0.39,-0.96,-0.02
-7.0,454.45,-113.26,-7.88,-3.99,-18.75,0.14,-0.97,-0.14
6.8,449.42,-114.18,-6.74,21.92,4.88,0.07,-0.87,0.02
1.2,448.91,-116.99,4.83,72.6,22.71,0.16,-0.92,0.15
-1.0,466.87,-112.36,-35.92,168.29,-8.8,0.16,-1.08,0.18
-5.0,437.47,-108.0,0.53,15.33,-46.09,0.41,-0.93,-0.01
-8.0,449.64,-112.77,-10.18,86.63,-28.7,0.24,-0.95,-0.07
-2.0,457.44,-119.47,-10.75,56.03,26.29,0.26,-0.95,-0.02
2.3,459.7,-111.0,-18.42,73.35,4.91,0.34,-0.94,0.09
3.2,470.97,-107.39,10.4,147.73,-5.15,0.35,-1.01,0.1
-7.0,468.47,-111.33,11.62,-41.11,-23.1,0.42,-0.96,-0.06
6.2,479.12,-114.49,-22.76,119.65,-32.0,0.2,-0.89,-0.11
-7.0,482.6,-116.53,-14.43,41.28,-3.76,0.09,-1.09,0.01
4.2,484.41,-116.82,-22.27,126.79,-10.0,0.2,-0.91,0.1
-9.0,479.71,-117.76,27.65,82.43,9.08,0.18,-0.99,0.0
-4.0,477.24,-115.64,8.55,121.54,12.4,0.01,-0.97,-0.17
0.0,475.34,-114.94,-21.05,67.96,-27.7,0.27,-1.07,-0.14
-4.0,492.78,-117.65,-19.47,120.91,24.1,0.24,-0.97,0.1
-2.0,491.0,-117.4,-13.79,92.73,-30.7,0.4,-1.1,0.14
-4.0,482.61,-115.26,-8.23,87.31,16.2,0.2,-1.13,-0.04
3.8,487.52,-119.06,-9.77,60.65,-35.82,0.26,-0.86,-0.07
3.2,501.82,-124.89,1.71,69.06,-18.48,0.18,-0.99,-0.05
-7.0,491.42,-119.08,-5.12,72.64,0.16,0.22,-0.97,0.12
-4.0,493.65,-120.82,-18.24,149.76,-16.0,0.38,-0.87,0.01
-3.0,486.45,-121.34,-5.62,74.18,-11.31,0.31,-0.87,-0.11
0.7,487.27,-124.39,3.02,46.24,-17.89,0.27,-1.18,-0.09
-1.0,494.39,-119.16,-23.73,101.77,14.8,0.12,-0.93,0.02
-3.0,484.7,-115.29,-31.69,139.4,12.4,0.5,-0.97,0.02
-6.0,469.76,-116.07,15.68,40.27,-29.52,0.35,-0.89,-0.09
-0.0,474.5,-118.66,-13.47,89.79,-16.2,0.17,-1.01,-0.15
3.2,495.73,-121.17,-9.11,51.77,-15.34,0.15,-0.92,0.15
-13.0,482.95,-116.79,-20.15,84.31,3.01,0.28,-0.89,0.08
-4.0,483.49,-118.84,12.98,109.45,-6.8,0.26,-0.96,-0.06
2.5,469.7,-122.62,9.56,41.33,-15.27,0.13,-1.12,-0.07
-1.0,483.83,-128.05,-9.05,19.38,-24.53,0.16,-0.96,0.12
-11.0,497.1,-136.06,-18.59,98.4,-0.27,0.39,-0.88,0.12
-1.0,487.68,-129.83,-17.47,163.92,12.3,0.33,-1.03,-0.01
-2.0,480.57,-128.67,10.52,30.17,-51.67,0.19,-0.93,-0.1
5.8,479.23,-130.07,-12.74,74.98,-16.8,0.12,-0.94,0.01
-5.0,499.99,-130.71,-23.53,25.72,9.88,0.4,-0.99,0.18
-8.0,508.87,-126.64,-30.28,135.52,-7.1,0.35,-0.98,-0.02
-6.0,498.41,-126.45,-42.77,135.05,-43.0,0.47,-0.91,-0.16
5.4,479.65,-128.07,14.38,45.27,-5.28,0.33,-0.93,-0.06
0.7,475.94,-131.6,-4.82,52.73,-10.79,0.34,-0.98,0.05
3.8,490.14,-123.6,-15.82,75.21,22.46,0.34,-0.88,0.22
-17.0,473.19,-116.85,-12.34,163.89,-21.0,0.37,-0.98,-0.02
-1.0,463.27,-120.44,7.4,117.85,-31.04,0.23,-0.96,-0.11
11.0,448.82,-120.28,-5.61,39.72,-26.4,0.01,-0.98,-0.05
-1.0,463.04,-122.12,-14.43,6.37,20.92,0.18,-0.95,0.13
-14.0,468.21,-116.29,-23.39,65.15,2.91,0.32,-0.98,0.11
-1.0,461.26,-116.64,22.83,136.23,15.01,0.3,-1.07,-0.09
-2.0,433.42,-114.94,19.37,12.63,-68.45,0.2,-0.9,-0.11
-4.0,423.32,-112.99,-19.59,36.81,-5.17,0.35,-0.96,0.24
-1.0,449.92,-118.03,-8.07,19.52,44.18,0.35,-0.86,0.02
-2.0,464.05,-116.25,-15.83,132.95,-5.6,0.27,-0.97,-0.1
-2.0,446.68,-109.34,15.6,97.82,-54.14,0.22,-0.99,-0.07
4.6,432.0,-108.02,-7.75,49.18,-7.58,0.12,-0.95,0.11
-2.0,434.99,-109.06,1.02,-36.61,-10.85,0.15,-0.94,0.12
1.4,452.9,-115.9,1.98,30.43,-18.95,0.27,-0.86,0.0
-5.0,462.65,-113.7,-26.83,177.91,-4.9,0.33,-0.93,0.12
