yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.4,-15.47,-47.12,4.72,0.97,-1.53,0.12,-0.99,-0.01
0.44,-15.24,-47.19,5.37,-0.35,1.71,0.13,-0.99,-0.02
0.1,-14.09,-47.37,5.05,3.24,0.37,0.11,-0.98,-0.02
4.73,-4.92,-50.79,-9.26,36.95,18.26,0.25,-0.96,0.06
7.37,38.73,-45.55,24.83,175.17,28.45,0.05,-0.99,-0.28
-15.5,38.96,-42.08,19.12,6.63,-60.15,-0.06,-1.06,-0.23
-2.35,56.5,-45.06,-4.47,76.95,-9.08,0.02,-0.99,-0.01
5.06,52.21,-47.93,-5.89,-8.17,19.44,-0.01,-1.16,0.2
4.62,88.37,-41.73,29.22,155.96,17.85,0.25,-1.03,-0.15
-15.6,76.26,-46.48,-12.73,-35.24,-60.0,-0.08,-0.95,-0.12
7.83,103.18,-56.13,-18.89,108.3,14.8,0.18,-1.03,0.03
2.84,124.87,-46.22,-9.39,28.57,28.05,0.18,-0.98,0.02
-12.0,145.16,-37.81,43.44,105.31,10.95,0.15,-0.97,-0.13
-9.2,185.22,-38.13,36.73,99.21,-49.88,-0.3,-1.03,-0.39
6.43,204.36,-40.18,6.02,183.35,-35.53,-0.05,-1.17,-0.12
0.17,250.6,-36.13,-7.82,53.68,13.61,0.04,-0.98,0.04
-3.8,257.14,-32.72,11.76,80.0,22.95,0.25,-0.99,0.1
-0.3,256.66,-37.39,22.01,218.88,0.66,0.01,-1.12,-0.28
-7.2,252.66,-38.47,20.4,65.34,-14.88,-0.11,-0.99,-0.17
0.15,283.94,-37.84,-10.38,38.68,-1.44,-0.08,-0.95,-0.03
-8.6,308.71,-39.1,1.59,27.31,-27.84,0.23,-0.95,0.13
-5.2,317.95,-42.89,8.98,167.62,0.56,0.12,-0.89,-0.13
-2.5,307.06,-42.06,1.36,146.23,-33.27,0.11,-1.05,-0.2
2.16,309.36,-45.57,-8.37,86.25,-20.05,0.01,-1.02,-0.15
1.35,315.82,-48.8,10.53,7.41,-9.79,0.01,-1.01,-0.04
-3.7,305.18,-42.04,-8.29,60.55,8.34,0.19,-0.94,-0.0
-3.7,303.04,-46.39,-7.83,77.31,5.2,0.22,-1.04,-0.09
1.72,304.56,-49.82,32.02,7.11,-14.43,-0.1,-1.01,-0.17
