yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
62.86,-9.92,42.66,-167.11,6.11,-85.7,0.66,-1.32,0.09
-3.48,15.09,63.18,-224.12,-119.34,24.0,0.58,-1.63,0.94
-64.79,43.32,64.24,116.36,-18.23,-26.0,0.28,-1.01,-0.07
-48.06,78.87,87.83,4.41,110.69,-12.4,0.81,-0.94,0.01
6.2,67.67,88.84,22.33,122.55,-250.0,0.15,-0.06,0.35
10.56,69.91,88.91,106.76,153.68,-185.0,0.06,0.73,0.59
64.78,54.15,114.04,9.98,-31.66,23.85,0.2,0.57,0.59
64.78,28.08,78.02,7.76,22.12,40.76,0.88,-0.04,0.29
3.31,49.61,71.55,115.79,-40.63,250.0,1.39,-0.99,-0.12
-7.51,50.58,84.71,-120.85,-87.38,250.0,0.29,-1.13,0.14
32.07,44.15,138.02,74.27,13.6,-28.99,0.26,-1.21,0.61
18.02,43.71,159.01,237.13,-19.4,123.0,-0.31,-1.42,0.89
-3.67,49.2,152.23,92.71,5.75,69.59,0.02,0.46,0.02
-23.6,24.46,139.48,-7.75,26.36,-14.18,-0.26,0.54,0.65
-13.3,-21.81,69.03,-35.76,-91.04,-91.0,0.03,0.5,0.34
53.23,-45.89,29.15,-250.14,-182.27,-5.0,-0.06,-0.58,0.32
-5.56,-12.78,29.51,-138.44,-97.3,204.0,0.52,-1.63,0.6
-46.96,43.48,25.42,19.36,126.52,-21.4,0.08,-1.0,-0.11
-64.79,72.69,33.13,-0.18,226.2,-180.0,0.49,-1.51,-0.13
-17.91,84.45,44.61,38.5,135.52,-250.0,0.88,-0.34,0.05
1.11,85.95,45.99,45.39,60.56,-69.16,0.11,0.41,0.51
64.78,53.41,45.23,5.48,21.98,4.27,0.25,0.67,0.62
48.51,62.04,104.92,3.83,-109.27,250.1,0.35,0.03,0.31
25.89,19.02,103.81,249.11,52.9,187.3,0.9,-0.2,-0.49
-1.27,19.44,101.53,23.08,-159.02,99.5,0.47,-1.2,-0.2
-5.19,53.68,154.64,20.69,5.85,-4.9,0.13,-1.03,0.05
27.26,54.7,198.7,239.37,140.98,-20.0,0.03,-1.47,0.89
3.64,53.75,202.14,209.67,7.44,105.26,-0.36,-0.49,0.27
-3.61,47.45,195.3,38.3,9.12,13.99,0.33,0.54,0.41
-36.4,-1.06,142.89,0.85,-12.93,-13.95,0.4,0.44,0.81
65.0,-28.63,104.66,-175.52,-180.03,-1.0,0.33,-0.19,0.25
11.58,-25.8,84.67,-124.27,-102.87,25.0,1.41,-1.14,0.51
-4.53,12.59,81.57,-54.59,11.85,44.71,0.67,-1.07,0.27
-65.29,46.84,94.35,11.99,153.66,-17.5,0.39,-0.99,-0.13
-64.79,75.58,83.94,67.92,148.98,-250.0,1.25,-0.57,-0.18
1.64,61.74,95.76,-23.89,130.54,-250.0,0.45,-0.19,0.39
22.85,65.63,99.59,53.53,-41.95,6.29,0.13,0.62,0.6
64.78,70.34,130.78,25.38,25.92,88.24,0.03,0.41,0.61
64.78,25.81,106.81,143.07,41.89,250.1,1.15,-0.2,0.17
-5.58,49.98,100.15,-66.64,-162.12,250.0,0.73,-1.04,-0.13
-6.82,53.78,112.68,3.01,99.15,-21.44,-0.24,-1.2,0.06
7.52,93.05,167.72,77.36,24.16,-26.33,0.12,-1.15,0.46
25.9,66.78,185.7,250.13,166.31,29.0,-0.06,-1.55,0.69
-2.17,65.65,177.04,87.56,-89.11,99.61,0.03,0.24,0.08
