yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
8.18,-20.83,19.3,-26.89,65.08,31.6,-0.08,135.82,0.0
-22.62,35.57,15.36,-2.71,227.87,-87.3,0.22,-1.08,0.13
-65.04,69.13,34.03,82.57,148.94,-250.0,0.66,-1.27,0.1
-14.72,66.59,51.17,69.02,1.4,-56.83,0.61,-0.41,0.14
3.39,64.19,54.68,15.77,2.15,13.1,0.04,0.39,0.58
64.78,41.24,51.48,-4.16,-80.27,250.1,0.11,0.63,0.72
65.28,-6.69,54.08,21.56,-173.37,250.0,0.12,0.01,0.62
29.29,-28.29,62.35,51.42,-83.25,113.0,0.81,-0.28,-0.03
-0.72,-17.37,63.16,26.64,40.21,-2.79,0.66,-1.15,-0.24
0.01,-35.07,113.59,222.21,-73.82,0.04,0.12,-1.05,0.0
18.4,-31.4,165.49,235.43,4.41,71.08,0.02,-1.54,0.99
11.8,-29.68,163.49,12.48,7.34,45.5,-0.24,-0.39,0.18
-6.2,-31.51,160.32,7.53,-10.56,-24.25,0.45,0.49,0.45
-16.0,-46.04,112.69,-165.88,-56.73,-64.0,0.15,0.54,0.69
52.26,-35.05,72.75,-135.29,42.98,201.0,0.17,0.02,0.19
5.14,-95.8,42.26,-98.79,-247.89,19.0,1.09,-1.23,0.6
-7.27,-31.02,50.16,48.02,250.13,-28.0,0.68,-1.13,-0.07
-65.04,-9.81,78.35,130.48,83.65,-250.0,0.37,-0.82,0.32
-38.09,4.09,107.02,125.12,58.71,-146.0,0.26,0.14,0.47
-2.6,-1.82,106.77,8.73,-21.73,-10.02,0.14,0.7,0.65
16.1,-13.77,103.11,-5.47,-46.85,62.36,0.12,0.57,0.47
64.7,-40.18,118.68,82.04,-97.99,250.1,0.96,-0.32,0.31
58.02,-30.07,78.65,-133.86,40.34,223.0,0.43,-0.5,0.18
1.57,-6.15,69.39,-13.73,95.02,6.05,0.41,-0.98,0.02
-3.59,42.82,83.39,77.95,199.2,-13.8,0.47,-1.23,0.32
17.76,46.98,140.13,250.13,24.62,68.29,0.22,-1.59,0.93
18.76,32.56,166.42,117.64,-52.4,72.4,-0.08,0.34,0.12
-1.61,31.48,161.95,3.09,4.4,-6.18,0.34,0.52,0.66
-19.1,-6.76,151.04,-28.24,-148.86,-73.0,-0.01,0.55,0.26
41.45,-23.21,80.55,-250.14,-65.74,160.0,0.14,-0.71,0.46
34.81,-25.85,33.83,-164.28,-11.41,133.0,0.49,-1.39,0.53
-0.16,-12.51,21.53,-32.23,51.81,-0.63,0.32,-1.06,0.14
-38.37,29.5,9.31,8.0,-0.15,0.0,0.96,-0.32,0.07
-64.79,72.98,11.49,-35.21,170.85,-148.0,0.34,0.38,0.67
-17.72,68.11,18.63,13.25,191.05,-250.0,0.2,0.66,0.79
1.08,65.22,22.61,26.21,-3.98,-68.16,-0.03,0.22,0.54
55.23,64.93,21.07,12.66,1.15,4.18,1.55,-1.19,0.17
64.78,5.88,26.75,-6.15,8.85,213.24,0.28,-1.75,-0.32
54.54,-7.23,23.41,32.27,-218.64,250.0,0.15,-1.03,-0.01
-2.02,16.86,30.68,3.15,-50.35,210.58,-0.37,-1.33,0.84
-4.04,50.78,85.11,45.98,96.66,-7.76,-0.04,-0.27,0.08
13.38,66.55,141.03,232.73,137.02,-15.0,0.08,0.56,0.38
10.36,65.41,142.89,249.05,69.93,51.47,0.04,0.59,0.7
-6.88,49.53,140.24,21.34,7.26,39.98,0.17,0.35,0.35
-16.2,50.56,108.8,5.8,-52.78,-26.44,0.97,-0.91,0.61
47.89,36.33,59.97,-110.24,15.12,-62.0,0.87,-1.04,0.32
23.0,44.35,49.38,-172.66,-42.42,184.0,0.35,-1.0,-0.09
-8.94,66.64,46.9,-25.11,44.16,88.45,1.16,-0.84,0.1
-64.7,112.23,22.17,9.18,99.93,-34.5,0.18,0.08,0.45
-42.3,132.68,45.24,-86.15,202.74,-250.0,-0.07,0.51,0.68
-0.32,145.6,50.57,94.39,103.37,-162.0,0.11,0.53,0.66
6.26,136.31,51.13,22.85,72.57,-1.23,1.11,-0.34,-0.04
64.78,80.69,68.92,4.2,-12.71,24.18,0.64,-0.46,-0.19
65.03,44.98,74.37,82.52,-190.08,250.0,0.22,-0.91,0.04
-4.68,45.62,60.9,38.37,-121.76,250.0,-0.41,-1.22,0.04
-14.15,60.08,75.29,-29.81,11.91,-18.0,0.51,-1.5,0.93
21.51,84.21,132.28,78.85,62.3,-54.43,-0.12,0.23,0.19
16.7,97.4,162.4,250.13,109.28,83.0,0.13,0.46,0.71
6.77,79.83,154.49,134.37,62.89,64.22,0.09,0.53,0.37
-16.8,21.04,140.88,-10.94,-53.57,26.1,-0.21,-0.04,0.12
-2.45,-12.91,90.32,-38.61,-222.4,-65.0,1.07,-1.3,0.52
59.94,-63.22,54.56,-178.58,-142.09,-9.0,0.28,-1.07,0.12
-4.81,-26.4,41.36,-121.21,-197.63,23.0,0.41,-1.23,-0.15
-34.47,22.51,28.78,-32.41,140.33,-18.0,0.93,-0.46,0.18
-64.79,81.32,40.52,-32.53,194.67,-132.0,0.21,0.31,0.53
-13.4,106.36,58.07,56.03,250.13,-250.0,0.17,0.64,0.77
-3.57,90.74,58.55,72.24,116.4,-51.6,-0.27,-0.09,0.26
49.46,47.94,58.29,4.99,-44.11,-13.79,1.08,-0.74,-0.43
65.28,10.87,102.07,10.47,-164.59,190.0,0.04,-0.78,-0.17
6.82,-4.94,97.11,189.2,-132.09,250.0,-0.12,-0.97,0.2
-4.53,10.59,99.19,8.82,-61.08,26.24,-0.29,-1.41,0.58
-3.74,13.66,131.41,36.25,60.51,-17.47,-0.34,-1.0,0.37
27.39,10.76,186.06,156.05,12.32,-14.4,0.01,0.44,0.34
14.63,-0.06,191.43,250.13,-12.27,105.0,0.29,0.52,0.69
-2.95,-4.06,188.68,43.1,-41.6,56.5,0.2,0.27,0.15
-36.0,-55.63,157.98,14.08,-13.07,-11.3,1.04,-0.37,0.71
37.6,-99.61,107.56,-100.69,-202.78,-1.0,0.85,-1.46,0.85
39.63,-88.21,73.57,-174.11,-176.73,14.0,0.41,-1.0,0.08
-3.97,-70.71,74.96,-110.83,34.01,152.0,1.01,-1.59,-0.11
-65.2,-21.73,64.65,28.24,59.76,-15.32,0.34,-0.05,0.28
-52.58,39.35,81.76,-20.03,189.39,-250.0,-0.04,0.49,0.66
-1.52,43.75,87.66,80.27,250.13,-203.0,-0.01,0.47,0.62
8.35,40.6,84.86,30.88,23.45,-5.85,0.17,0.02,0.66
64.78,26.82,73.37,-3.08,-5.78,32.24,0.53,-0.25,0.6
51.88,28.5,10.31,-32.88,-46.54,250.0,0.12,-1.11,-0.02
6.11,34.26,-0.07,-239.02,17.39,200.0,0.16,-1.16,0.34
6.39,61.1,14.13,-26.55,28.64,23.48,-0.46,-1.36,0.65
38.06,56.42,69.32,68.69,114.66,24.67,0.4,0.14,0.38
25.78,32.56,95.56,233.85,-11.69,146.0,0.04,0.61,0.49
-4.43,9.52,92.9,113.95,-79.42,99.1,-0.14,0.51,0.58
-6.35,9.11,85.7,-3.61,-86.95,-17.1,0.5,-0.3,0.39
6.41,-9.29,26.99,-20.58,-1.73,-24.5,0.35,-1.61,0.38
35.4,-16.55,-25.64,-218.31,-65.21,24.0,0.17,-1.04,0.11
1.01,-15.3,-30.25,-194.21,-28.53,135.0,0.71,-1.41,-0.36
-51.4,32.68,-41.92,-9.99,3.86,3.92,0.61,-0.35,0.17
-65.0,91.5,-19.29,-42.08,194.73,-198.0,0.05,0.43,0.63
-15.1,89.09,-16.23,88.57,250.13,-250.0,0.35,0.55,0.65
5.23,61.71,-3.98,3.69,5.63,-58.43,0.11,0.29,0.44
29.73,46.34,4.12,40.74,-92.23,20.18,0.94,-0.68,-0.04
64.78,-5.57,31.18,26.66,-49.99,114.7,0.17,-0.89,-0.0
8.05,-42.31,21.98,-19.18,-146.34,30.0,-0.36,-1.1,0.15
-3.82,-3.37,29.84,46.27,146.36,-14.6,0.11,-1.39,0.82
-1.7,43.05,64.58,154.07,186.77,-6.5,-0.16,-1.02,0.77
22.51,44.63,122.09,250.13,12.17,86.92,0.27,0.5,0.21
12.68,54.29,130.21,42.97,49.84,48.56,0.01,0.54,0.74
-3.19,50.84,127.01,2.28,-5.01,-12.31,0.23,0.17,0.3
