yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.01,2.57,-9.48,5.95,-1.11,-0.04,-0.27,-0.95,-0.07
-0.13,2.74,-10.56,5.92,-1.49,-0.49,-0.28,-0.95,-0.06
-0.9,1.71,-10.86,9.44,-5.89,-3.47,-0.23,-0.97,-0.05
-0.88,0.16,-12.62,2.37,-9.21,-3.39,-0.34,-0.92,-0.03
-4.09,-0.25,-11.84,12.92,-4.25,-15.81,-0.28,-0.94,-0.03
4.17,27.86,-29.31,35.49,31.08,-46.63,-0.04,-0.99,0.09
10.96,22.14,-24.92,-79.74,76.6,15.0,-0.04,-0.74,-0.44
-0.83,19.41,-19.41,26.02,-17.91,42.31,0.07,-0.99,-0.14
-0.76,16.74,-17.11,26.33,-10.98,-3.19,-0.44,-0.89,-0.54
-6.89,13.53,-17.59,18.05,-9.57,-2.92,-0.21,-0.96,-0.18
-11.2,18.7,-10.37,7.28,-12.17,-26.6,-0.2,-0.92,-0.16
4.02,51.52,-14.7,40.29,23.12,-43.36,0.02,-1.0,-0.04
7.97,16.94,-13.68,-10.53,138.02,15.4,0.39,-0.85,-0.5
9.48,55.27,-3.39,12.49,-127.21,30.7,0.42,-1.02,-0.12
-0.86,52.41,-6.96,47.53,152.74,36.61,-0.33,-0.6,-0.33
-0.73,46.85,-9.32,-2.85,-5.07,-3.31,-0.26,-0.95,-0.02
0.16,47.21,-10.13,1.46,-16.18,-2.83,-0.24,-0.98,-0.08
-0.14,47.4,-10.2,6.69,6.14,0.6,-0.3,-0.92,-0.11
0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.92,-0.09
0.02,0.73,-0.97,6.75,-0.11,0.08,0.0,0.0,0.0
