yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.1,-60.5,108.36,6.95,-5.76,15.84,0.47,0.9,0.05
4.08,-60.45,108.55,8.15,-5.11,15.76,0.47,0.9,0.04
1.39,-58.65,102.05,-18.75,1.93,5.36,0.45,0.86,-0.01
3.78,-59.64,101.66,4.31,-9.48,14.6,0.43,0.94,-0.0
2.16,-53.88,102.53,9.47,17.53,8.29,0.43,0.92,0.09
-6.99,-51.1,97.48,-14.6,5.92,-26.99,0.36,0.92,0.15
-9.8,-70.28,121.71,104.37,-81.46,-37.0,0.45,0.93,-0.57
25.5,-37.5,130.62,42.16,121.32,98.07,0.12,0.86,0.06
6.26,-44.59,125.91,-8.31,-32.6,24.18,0.22,0.97,-0.4
4.25,-41.78,120.77,-10.92,8.04,16.4,0.46,1.01,-0.05
-1.8,-40.4,122.56,15.21,1.95,-7.18,0.34,0.99,-0.04
-6.9,-47.99,118.66,-8.93,-35.57,-26.7,0.18,1.13,-0.05
13.4,-56.88,132.12,60.02,-44.18,51.79,-0.07,0.95,-0.11
8.73,-56.28,126.42,-14.53,-7.91,33.6,-0.11,0.83,-0.09
10.2,-57.97,119.66,-17.19,-11.72,39.4,0.45,0.93,0.01
3.56,-57.01,120.35,12.11,-0.89,13.68,0.48,0.88,0.06
4.23,-56.87,119.68,6.96,-3.91,16.34,0.49,0.88,0.07
3.72,-56.58,119.43,8.6,-3.22,14.37,0.5,0.88,0.08
4.16,-57.01,118.81,7.08,-6.05,16.06,0.5,0.87,0.09
4.02,-57.2,118.48,8.02,-5.21,15.45,0.49,0.88,0.07
