yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.11,9.61,-37.45,6.43,1.45,-1.46,-0.3,-0.94,-0.02
-0.44,9.96,-36.99,4.21,-3.47,0.43,-0.29,-0.94,-0.02
-7.0,22.32,-47.23,7.4,0.04,-1.69,-0.3,-0.93,-0.02
-18.0,20.83,-38.58,-34.11,50.68,-27.0,-0.07,-1.0,0.15
-3.56,16.68,-38.8,40.63,-1.42,-69.75,0.1,-0.92,-0.04
14.63,43.75,-44.61,4.98,-14.07,-13.71,-0.08,-0.87,-0.22
1.83,40.82,-46.13,-17.66,113.79,56.5,0.19,-0.77,0.1
-1.44,35.89,-43.22,-1.31,-6.93,7.05,-0.23,-0.95,-0.12
2.74,58.74,-53.76,16.99,-14.93,-5.54,-0.17,-0.94,-0.06
-10.8,52.63,-38.14,-37.53,95.98,10.53,-0.15,-1.01,-0.28
2.58,49.05,-40.24,67.92,-14.6,-41.8,0.05,-0.94,0.01
-0.03,48.43,-45.18,-2.85,-8.41,9.96,-0.2,-0.73,-0.09
-0.63,45.46,-45.66,2.81,16.08,48.61,0.39,-0.93,0.14
0.5,43.39,-44.02,-11.95,-1.11,-0.12,-0.24,-0.98,-0.09
1.43,43.18,-42.23,2.58,-6.47,-2.45,-0.26,-0.98,-0.15
0.34,40.99,-42.75,11.26,-3.19,1.91,-0.23,-0.95,-0.1
0.19,39.75,-42.26,12.43,3.98,5.53,-0.22,-0.94,-0.04
0.08,38.94,-41.9,3.24,-4.15,1.33,-0.24,-0.95,-0.06
0.1,37.57,-41.71,7.04,-0.85,0.75,-0.26,-0.95,-0.07
-0.13,36.42,-41.81,6.56,0.58,0.31,-0.27,-0.95,-0.04
