yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.09,12.41,-38.44,5.78,-1.02,-0.34,-0.28,-0.93,-0.01
-0.05,12.46,-38.53,5.23,-0.48,-0.19,-0.28,-0.94,-0.0
-2.05,18.61,-38.15,6.53,23.47,-7.91,-0.33,-0.89,-0.01
-1.94,33.35,-44.17,-18.32,60.11,-7.46,-0.25,-1.17,-0.2
-13.1,46.66,-31.94,55.05,60.34,-50.85,0.16,-1.03,-0.06
8.56,55.35,-30.53,33.22,40.54,17.99,0.08,-0.79,-0.13
3.94,55.22,-29.21,-9.29,10.67,30.67,-0.01,-1.05,-0.05
3.44,63.72,-27.95,12.11,6.21,15.09,-0.23,-0.98,-0.17
-1.31,59.47,-28.22,9.87,38.92,13.27,-0.42,-0.82,-0.26
-13.1,45.95,-15.94,4.27,-11.24,-5.05,-0.45,-0.86,-0.16
-8.45,22.03,4.52,58.22,-43.98,-50.6,0.12,-1.34,0.11
1.41,-22.72,-1.73,90.43,-91.14,-32.5,-0.29,-0.96,-0.23
7.96,-20.83,1.04,-12.98,-174.88,5.4,0.32,-1.82,-0.53
3.76,-23.83,-0.42,22.3,3.02,28.53,-0.08,-1.03,-0.12
1.45,-19.46,5.84,7.2,-16.89,14.45,-0.16,-0.97,-0.02
0.69,-18.03,3.69,37.07,11.58,5.59,-0.2,-0.85,0.11
0.45,-18.08,0.9,4.44,0.33,2.65,-0.24,-0.94,0.03
-0.05,-17.09,-1.25,1.44,-5.53,1.75,-0.25,-0.94,-0.02
0.5,-15.58,-3.06,3.43,-1.44,-0.21,-0.26,-0.93,-0.03
0.36,-14.33,-4.74,4.6,0.97,1.93,-0.25,-0.95,-0.05
