yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
11.52,-32.96,96.09,41.26,7.02,-20.06,0.67,0.72,0.56
7.55,-38.61,98.42,117.77,52.28,44.47,0.28,0.7,0.21
-9.11,-45.09,68.44,15.96,-22.53,29.04,0.67,0.98,-0.2
9.26,-56.08,58.5,-114.85,-28.02,-35.0,0.38,0.76,0.09
-9.28,-51.33,58.38,-34.94,-45.47,35.7,0.59,0.59,0.51
-9.54,-38.54,39.24,2.01,16.37,-35.7,0.78,0.84,0.44
23.29,-49.94,30.33,-75.63,46.32,-36.8,0.24,0.55,0.4
-19.0,-53.65,45.04,-29.48,-47.96,89.9,0.35,-0.01,0.73
1.5,-52.5,54.79,61.19,-15.59,-73.3,0.74,0.3,0.67
9.93,-55.42,61.74,39.39,0.99,5.76,0.43,0.57,0.44
-2.49,-41.28,88.16,28.74,-15.96,38.35,0.54,0.92,0.56
18.4,-40.05,110.35,108.03,53.01,-9.6,0.46,0.69,0.32
-14.5,-43.51,90.44,94.43,3.23,71.21,0.51,0.82,-0.22
-1.17,-50.38,66.25,-69.97,-13.92,-55.0,0.77,0.92,-0.18
11.31,-60.19,65.57,-90.72,-29.25,-4.5,0.41,0.56,0.25
-21.2,-50.84,53.72,1.43,-41.89,43.49,0.65,0.75,0.59
12.67,-44.91,43.58,-46.82,31.42,-81.9,0.37,0.88,0.34
-6.19,-52.18,53.01,-35.89,18.2,48.92,0.2,0.3,0.66
-2.89,-45.25,62.36,42.25,-30.56,-23.9,0.62,0.29,0.78
7.16,-50.82,69.8,38.27,23.63,-11.1,0.38,0.64,0.43
-10.0,-45.34,86.46,31.76,-25.92,27.53,0.44,0.86,0.57
12.8,-44.38,114.63,72.26,19.27,-38.79,0.53,0.58,0.55
-5.3,-45.37,102.54,118.4,2.29,49.49,0.51,0.72,0.01
-10.7,-40.78,76.98,-37.93,-5.4,-20.4,0.85,1.1,-0.44
12.47,-53.44,65.11,-95.95,15.73,-41.6,0.37,0.67,0.13
-18.7,-44.22,61.44,-40.74,-51.86,47.9,0.56,0.57,0.61
3.8,-44.73,48.47,-12.22,33.27,-72.3,0.6,0.92,0.51
7.5,-55.15,49.44,-46.6,-3.33,14.68,0.45,0.34,0.5
-10.7,-52.5,64.1,11.6,-42.81,28.94,0.7,0.01,0.86
12.92,-47.92,66.9,60.83,7.82,-41.4,0.52,0.5,0.44
-11.7,-43.76,80.53,13.46,13.79,49.88,0.45,0.87,0.55
12.1,-35.54,109.9,59.38,14.79,-45.44,0.64,0.68,0.56
7.1,-39.04,110.96,121.2,30.65,46.9,0.4,0.73,0.01
-19.5,-25.59,74.56,14.19,-13.63,27.21,0.83,1.0,-0.38
10.36,-41.25,60.98,-48.48,-62.24,39.8,0.46,0.76,0.08
-9.12,-34.35,60.08,-1.23,26.56,-35.22,0.43,0.55,0.57
-4.72,-28.02,41.48,-72.29,22.29,-18.2,0.68,0.88,0.5
13.3,-39.69,42.24,8.42,-47.16,51.15,0.19,0.53,0.5
-18.5,-47.63,58.33,67.15,-32.84,-71.4,0.39,0.12,0.82
12.69,-49.51,62.18,15.51,-11.43,49.0,0.48,0.39,0.59
-7.14,-45.45,72.17,43.5,13.85,-27.58,0.38,0.81,0.33
-0.2,-32.97,100.3,115.39,47.76,-1.04,0.6,0.71,0.53
9.67,-29.07,112.3,56.22,15.79,37.34,0.48,0.77,0.22
-14.3,-29.49,79.55,-122.92,-1.15,-55.0,0.7,0.97,-0.37
8.08,-41.95,63.21,-57.88,-48.16,30.9,0.51,0.81,0.02
-7.68,-33.43,65.39,11.88,32.98,-29.65,0.64,0.56,0.54
-11.0,-28.83,48.37,-65.92,16.26,-42.5,0.27,0.61,0.44
16.75,-37.39,45.2,-6.4,-35.97,64.43,0.26,0.13,0.76
-18.2,-40.8,58.72,57.27,-13.58,-70.5,0.58,0.43,0.6
10.58,-44.0,61.97,14.21,-15.66,40.85,0.34,0.67,0.4
-1.42,-44.26,67.57,25.92,-2.12,-5.46,0.75,0.79,0.58
-1.64,-38.82,91.87,100.88,19.89,-6.33,0.43,0.6,0.34
18.5,-33.58,111.6,85.73,20.31,71.77,0.62,0.87,-0.27
-14.8,-30.04,93.07,-64.85,14.7,-57.1,0.7,0.94,-0.07
3.89,-29.35,68.08,7.54,-46.57,44.95,0.43,0.59,0.51
11.64,-41.17,68.54,-11.73,25.42,-68.6,0.57,15.0,0.0
-17.7,-34.24,65.01,-51.76,11.93,39.31,0.7,0.65,0.74
10.26,-30.9,50.44,18.84,-42.17,-3.73,0.48,0.87,0.44
-0.96,-41.81,53.68,40.91,33.24,-58.53,0.29,0.28,0.53
-15.1,-33.04,63.49,23.67,-22.47,58.79,0.68,0.25,0.72
15.23,-38.44,68.88,57.21,24.02,-50.05,0.38,0.56,0.41
-13.0,-32.41,81.84,124.94,30.15,41.69,0.5,0.82,0.43
