yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.01,3.82,-29.51,5.92,-0.98,-0.04,-0.18,-0.94,0.13
0.02,3.83,-30.0,5.66,-0.98,0.06,-0.18,-0.94,0.13
0.04,3.67,-30.49,5.58,-1.73,0.15,-0.17,-0.94,0.13
0.38,5.85,-28.71,13.81,6.63,1.46,-0.3,-0.94,0.11
-2.27,4.1,-29.93,3.04,-7.5,-8.76,-0.15,-0.96,0.14
-7.92,1.27,-31.54,1.2,-11.91,-30.59,-0.12,-0.94,0.16
-9.8,-1.16,-47.19,-55.89,-8.14,-37.8,0.17,-1.06,0.22
19.5,-18.43,-67.49,-76.92,-70.68,75.5,-0.14,-1.24,-0.26
2.92,-25.96,-50.72,69.07,-31.46,11.23,0.15,-0.84,-0.03
0.41,-27.8,-51.06,2.27,-13.04,1.47,-0.25,-0.91,0.0
0.19,-26.81,-49.97,8.99,-2.05,0.73,-0.16,-0.96,0.06
-0.1,-24.61,-50.12,4.01,2.78,-0.71,-0.18,-0.97,0.07
0.03,-22.96,-49.58,6.75,0.92,0.12,-0.19,-0.96,0.04
0.22,-21.33,-48.88,7.5,1.11,0.85,-0.19,-0.96,0.06
0.37,-20.52,-48.96,4.38,-2.05,1.42,-0.2,-0.97,0.04
-0.0,-19.41,-48.6,6.07,-0.7,-0.21,-0.2,-0.95,0.06
0.04,-18.27,-48.48,5.09,-0.5,0.14,-0.21,-0.95,0.06
0.14,-17.48,-48.42,4.92,-1.75,0.53,-0.21,-0.95,0.04
-0.1,-16.35,-47.89,6.83,-0.14,-0.37,-0.2,-0.95,0.06
-0.0,-15.33,-47.63,5.84,-0.44,-0.11,-0.2,-0.96,0.05
