yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.9,-51.12,116.88,7.73,-5.15,15.05,0.34,0.94,0.06
3.98,-51.1,116.89,7.48,-5.06,15.37,0.33,0.95,0.06
4.06,-50.96,117.55,10.18,-4.44,15.62,0.34,0.94,0.06
3.88,-49.48,125.12,37.85,0.69,14.96,0.32,0.96,-0.01
2.04,-44.59,126.35,13.79,14.88,7.85,0.33,0.9,0.06
1.21,-44.77,128.23,15.79,-5.54,4.69,0.26,0.97,-0.04
-7.6,-44.42,130.84,17.79,-4.92,-29.68,0.09,0.96,-0.07
-1.1,-22.91,139.82,47.69,83.02,-4.55,0.49,0.98,-0.39
17.8,-15.76,123.28,-56.11,22.98,69.02,-0.24,1.01,-0.13
7.06,9.95,120.08,-5.04,103.3,27.27,0.25,0.93,0.04
5.18,5.98,119.35,5.23,-11.05,19.93,0.36,0.96,0.08
3.73,3.0,119.3,7.9,-7.72,14.4,0.35,0.94,0.08
3.97,-0.11,118.67,5.5,-8.82,15.33,0.34,0.93,0.07
4.05,-2.45,118.46,7.14,-6.14,15.63,0.35,0.93,0.08
4.04,-4.7,118.27,7.24,-6.12,15.6,0.35,0.94,0.09
3.91,-6.7,118.35,8.18,-5.51,15.05,0.35,0.94,0.08
4.09,-8.89,118.09,6.84,-6.63,15.79,0.35,0.93,0.07
3.91,-10.39,118.23,8.49,-4.18,15.08,0.35,0.94,0.08
3.99,-12.03,118.05,7.21,-4.95,15.4,0.35,0.93,0.08
4.02,-13.66,117.84,7.07,-5.19,15.53,0.35,0.93,0.08
