yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-10.1,-82.46,61.87,24.22,-24.91,-39.0,0.9,0.73,-0.54
-28.9,-54.38,58.3,-12.68,103.24,-111.0,0.46,0.87,-0.51
-9.46,-59.74,58.03,-3.29,-29.63,-36.3,0.06,1.0,-0.32
36.43,-66.5,58.5,4.97,-31.47,140.65,0.54,0.61,-0.54
14.2,-75.01,55.08,-9.48,-36.25,50.89,0.6,0.6,-0.55
-18.2,-66.06,63.14,34.56,30.08,-70.54,0.79,0.85,-0.53
-23.7,-40.86,54.56,-33.27,94.01,-90.9,0.48,0.95,-0.39
20.64,-68.27,54.68,25.76,-47.26,63.69,-0.08,0.81,-0.35
-0.1,-77.61,60.38,-20.77,-66.73,73.9,0.73,0.57,-0.58
-24.5,-48.14,59.39,25.76,-41.94,-0.38,0.72,0.67,-0.53
-24.6,-28.03,57.27,-1.93,111.05,-94.8,0.65,0.92,-0.54
13.95,-90.0,58.63,-11.05,72.99,-94.9,0.01,1.02,-0.27
-26.1,-76.24,66.91,1.0,34.51,0.0,0.2,0.67,-0.71
-22.8,-40.44,55.52,4.7,-200.85,133.2,0.92,0.62,-0.48
18.67,-71.01,61.36,7.01,-51.33,49.83,0.7,0.87,-0.66
24.85,-91.43,58.69,35.79,45.89,-100.6,0.27,0.96,-0.33
-22.9,-96.81,73.26,-45.69,134.15,-88.0,0.14,0.72,-0.18
-26.4,-62.9,63.61,20.72,-127.19,71.8,0.59,0.6,-0.6
8.97,-79.92,69.16,-6.05,-81.37,88.76,0.34,0.71,-0.66
32.28,-92.11,67.91,61.01,-33.23,-88.5,0.35,0.9,-0.5
5.27,-99.44,70.18,-35.85,123.35,-101.0,-0.08,0.87,-0.24
-24.5,-73.71,72.29,20.73,-79.35,34.62,0.47,0.65,-0.67
-8.91,-69.49,69.83,-0.14,-57.37,124.1,0.77,0.57,-0.61
36.52,-73.59,69.68,15.19,-37.44,20.36,0.77,1.01,-0.6
11.35,-89.56,62.98,12.42,92.82,-94.6,-0.01,0.86,-0.23
-19.3,-74.91,71.14,-10.34,5.02,-34.25,0.37,0.54,-0.52
-26.0,-54.98,66.06,4.15,-23.43,141.02,0.83,0.48,-0.66
14.09,-71.1,73.83,-19.6,-68.45,43.6,0.99,0.85,-0.63
18.67,-87.08,71.1,34.53,47.77,-69.24,0.15,0.97,-0.25
-4.97,-91.92,80.65,-20.72,69.15,-100.0,0.23,0.78,-0.42
-31.3,-65.25,73.35,32.37,-71.05,54.18,0.52,0.58,-0.75
-14.2,-55.06,67.3,-4.34,-71.08,72.1,0.86,0.63,-0.71
40.27,-79.28,71.36,45.05,-26.73,-19.1,0.62,0.86,-0.62
9.6,-82.5,77.27,-23.37,96.63,-120.0,-0.08,0.88,-0.33
-24.0,-67.26,77.87,-23.62,29.74,-54.9,0.56,0.56,-0.52
-28.2,-49.05,62.56,21.24,-100.02,154.0,0.56,0.67,-0.68
7.82,-83.74,73.7,29.29,-20.76,37.05,0.77,0.77,-0.59
-7.22,-79.17,83.47,8.61,54.19,-92.81,0.1,0.92,-0.25
-36.2,-46.21,74.22,0.15,-108.76,0.0,0.17,0.69,-0.51
10.05,-63.69,80.84,51.4,-116.66,112.0,0.75,0.57,-0.65
30.23,-84.57,81.22,2.18,-31.98,27.83,0.78,0.74,-0.62
3.2,-87.89,83.83,45.29,11.18,-27.87,0.3,0.86,-0.51
-23.8,-65.88,83.68,-32.69,122.53,-139.0,0.13,0.85,-0.23
-17.4,-49.57,76.21,26.77,-76.1,38.64,0.67,0.59,-0.65
25.19,-63.59,80.5,9.37,-88.2,116.71,0.85,0.63,-0.61
14.66,-79.26,79.09,18.6,-19.89,12.37,0.63,0.8,-0.59
-9.2,-74.93,83.58,5.99,79.32,-91.69,0.18,0.98,-0.37
-35.3,-36.27,78.94,-27.37,56.6,-67.4,0.21,0.65,-0.61
2.06,-68.52,76.94,22.3,-62.26,97.27,0.82,0.64,-0.68
32.09,-79.81,82.5,2.25,-66.35,56.4,0.8,0.65,-0.64
5.6,-85.74,89.78,25.56,11.28,-35.51,0.55,0.85,-0.54
-25.8,-62.28,89.44,-12.92,148.01,-136.0,-0.12,0.85,-0.44
-26.2,-44.47,76.15,-5.26,-135.62,7.88,0.57,0.68,-0.66
24.56,-62.1,85.1,28.66,-51.37,123.9,0.55,0.66,-0.74
12.12,-78.3,80.75,36.67,-31.91,21.54,0.74,0.81,-0.65
-9.09,-73.54,93.86,6.77,86.31,-99.94,0.11,0.9,-0.33
-31.4,-42.32,88.05,-50.17,62.68,-101.0,-0.04,0.74,-0.35
-4.01,-50.51,86.75,37.73,-78.23,94.46,0.69,0.7,-0.56
30.86,-62.67,90.25,-9.23,-63.92,43.29,0.78,0.71,-0.65
9.06,-73.54,91.05,60.09,12.85,-35.09,0.47,0.87,-0.58
-25.5,-58.31,91.59,-16.19,117.15,-121.0,0.03,0.88,-0.29
-15.2,-42.39,76.51,-2.53,-39.44,-15.4,0.31,0.62,-0.59
20.44,-58.32,84.62,21.04,-53.63,118.6,0.88,0.62,-0.65
17.8,-75.86,80.51,13.01,-46.65,34.99,0.65,0.79,-0.64
-21.2,-61.07,84.67,10.24,54.66,-98.82,0.1,0.98,-0.32
-25.3,-36.66,79.3,-57.14,55.36,-58.5,0.17,0.68,-0.47
17.64,-49.59,87.17,36.33,-68.98,78.92,0.81,0.66,-0.62
-10.3,-52.59,92.34,-7.56,-67.69,63.58,0.76,0.69,-0.55
-32.4,-26.85,82.67,23.73,53.6,-81.89,0.13,0.9,-0.34
-0.39,-32.42,86.39,-18.9,89.54,-97.6,0.25,0.82,-0.54
32.91,-50.69,90.47,35.72,-55.57,68.11,0.89,0.67,-0.6
0.65,-46.43,91.42,8.58,-22.26,87.92,0.82,0.68,-0.62
-21.5,-30.84,90.48,27.44,6.82,-37.02,0.5,0.88,-0.47
-19.3,-10.98,86.37,-32.44,99.27,-125.0,0.06,0.92,-0.22
15.52,-24.42,92.34,15.99,-26.05,-1.51,0.3,0.68,-0.56
-7.07,-47.6,99.05,22.77,-75.73,127.0,0.6,0.64,-0.71
-20.9,-33.25,92.51,12.74,14.14,2.49,0.59,0.85,-0.56
-12.5,-26.51,87.06,3.53,60.07,-83.01,0.05,0.97,-0.37
30.16,-40.82,90.8,-13.02,75.37,-74.5,0.24,0.77,-0.31
9.45,-58.71,85.46,27.63,-52.98,59.7,0.66,0.59,-0.6
-24.7,-22.94,86.6,3.51,-87.83,106.09,0.71,0.59,-0.61
7.14,-34.96,86.47,39.18,-4.02,-25.24,0.46,0.85,-0.59
5.56,-62.38,86.32,-18.21,53.92,-81.0,0.17,0.85,-0.34
-21.0,-45.22,82.37,-17.54,23.35,-48.2,0.34,0.68,-0.59
-18.7,-30.96,74.23,21.76,-58.51,116.4,0.67,0.58,-0.66
15.74,-45.82,82.21,-11.9,-72.24,36.3,1.0,-19.67,0.0
14.72,-61.68,80.35,26.34,47.19,-75.93,0.77,0.66,-0.65
-2.87,-60.99,87.32,-8.01,81.9,-88.37,0.26,0.88,-0.42
-25.2,-34.62,77.94,3.71,-50.67,27.47,0.13,0.88,-0.48
-8.22,-28.74,76.05,13.98,-58.88,94.16,0.57,0.63,-0.62
35.1,-59.12,80.78,2.67,-53.34,21.47,0.79,0.62,-0.72
7.91,-72.41,83.31,-8.85,64.58,-81.15,0.71,0.84,-0.58
-17.8,-62.03,84.85,-31.01,50.72,-72.1,0.09,0.95,-0.29
-19.1,-38.11,78.25,34.6,-62.44,60.76,0.23,0.8,-0.43
18.22,-50.53,85.99,0.98,-58.88,52.59,0.89,0.59,-0.59
23.42,-61.23,86.86,34.77,-1.01,-11.05,0.72,0.72,-0.58
-8.75,-67.6,87.25,-31.58,100.6,-97.0,0.48,0.8,-0.5
-21.5,-39.77,84.7,-7.93,17.02,-31.73,-0.1,0.91,-0.13
-18.3,-29.54,86.79,24.05,-123.53,135.0,0.29,0.69,-0.64
20.57,-45.82,91.48,18.03,-55.93,30.55,0.82,0.63,-0.59
19.94,-57.05,91.43,12.47,34.78,-68.44,0.59,0.81,-0.6
-7.85,-55.62,92.67,-22.97,89.54,-73.7,0.36,0.91,-0.31
-32.1,-37.03,93.17,33.15,-53.64,70.36,0.24,0.84,-0.29
2.27,-39.44,83.68,11.83,-44.56,89.75,0.72,0.64,-0.62
24.3,-52.3,88.87,9.82,-29.58,-33.77,0.66,0.64,-0.62
15.31,-59.88,88.5,-3.67,106.33,-83.3,0.61,0.82,-0.49
-19.0,-43.1,93.58,10.41,36.27,-70.39,0.17,0.88,-0.23
-21.6,-29.81,85.63,22.49,-68.67,79.44,0.15,0.8,-0.36
6.26,-38.37,90.5,8.91,-45.95,76.7,0.76,0.68,-0.61
29.52,-45.05,92.46,14.15,2.62,-30.29,0.77,0.71,-0.69
3.78,-54.68,91.7,9.09,69.56,-124.28,0.39,0.74,-0.52
-23.2,-38.79,86.19,-33.9,-15.11,8.75,0.06,0.95,-0.39
-20.8,-23.05,80.41,26.34,-53.79,93.83,0.42,0.72,-0.44
8.09,-36.15,87.39,7.42,-33.95,59.12,0.58,0.63,-0.75
26.52,-54.93,84.46,25.69,58.44,-67.87,0.69,0.86,-0.61
-7.86,-55.4,85.53,-26.68,49.53,-83.1,0.36,0.91,-0.35
-21.4,-32.15,75.54,22.87,-38.74,24.15,0.05,0.84,-0.38
-8.4,-27.25,75.19,15.98,-27.97,113.9,0.56,0.69,-0.6
29.36,-42.79,90.77,6.7,-39.72,14.53,0.72,0.62,-0.69
5.94,-55.26,85.4,-13.9,60.37,-89.9,0.63,0.75,-0.62
-14.5,-51.64,82.28,-20.09,59.0,-80.3,0.21,0.91,-0.34
-23.4,-21.69,77.01,30.84,-54.15,31.12,0.19,0.78,-0.36
8.28,-30.35,80.95,-3.29,-76.4,101.9,0.52,0.61,-0.71
32.69,-46.7,83.94,11.98,-4.79,-30.34,0.64,0.64,-0.57
-10.3,-52.03,86.94,-34.96,88.05,-82.6,0.45,0.91,-0.49
-18.5,-35.93,79.86,-1.82,14.69,-32.44,0.02,0.91,-0.19
-24.1,-10.74,68.56,67.23,-63.47,112.9,0.33,0.7,-0.61
14.92,-21.95,78.04,-12.17,-51.95,22.9,0.62,0.63,-0.79
17.42,-31.68,82.13,-5.24,11.4,-56.34,0.69,0.75,-0.58
-7.07,-38.56,88.59,-16.6,104.27,-83.0,0.11,0.93,-0.48
-24.3,-12.77,76.9,17.63,-37.1,31.96,0.12,0.83,-0.35
-3.79,-15.67,71.72,19.4,-65.22,126.2,0.58,0.6,-0.64
22.16,-31.26,79.87,20.49,-22.82,-39.7,0.77,0.66,-0.75
8.23,-43.65,83.57,-20.73,62.16,-71.6,0.17,0.94,-0.26
-5.91,-42.53,80.29,-43.94,96.79,-92.7,0.15,0.81,-0.29
-22.5,-21.74,72.31,38.23,-45.21,57.6,0.63,0.72,-0.59
-3.43,-21.59,73.24,22.57,-37.02,67.0,0.77,0.68,-0.81
21.24,-37.17,81.2,34.11,-26.96,-27.2,0.47,0.93,-0.5
18.17,-51.55,79.21,-41.39,101.36,-94.0,0.15,0.94,-0.22
-17.6,-39.42,77.73,-20.36,-12.31,-14.0,0.21,0.73,-0.51
-17.5,-21.76,70.18,35.83,-63.08,85.56,0.84,0.68,-0.51
19.62,-36.19,80.74,21.99,-47.31,31.54,0.7,0.77,-0.66
19.7,-48.76,79.17,-5.94,3.05,-22.8,0.46,0.88,-0.38
0.12,-48.49,79.05,-28.15,80.88,-86.9,0.1,0.91,-0.17
-26.8,-20.56,74.95,2.88,-1.89,-13.18,0.4,0.81,-0.46
-5.87,-25.52,79.34,35.24,-62.44,82.02,0.7,0.62,-0.71
12.09,-62.24,88.34,-0.04,-57.91,70.15,0.78,0.87,-0.62
-12.9,-50.17,84.33,0.11,46.27,-68.19,0.12,0.9,-0.21
-22.4,-23.62,76.24,-27.54,60.69,-62.3,0.15,0.72,-0.37
9.94,-31.56,79.43,43.89,-59.82,75.75,0.81,0.64,-0.55
20.94,-46.81,82.86,1.34,-49.37,76.05,0.82,0.64,-0.51
-0.91,-58.82,82.29,6.8,0.5,0.47,0.56,0.81,-0.45
-12.4,-41.23,81.71,-11.56,109.54,-103.0,0.05,0.96,-0.28
-27.2,-11.49,70.07,17.9,-22.73,-22.6,5.0,25.67,0.0
24.76,-29.3,80.85,22.9,-63.74,98.74,0.37,0.77,-0.56
14.14,-49.46,81.03,24.06,-78.98,43.18,0.68,0.67,-0.69
-15.1,-34.64,80.44,-7.89,44.83,-50.15,0.77,0.74,-0.6
-26.9,-16.97,75.38,-28.73,101.53,-86.0,0.35,0.9,-0.35
