yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.39,-26.76,82.57,5.16,-2.93,-1.51,0.29,0.83,-0.61
-0.13,-26.24,82.6,5.07,0.08,-0.5,0.26,0.84,-0.61
-0.11,-26.38,83.11,7.11,-2.37,-0.41,0.28,0.84,-0.61
-21.1,-11.24,80.26,-7.59,57.14,-81.73,0.06,0.95,-0.57
24.66,-30.87,86.78,30.79,-82.91,95.2,-0.24,0.81,-0.59
23.23,-47.21,77.85,-28.05,-68.22,89.3,0.27,0.73,-0.87
-7.47,-39.23,70.34,-23.63,26.16,-26.6,0.47,0.89,-0.62
-27.7,-16.11,73.45,12.89,86.5,-106.9,-0.02,0.88,-0.36
2.18,-14.24,81.29,33.63,4.09,8.37,-0.08,0.82,-0.47
27.71,-24.22,76.79,-10.84,-39.14,107.0,0.39,0.65,-0.8
8.46,-35.12,64.59,-43.38,-41.76,32.6,0.73,0.8,-0.54
-20.0,-11.86,60.08,-16.66,83.15,-71.5,0.23,0.97,-0.42
-6.71,-4.44,68.21,30.61,26.89,-25.82,-0.1,0.93,-0.28
32.55,-20.78,69.87,9.54,-65.07,125.67,0.14,0.7,-0.56
18.67,-40.88,60.88,-30.65,-78.21,71.7,0.66,0.68,-0.64
-15.5,-40.81,60.47,-0.32,-2.39,-60.05,0.5,0.97,-0.55
-16.7,-26.7,56.99,-15.05,51.59,-64.8,0.15,0.93,-0.36
8.57,-27.39,72.55,61.08,-6.18,32.95,0.09,0.82,-0.38
23.43,-29.08,68.87,-8.6,-6.92,90.48,0.49,0.61,-0.76
0.03,-43.75,57.85,-38.66,-57.49,0.1,0.73,0.65,-0.65
-26.8,-16.95,57.69,-0.32,103.05,-103.0,0.27,0.9,-0.55
-9.82,-11.7,69.36,46.43,16.87,-37.76,-0.16,0.92,-0.51
46.47,-29.41,66.44,-6.31,-69.28,179.4,0.41,0.6,-0.72
7.07,-33.64,62.97,-8.14,-15.63,27.08,0.72,0.61,-0.73
-22.2,-17.92,57.66,-18.49,62.37,-85.9,0.6,0.89,-0.66
-15.9,-11.71,58.98,37.7,-41.39,84.14,0.18,0.94,-0.32
22.52,-39.64,61.99,-16.15,-63.03,80.7,3.0,21.88,0.0
-10.3,-43.7,60.18,-3.73,-17.53,-39.8,0.26,0.68,-0.58
-20.5,-15.02,57.6,-9.76,110.53,-79.0,0.66,0.54,-0.75
-8.02,-8.69,64.43,26.79,22.45,-30.85,0.67,0.8,-0.69
27.44,-21.2,64.47,4.43,-47.53,105.95,0.31,0.91,-0.52
10.26,-38.04,57.85,-22.51,-65.97,39.4,-0.06,0.93,-0.51
-19.7,-23.79,52.33,-20.08,56.05,-76.3,0.51,0.7,-0.75
-17.3,-17.63,53.61,3.3,21.62,-67.15,0.61,0.76,-0.7
14.26,-16.34,68.33,8.0,23.26,0.0,0.64,0.91,-0.65
-13.6,-35.49,58.26,-18.63,-54.66,89.7,0.08,0.98,-0.48
-20.96,-9.18,56.58,-11.15,-18.08,-48.0,0.03,0.76,-0.57
-7.6,-2.69,71.91,-6.59,102.13,-80.6,2.59,54.85,0.0
27.36,-11.83,69.95,61.8,24.88,-29.35,0.5,0.57,-0.78
2.6,-25.87,69.32,-2.53,-34.33,105.6,0.74,0.77,-0.64
-27.99,3.8,66.12,3.97,-51.63,10.0,0.27,0.89,-0.49
-7.11,0.85,67.09,-8.59,119.73,-108.0,0.03,0.82,-0.56
22.41,-3.35,71.35,3.76,-9.54,-27.44,0.34,0.69,-0.8
13.44,-4.55,66.9,22.06,-14.76,86.53,0.84,0.64,-0.75
-10.8,-12.01,64.77,-10.37,0.6,51.68,0.57,0.81,-0.67
4.0,20.64,81.27,-3.89,-25.37,-41.7,0.18,0.9,-0.34
35.03,8.88,79.92,-9.77,102.18,-87.5,0.23,0.61,-0.8
-20.82,12.99,73.42,71.55,30.93,14.28,0.71,0.49,-0.8
-10.2,23.66,73.73,1.06,-41.63,135.25,0.63,0.71,-0.65
24.88,3.68,72.93,7.0,-61.37,36.92,0.21,0.94,-0.46
23.52,-7.79,66.0,-17.65,88.24,-80.0,0.22,0.75,-0.43
-10.01,-9.48,64.48,2.4,46.35,-39.39,0.26,0.67,-0.73
-26.49,21.81,60.38,0.34,-75.42,96.08,0.71,0.36,-0.76
-0.03,23.35,65.02,-20.73,-39.55,90.8,0.52,0.85,-0.68
11.12,-21.07,65.34,-1.14,-1.78,-38.5,0.13,0.82,-0.34
-13.5,-19.65,63.87,-14.95,127.12,-101.0,0.12,0.73,-0.57
-26.49,8.57,56.43,16.25,11.44,-0.1,0.67,0.53,-0.71
3.15,1.78,73.31,17.43,-91.14,130.0,0.72,0.66,-0.61
28.48,0.11,75.27,-4.81,-68.4,39.87,0.39,0.92,-0.5
0.65,-17.48,70.58,-0.66,7.95,-52.35,0.16,0.84,-0.15
-22.9,-3.23,57.45,-29.27,112.14,-102.0,0.55,0.7,-0.76
-15.68,10.6,52.91,66.85,-25.6,12.07,0.61,0.51,-0.75
11.82,3.62,65.58,13.68,-1.92,109.96,0.81,0.76,-0.87
24.63,-3.84,68.2,-10.64,-63.24,2.5,0.2,0.9,-0.48
14.33,-21.11,54.04,-47.85,59.91,-88.4,0.01,0.76,-0.44
-29.75,14.38,51.43,-20.27,55.84,-60.3,0.51,0.66,-0.7
-21.52,19.33,56.44,49.21,-25.66,45.65,0.89,0.5,-0.68
29.58,18.54,69.16,15.96,-26.02,95.08,0.7,0.81,-0.67
27.35,-2.88,61.77,-50.3,-63.19,55.3,0.1,0.93,-0.32
-16.3,-1.39,56.72,-9.37,142.84,-114.0,0.07,0.83,-0.4
-23.35,24.91,54.26,15.37,20.36,-76.87,0.4,0.58,-0.86
-8.03,27.86,73.95,51.82,2.21,113.78,0.79,0.52,-0.67
