yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-5.37,20.87,74.54,77.92,6.07,0.94,-0.17,0.38,0.65
2.24,31.93,59.04,53.34,-20.59,-20.8,-0.15,0.66,0.55
-1.58,19.1,37.76,-59.85,46.41,8.63,-0.12,0.77,0.42
5.34,8.39,24.35,-78.4,-53.06,-6.1,-0.52,0.18,0.6
-2.84,7.77,20.18,-47.95,-39.95,20.6,0.01,0.01,1.01
-1.47,7.56,20.51,-11.05,-1.87,-10.9,-0.08,-0.21,1.04
4.9,5.9,33.11,6.24,-1.76,-5.69,-0.22,-0.17,0.9
-2.54,0.48,54.01,55.79,-7.2,18.93,-0.23,-0.23,1.16
-2.54,-7.52,65.89,85.27,-17.15,-9.8,0.34,0.37,0.7
-0.84,-6.91,66.67,49.97,-31.95,-9.79,0.01,0.53,0.63
0.89,47.77,38.77,4.49,2.24,-3.23,0.1,0.8,0.5
-0.67,20.05,21.89,-109.08,216.48,3.4,-0.18,0.55,0.47
-1.74,21.23,13.01,-62.93,-105.85,-2.0,-0.19,0.12,0.85
-0.08,12.64,12.24,-30.61,7.85,-6.7,-0.01,-0.18,1.11
-0.72,-5.57,32.81,1.23,-30.05,-0.29,0.12,-0.23,0.94
-1.23,-10.74,56.97,86.2,-70.68,-2.79,0.07,-0.2,1.25
-4.6,-10.41,69.15,98.92,-23.24,-4.76,-0.13,0.28,0.69
-4.43,-1.68,65.6,52.04,-0.47,-17.75,-0.01,0.54,0.69
9.7,-12.03,39.07,2.31,-17.05,0.0,-0.1,0.72,0.53
0.49,-15.37,24.24,-95.86,-44.6,37.4,-0.24,-0.03,0.8
-1.52,-20.09,18.98,-53.41,-15.63,1.89,-0.03,0.01,1.03
0.47,-19.0,19.59,-15.13,-21.99,-5.8,-0.05,-0.21,0.9
-4.68,-25.08,43.3,7.53,0.2,1.81,-0.11,-0.22,0.95
-5.83,-22.96,65.75,99.6,-25.82,-18.0,0.2,-0.13,1.07
-3.65,-18.93,71.07,93.44,2.49,-22.5,-0.15,0.27,0.6
0.26,-18.79,74.39,25.14,12.44,-14.02,-0.0,0.58,0.65
-8.27,-1.36,41.96,17.1,-2.82,0.98,-0.03,0.68,0.62
-1.56,-18.1,31.46,-117.82,63.12,-31.0,-0.4,-0.07,0.86
0.54,-16.14,25.05,-34.77,-66.95,-6.0,0.06,-0.07,0.93
-1.09,-14.62,26.02,-19.45,5.93,2.1,0.1,-0.14,0.97
-2.83,-4.49,54.18,9.63,3.15,-4.2,-0.04,-0.19,1.04
-4.66,-2.32,71.67,117.91,39.35,-10.9,0.1,-0.04,0.91
-4.76,0.18,76.11,72.66,8.0,-17.91,0.0,0.45,0.58
1.37,31.0,58.36,21.79,9.04,-18.39,-0.06,0.66,0.6
-4.63,-4.34,39.27,-67.91,120.93,5.27,-0.46,0.13,0.76
-3.0,-4.21,28.24,-69.01,-142.69,-17.0,-0.44,-0.02,0.95
-4.14,-0.57,24.66,-37.72,-4.15,-11.5,-0.22,-0.19,0.81
2.54,-6.75,32.08,-7.81,11.55,-15.97,-0.46,-0.16,1.22
0.06,3.0,55.57,34.94,-28.27,9.79,0.01,0.02,0.78
-0.19,2.64,66.38,99.02,38.14,0.23,-0.2,0.42,0.74
-0.23,1.59,68.23,47.78,-3.04,-0.75,-0.04,0.58,0.61
-4.03,5.17,50.62,11.14,-4.26,-0.89,-0.48,0.42,0.55
-1.71,-7.47,33.62,-64.66,9.06,-15.56,-0.31,0.12,0.88
-1.11,-7.65,25.95,-61.39,-53.04,-6.6,-0.05,-0.13,1.01
-1.0,-7.35,24.21,-24.23,-2.37,-4.3,-0.05,-0.2,0.96
-3.35,6.84,37.08,-0.99,-0.5,-3.87,-0.0,-0.17,1.17
-1.74,10.2,60.13,56.94,55.83,-12.92,-0.09,0.2,0.8
-4.02,24.67,59.76,96.45,13.61,-6.73,-0.05,0.53,0.69
-0.34,32.52,58.52,2.12,59.33,-15.53,-0.3,0.49,0.62
0.18,23.65,32.48,-1.07,32.18,-1.31,-0.39,0.28,0.64
-0.73,23.29,18.26,-98.59,-35.1,0.69,-0.26,-0.09,1.08
-1.33,21.52,15.82,-5.29,-5.34,-5.15,-0.22,-0.19,1.03
-1.93,21.03,19.11,17.08,-0.84,-7.42,-0.25,-0.15,0.96
-4.28,1.8,44.36,104.35,-73.87,-16.0,0.01,0.03,0.87
-1.71,-7.64,60.31,64.16,-38.68,-6.59,-0.08,0.52,0.52
-5.24,25.59,63.97,16.55,131.01,-20.1,-0.08,0.65,0.57
4.22,27.6,37.0,-106.03,7.25,16.31,-0.43,0.63,0.35
-1.3,14.36,13.81,7.0,3.4,0.0,-0.06,0.06,1.03
-2.19,21.09,12.62,-64.6,-61.34,13.1,-0.15,-0.13,1.0
-2.92,11.66,19.38,-18.98,12.45,-5.02,0.16,-0.16,1.0
-11.31,18.94,50.04,-1.12,30.86,-8.44,-0.38,-0.27,1.14
-6.67,11.43,66.12,31.29,-37.39,-11.2,0.16,0.08,0.67
-3.8,14.58,63.55,125.31,33.22,-43.6,-0.12,0.54,0.55
0.63,19.61,41.65,65.43,-28.41,-25.6,-0.18,0.63,0.58
8.37,21.19,23.08,-7.07,12.62,-14.69,-0.37,0.48,0.52
-5.9,15.26,14.98,-83.81,18.15,2.42,-0.06,0.02,0.95
-4.14,13.25,13.83,-67.94,8.92,32.18,-0.2,-0.13,0.99
0.58,6.67,20.94,-27.69,-22.27,-22.0,-0.28,-0.2,0.96
-6.35,25.67,47.44,-0.41,-8.15,-15.97,-0.31,-0.25,1.15
-0.24,17.76,60.25,32.73,-26.69,2.22,0.2,0.09,0.9
-6.17,15.64,63.63,109.02,79.52,-24.5,0.02,0.65,0.63
-1.7,54.35,36.91,54.47,-28.47,-0.93,-0.31,0.66,0.3
3.9,12.77,21.94,15.94,-5.49,-23.81,0.18,0.12,0.96
-2.4,14.87,15.03,-106.34,154.48,-6.0,0.16,-0.14,1.07
-0.39,19.12,12.97,-55.18,-156.18,14.0,0.05,-0.14,0.94
-4.6,21.23,27.34,-23.11,11.86,-9.27,-0.13,-0.21,1.26
-0.48,21.25,48.88,-4.47,19.98,-1.5,-0.01,0.12,0.71
-2.35,18.07,63.38,61.39,10.63,-17.77,-0.19,0.47,0.63
-2.19,23.63,60.0,89.43,3.31,-1.84,-0.02,0.66,0.56
-6.95,31.24,35.77,60.46,-11.52,-9.06,-0.71,0.06,0.6
-0.93,14.59,23.24,-11.38,24.91,-8.44,-0.22,-0.06,1.0
-2.11,15.3,18.86,-88.44,26.42,-26.8,-0.17,-0.18,1.07
-0.62,14.48,21.52,-44.11,-63.97,-3.5,-0.16,-0.16,1.0
2.85,1.34,47.43,-12.27,3.79,-8.1,-0.06,0.01,0.79
-5.16,8.09,61.45,15.17,-2.27,-2.39,-0.14,0.34,0.71
-4.0,9.4,63.68,107.57,-51.21,10.9,0.02,0.63,0.64
1.77,35.91,49.95,59.99,25.7,-19.92,-0.11,0.64,0.55
-2.04,27.16,35.78,11.72,6.76,-15.45,-0.34,0.21,0.94
-0.53,19.39,26.43,-52.79,106.92,6.83,-0.29,0.0,0.83
-4.74,24.43,24.55,-50.85,-32.5,-7.8,-0.07,-0.1,1.01
0.98,26.04,22.42,-31.89,-29.95,-2.0,-0.11,-0.12,0.98
-6.16,12.86,49.06,-2.44,22.8,-18.3,0.26,0.06,0.82
-5.47,8.89,66.97,-3.5,9.36,3.78,-0.03,0.44,0.67
0.98,8.39,66.18,110.06,-46.03,-23.0,0.13,0.61,0.67
9.05,17.13,47.25,74.31,-14.16,-21.0,0.19,0.5,0.64
-1.29,8.85,29.54,0.84,0.69,3.77,-0.05,0.12,0.91
-2.85,13.2,22.56,-71.36,38.64,34.95,-0.04,-0.11,0.99
0.73,14.13,28.46,-64.88,-31.01,-4.9,-0.06,-0.12,0.93
-7.71,5.0,51.55,-22.31,18.5,-11.0,-0.22,-0.18,1.14
-1.73,4.32,60.86,4.58,12.2,-8.66,-0.04,0.13,0.7
-5.14,-56.67,62.85,28.92,-6.08,2.83,-0.03,0.4,0.72
1.74,-59.81,38.97,95.74,-35.02,-29.7,-0.04,0.56,0.59
-8.19,-45.85,23.22,41.05,-2.18,-6.69,-0.37,0.52,0.44
0.37,-41.3,15.56,10.83,-245.05,-19.0,-0.45,-0.03,0.9
-0.37,-32.74,14.76,-92.72,-26.32,6.73,-0.23,-0.17,0.94
4.88,-55.21,36.23,-56.82,42.22,-31.6,-0.08,-0.21,1.0
-1.49,-44.97,55.41,-25.39,8.69,1.4,-0.37,-0.11,0.99
-2.36,-48.29,59.17,1.21,26.91,-1.42,-0.09,0.32,0.64
4.47,-39.8,46.76,89.73,-98.99,18.84,-0.09,0.57,0.64
0.91,-65.24,29.22,78.76,31.12,-5.75,-0.01,0.74,0.46
-3.19,-70.01,20.33,17.32,-21.6,-9.11,-0.34,0.13,0.85
-0.93,-67.93,16.93,-49.74,26.3,17.25,0.01,-0.07,1.02
1.11,-72.46,19.51,-64.34,-112.18,3.5,-0.09,-0.18,0.89
6.33,-71.81,39.89,-30.48,-29.56,-12.0,-0.16,-0.17,0.93
-2.06,-66.23,54.45,-8.52,-3.82,-3.59,-0.22,-0.09,0.93
-4.09,-72.97,65.89,14.76,-30.65,4.3,-0.17,0.35,0.67
1.82,-28.13,53.37,85.92,-11.15,24.46,-0.07,0.6,0.71
1.23,-65.0,31.53,60.68,8.85,-7.94,-0.16,0.61,0.49
-0.36,-68.31,23.22,48.31,-38.45,-15.8,-0.1,-0.13,1.11
-2.15,-65.11,24.53,-47.64,166.15,7.02,-0.17,-0.11,0.93
-6.46,-64.09,21.6,-79.03,-158.08,4.7,-0.22,-0.14,1.06
0.2,-55.66,51.06,-27.27,-24.56,-1.4,-0.03,-0.02,0.87
-8.9,-64.09,69.77,10.08,0.3,-8.29,-0.03,0.5,0.69
-1.93,-68.01,71.36,-6.64,-8.22,-24.94,-0.11,0.66,0.55
10.22,-30.85,61.51,122.22,23.31,0.77,-0.79,0.62,0.43
