yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
5.32,75.78,-177.97,-47.61,181.08,20.4,-0.63,0.88,0.28
32.5,89.12,-233.64,-250.14,62.33,125.0,-0.31,-0.21,0.75
1.0,87.2,-226.05,-7.77,4.1,3.85,-0.28,0.08,0.99
-13.0,37.58,-214.42,9.69,-188.17,-52.9,-0.23,0.07,0.78
-25.0,-28.41,-242.29,-148.0,-250.14,-9.0,1.13,0.2,-0.7
4.0,-32.4,-255.84,-101.71,-15.66,15.0,0.54,0.86,-0.33
-3.0,-14.71,-247.5,-16.95,70.4,-14.1,0.57,0.94,-0.04
-6.9,47.64,-235.51,-4.06,250.13,-26.8,0.17,0.89,0.1
18.5,73.73,-261.14,-149.47,107.02,71.0,-0.64,0.9,0.23
23.4,73.46,-295.02,-176.3,6.07,90.23,-0.46,-0.13,0.81
2.86,61.79,-286.22,-12.85,-38.58,11.0,-0.35,0.08,0.88
-8.2,21.85,-270.97,14.45,-150.73,-31.0,-0.0,0.08,0.9
-38.0,-4.8,-287.39,-110.18,-92.83,-14.0,1.32,0.16,-0.6
-5.4,-8.51,-296.05,-88.34,-9.5,-20.9,0.68,0.78,-0.36
2.32,64.08,-276.21,2.0,-0.05,0.0,0.62,0.95,0.01
21.0,102.99,-303.39,-24.34,36.76,-0.21,0.72,0.84,0.13
28.0,100.95,-324.43,-6.27,245.49,8.3,-0.59,0.92,0.29
-0.5,93.43,-310.68,-163.15,162.4,83.0,-0.17,-0.26,1.01
-19.0,27.21,-293.61,-130.63,6.86,109.5,-0.24,0.06,0.92
-18.0,-38.24,-320.04,2.5,-16.4,-2.26,0.01,0.06,0.75
-6.0,-34.87,-321.97,17.81,-250.14,-76.0,0.94,0.27,-0.62
-2.3,60.0,-297.77,-155.73,-250.14,-7.0,0.44,0.75,-0.27
25.2,57.9,-329.46,-67.86,12.02,-26.6,0.75,0.86,-0.0
11.4,61.53,-328.17,-1.77,114.1,18.87,0.34,0.99,0.0
-0.7,62.3,-312.67,-19.89,250.13,-8.2,-0.38,0.42,0.62
-28.0,-4.96,-300.69,-180.19,-3.14,97.4,-0.29,-0.03,0.87
-16.0,-56.27,-319.74,-47.31,20.85,44.19,-0.22,0.05,0.9
-3.0,-48.18,-312.59,8.99,10.8,-2.79,1.14,0.11,0.54
2.78,14.59,-294.82,-2.89,-250.14,-108.0,1.02,0.54,-0.53
9.4,75.86,-281.42,-129.06,-198.57,-6.0,0.62,0.81,-0.22
31.6,93.22,-313.2,-30.7,29.25,-12.3,0.71,0.85,-0.06
3.53,87.72,-305.97,13.08,250.13,10.71,0.17,1.13,0.31
-4.1,68.44,-291.84,-5.23,250.13,36.28,-0.51,0.19,0.67
-32.0,12.11,-303.94,-174.52,75.92,121.0,-0.49,0.03,0.83
0.0,-7.28,4.0,-21.59,-12.07,13.6,-0.3,0.1,0.81
-2.4,-6.08,-308.94,6.59,-66.63,-15.93,1.31,0.17,-0.2
8.75,54.78,-286.28,-96.43,-202.05,-12.0,0.69,0.74,-0.55
7.31,95.1,-310.27,-102.93,-45.41,-28.0,0.57,0.82,-0.05
30.0,107.1,-347.29,-29.78,-13.4,-8.7,0.92,0.9,-0.13
4.09,97.49,-337.01,34.23,250.13,33.67,-0.81,0.85,0.25
-22.0,31.04,-314.22,-149.76,164.12,28.0,-0.38,-0.15,0.8
-17.0,-28.78,-338.33,-197.27,59.5,117.0,-0.45,0.06,0.88
-4.0,-18.45,-342.66,-15.02,-25.63,15.7,0.1,0.02,0.66
-9.9,72.04,-317.61,37.13,-250.14,-85.0,0.79,0.34,-0.79
24.7,67.32,-353.89,-149.68,-227.83,-6.0,0.67,0.86,-0.28
10.8,68.98,-350.12,-79.89,42.79,-18.5,0.73,0.78,0.08
-5.0,48.11,-331.5,4.67,95.54,12.2,-0.24,0.96,-0.06
-35.0,-18.97,-328.73,-28.74,250.13,-35.0,-0.53,0.28,0.77
-3.0,-39.58,-343.84,-199.67,-12.68,95.0,-0.31,-0.0,0.92
2.4,-29.28,-334.68,-41.77,14.53,42.0,-0.25,0.07,0.87
2.11,13.3,-316.02,17.75,-75.11,-19.4,0.77,0.2,-0.09
-3.8,76.84,-321.26,-119.33,-78.37,-12.0,0.83,0.72,-0.4
23.8,88.53,-351.03,-27.95,39.69,9.4,0.48,0.85,-0.18
-4.6,36.13,-330.1,13.74,173.56,8.13,0.8,0.84,-0.07
-28.0,-16.58,-339.58,-79.41,250.13,-14.0,-0.8,0.91,-0.1
1.1,-16.63,-350.28,-175.07,53.92,92.1,-0.42,0.3,0.56
-0.2,-2.15,-345.58,3.34,-172.64,-16.4,-0.32,0.05,0.95
4.06,44.71,-328.99,-91.47,-194.28,-11.0,-0.45,0.08,0.8
26.0,105.48,-333.98,-104.98,2.92,4.31,1.52,0.04,-0.43
39.0,104.1,-363.11,-46.51,60.96,-1.0,0.53,0.67,-0.29
4.48,93.81,-353.5,3.57,194.26,15.63,0.54,0.82,0.0
-10.0,36.16,-333.93,-82.06,250.13,101.0,0.75,0.81,0.1
-12.0,-29.83,-349.16,-168.74,8.96,152.7,-0.16,0.81,0.52
-1.0,-24.66,-360.27,-20.02,-26.69,17.1,-0.28,-0.24,1.0
2.94,-2.53,-347.15,21.98,-219.56,-40.0,-0.23,0.04,0.9
-6.1,59.81,-335.06,-117.13,-250.14,-4.0,-0.27,-0.02,0.86
18.7,79.59,-362.36,-106.93,22.91,-5.1,1.22,0.33,-0.66
1.66,59.03,-357.64,-14.09,90.55,11.35,0.81,0.77,-0.39
-26.0,-8.36,-360.21,-20.63,250.13,-23.0,0.54,0.79,-0.08
-3.0,-25.78,-370.98,-171.11,84.1,72.5,0.08,0.89,0.06
-6.1,-6.39,-366.01,-90.74,-3.91,72.11,-0.52,0.72,0.45
2.11,38.61,-346.9,-6.17,-52.45,5.94,-0.06,-0.25,1.07
-10.0,100.85,-341.48,-69.21,-250.14,-10.0,-0.23,0.05,0.88
22.0,114.05,-381.74,-106.08,-65.42,-14.0,1.0,0.16,-0.31
6.11,95.57,-374.18,-48.57,77.92,-23.6,0.74,0.68,-0.77
-13.0,41.23,-356.28,10.11,186.53,8.15,0.45,0.82,-0.31
-24.0,-25.98,-374.53,-41.92,250.13,-42.0,0.77,0.88,-0.06
-7.0,-35.76,-382.76,-218.58,65.84,86.8,-0.83,0.97,-0.17
-3.0,-19.76,-372.54,-31.49,-60.15,23.5,-0.26,0.21,0.68
-1.6,40.15,-356.66,11.15,-206.11,-53.0,-0.41,0.05,0.84
9.7,102.03,-362.53,-130.99,-250.14,-9.0,-0.28,0.06,0.84
18.0,119.04,-394.58,-99.74,-37.4,-29.0,1.34,0.12,-0.26
-19.0,45.27,-357.92,-28.79,63.53,-12.0,0.69,0.72,-0.52
-17.0,-20.9,-374.08,-4.0,226.47,-5.93,0.6,0.87,-0.25
2.9,-14.79,-379.2,-90.23,250.13,37.5,0.7,0.88,-0.1
2.58,8.07,-364.95,-188.53,81.91,71.4,-0.62,0.98,-0.04
-0.3,68.13,-347.35,-7.0,2.37,1.97,-0.21,0.16,0.71
11.0,103.83,-369.57,26.33,-250.14,-69.0,-0.44,0.02,0.79
18.0,108.06,-381.86,-124.27,-250.14,-6.0,-0.35,0.09,0.65
1.05,99.55,-367.99,-87.08,27.72,11.52,1.11,0.25,-0.76
-34.0,25.14,-347.92,4.96,250.13,-1.37,0.76,0.77,-0.42
-8.2,-5.11,-363.95,-153.75,150.18,42.0,0.62,0.83,-0.25
-1.39,2.99,-359.5,-107.05,28.27,71.4,0.86,0.84,0.11
3.29,40.74,-342.22,-5.84,-21.38,4.05,-0.38,0.66,0.33
-5.0,100.87,-329.11,19.36,-250.14,-122.0,-0.54,-0.15,0.81
24.0,122.15,-368.81,-124.95,-110.8,-3.0,-0.42,0.02,0.78
0.6,118.83,-355.57,-49.44,36.08,-5.36,0.73,0.05,0.12
-0.0,109.13,-341.48,3.56,158.67,12.71,0.7,0.57,-0.63
-30.0,39.27,-344.36,-13.4,250.13,-22.0,0.47,0.84,-0.37
-6.3,27.32,-351.91,-197.14,91.11,87.4,0.65,0.79,0.04
-2.5,38.79,-344.21,-6.87,1.15,2.66,0.31,1.02,0.22
-0.6,97.76,-319.62,-1.15,-22.62,-0.62,-0.28,0.04,0.75
15.0,141.57,-343.1,-67.69,-250.14,-11.0,-0.47,0.08,0.75
25.0,158.68,-369.22,-90.82,-34.12,-24.0,-0.27,0.06,0.89
2.0,149.79,-356.31,-34.5,56.03,-9.88,1.61,0.21,-0.06
-17.0,82.42,-335.19,36.61,250.13,-2.3,1.04,0.79,-0.58
-33.0,17.04,-352.3,-153.14,185.24,58.0,0.56,0.82,-0.11
-0.5,23.4,-347.57,-157.33,87.56,96.4,0.91,0.83,-0.08
-0.3,83.16,-322.63,-7.71,-14.34,7.82,-0.64,0.69,0.23
14.6,31.78,-334.06,28.04,-250.14,-66.0,-0.39,-0.25,0.88
33.2,71.62,-371.01,-124.73,-239.66,-1.0,-0.4,0.02,0.82
2.28,62.51,-359.87,-92.72,-3.15,-0.16,-0.33,-0.04,0.88
-31.0,-3.87,-339.04,-16.47,42.57,-1.98,1.25,0.3,-0.59
-22.0,-65.63,-352.55,37.62,250.13,-1.45,0.76,0.75,-0.43
-4.0,-61.67,-352.34,-107.2,-197.32,56.0,0.55,0.79,-0.16
4.3,-32.7,-329.49,-200.77,161.02,128.0,0.98,0.84,-0.08
-13.0,29.5,-311.46,-15.2,-29.77,8.77,-0.44,0.88,0.33
9.18,70.96,-330.11,24.89,-250.14,-122.0,-0.39,-0.15,0.76
21.3,63.77,-333.02,-111.75,-239.1,-8.0,-0.48,0.04,0.84
-0.4,47.91,-322.54,-62.76,12.02,-17.8,0.44,0.07,0.49
-10.0,-19.43,-318.86,26.69,112.16,16.58,1.04,0.44,-0.55
-5.0,-34.94,-328.99,10.27,250.13,-50.9,0.8,0.82,-0.38
5.39,22.46,-313.78,-131.85,164.83,35.0,0.61,0.79,-0.08
-9.6,85.1,-317.58,-64.71,-24.71,82.1,0.61,0.96,0.02
25.0,101.91,-344.24,-12.2,-58.82,-1.6,-0.67,0.68,0.35
4.49,98.88,-333.8,-38.41,-250.14,-40.0,-0.63,0.01,0.62
-12.0,33.65,-318.13,-126.73,-75.8,-61.0,-0.51,0.08,0.79
-20.0,-31.4,-336.8,-28.12,15.37,-18.5,1.06,0.15,0.08
5.6,-34.67,-334.59,1.12,231.61,20.73,0.66,0.41,-0.69
4.8,-17.81,-322.26,-74.5,250.13,-37.0,0.64,0.85,-0.34
0.69,43.01,-303.43,-160.47,77.82,96.7,0.84,0.82,-0.1
10.1,75.51,-321.79,-13.67,1.21,17.27,-0.69,1.01,-0.22
27.7,79.99,-342.6,8.71,-250.14,-47.5,-0.32,0.2,0.77
1.4,70.38,-330.67,-127.61,-250.14,-8.0,-0.29,0.03,0.87
-13.6,5.41,-313.62,-52.22,-12.71,21.6,-0.44,0.06,0.79
-26.0,-58.99,-322.29,-12.75,67.39,18.66,0.64,0.15,-0.8
2.3,-68.21,-330.44,17.84,250.13,2.67,0.62,0.78,-0.5
