yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
12.6,10.74,-287.79,-169.1,-32.75,78.0,-0.43,0.15,0.6
-4.3,-7.51,-275.49,-32.63,-69.18,48.9,-0.29,-0.19,0.98
-39.0,-72.84,-288.86,4.12,-74.13,-16.73,-0.27,-0.09,0.78
16.0,-86.23,-293.63,-97.74,-250.14,-15.0,1.57,-0.06,-0.1
-0.0,-81.24,-281.14,-70.02,-58.51,61.7,0.63,0.45,-0.52
-4.0,-18.89,-268.18,-1.23,13.45,-3.0,0.86,0.54,-0.66
4.02,19.56,-278.59,3.16,247.61,-18.75,1.26,0.56,-0.38
38.3,20.31,-311.37,-93.66,151.17,15.5,-0.04,0.74,0.54
-3.4,15.32,-297.42,-173.2,4.26,147.3,-0.18,-0.27,0.82
-27.0,-7.05,-277.1,6.66,-18.9,-13.13,-0.22,-0.07,0.95
-10.0,-70.82,-294.25,36.76,-87.98,-106.0,-0.05,-0.29,0.91
-4.0,-46.48,-271.07,-114.23,-250.14,-4.0,0.75,0.14,-0.87
-21.0,15.29,-248.78,-20.45,-4.34,41.55,0.55,0.51,-0.68
14.7,27.88,-276.87,9.7,84.33,-14.54,0.67,0.54,-0.6
37.9,47.68,-296.66,42.05,250.13,-82.4,1.42,0.65,-0.33
-1.3,40.37,-282.25,-158.25,46.27,57.1,-0.64,0.51,0.47
-15.0,-26.03,-275.77,-119.18,82.34,146.0,-0.21,-0.57,0.94
12.0,-88.73,-290.52,10.26,-22.56,-4.71,-0.26,-0.09,0.84
1.4,-52.11,-265.9,-20.49,-250.14,-60.0,1.49,0.2,-0.67
-12.0,11.1,-262.59,-106.85,-248.31,49.0,0.76,0.41,-0.67
37.0,-51.89,-296.01,-25.85,4.86,-13.25,0.6,0.63,-0.85
3.2,-89.76,-288.48,21.65,116.54,5.32,0.82,0.53,-0.73
0.0,-90.19,-275.16,-34.23,236.32,-49.0,-1.18,0.68,0.18
-6.0,-151.99,-297.2,-174.92,-250.14,14.0,0.04,-0.09,0.76
-1.0,-153.23,-307.04,-16.26,-162.25,12.0,-0.23,-0.1,0.94
-11.0,-78.59,-281.7,8.27,-18.09,0.04,-0.18,-0.11,0.85
-3.0,-26.13,-282.7,-131.4,-250.14,-2.0,2.0,-0.33,-0.07
45.0,-17.36,-318.57,-90.74,-22.67,-4.9,0.61,0.36,-0.59
1.8,-13.97,-307.23,0.51,-0.02,-2.37,0.91,0.54,-0.48
-40.0,-81.25,-295.77,-2.54,250.13,-41.1,1.49,0.54,-0.42
-2.0,-142.74,-319.3,-55.34,192.18,-12.0,-0.56,0.63,0.56
6.0,-153.43,-310.03,-187.57,30.58,175.0,-0.05,-0.22,0.9
0.0,-138.95,-290.56,-5.0,7.28,7.21,-0.34,-0.06,0.84
-9.0,-72.24,-273.18,-1.64,-250.14,-145.0,0.17,-0.11,0.63
