yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.0,-15.0,-216.87,-19.17,32.03,2.88,0.96,0.57,-0.32
-13.0,45.74,-202.38,-5.93,30.05,-3.78,1.02,0.64,0.12
22.9,41.21,-225.89,18.16,250.13,-50.5,-0.64,0.34,0.59
-5.8,21.99,-217.19,-130.56,-17.79,88.0,-0.35,-0.34,0.83
-35.0,-44.23,-222.5,-39.83,-33.44,122.0,-0.11,-0.08,0.91
-2.0,-72.37,-232.21,5.76,-33.86,-20.88,0.77,-0.11,0.11
-2.0,-64.1,-224.63,-55.0,-250.14,-13.0,0.71,0.47,-0.33
4.73,24.64,-218.42,-79.47,-111.63,-11.0,0.94,0.67,-0.53
21.8,10.38,-236.76,-11.92,29.05,-8.2,0.8,0.58,-0.39
19.2,-6.77,-236.89,-5.35,73.84,7.18,-0.33,0.72,-0.15
-6.0,-19.42,-225.73,-52.05,250.13,16.9,-0.62,0.34,0.49
-25.0,-57.92,-234.53,-112.63,-60.75,84.0,-0.23,-0.08,0.96
9.0,-66.73,-240.85,-37.86,-69.43,74.4,-0.11,-0.03,0.89
-3.0,-42.75,-228.38,7.05,-52.91,-25.54,1.87,0.06,-0.1
-4.2,-0.11,-219.14,-71.99,-144.04,-97.0,0.62,0.53,-0.64
5.14,14.21,-235.88,-67.6,-38.52,34.4,0.84,0.68,-0.31
37.6,19.38,-259.18,5.44,93.49,-14.21,0.96,0.64,-0.14
-0.5,27.28,-248.4,-4.94,173.56,-16.2,-0.17,0.53,0.76
-29.0,-82.36,-248.88,-107.67,55.66,19.7,-0.2,0.05,0.72
6.1,-92.41,-251.84,-132.32,20.56,145.0,-0.2,-0.1,1.02
-5.9,-7.62,-230.29,2.54,33.12,-2.07,-0.2,-0.11,0.8
15.5,11.29,-232.07,12.11,-183.15,-85.0,0.51,0.01,-0.47
50.2,71.86,-257.25,-90.4,-250.14,-11.0,0.79,0.69,-0.67
-2.7,61.04,-245.29,-57.11,-47.15,23.6,0.98,0.58,-0.17
-28.0,-5.23,-227.28,-12.07,63.08,8.08,1.5,0.74,0.24
12.0,-60.78,-248.48,9.26,250.13,-21.29,1.08,0.5,0.98
-11.0,-56.85,-248.11,-47.24,81.97,60.04,-0.12,-0.57,0.93
3.6,-37.67,-234.56,-133.53,244.44,193.0,-0.55,0.01,0.8
-18.0,26.79,-221.65,6.63,-37.36,-10.4,0.49,-0.05,0.56
25.1,20.81,-257.69,33.61,-250.14,-109.0,1.07,0.46,-0.77
23.8,11.32,-267.88,-124.46,-215.38,46.0,0.84,0.62,-0.53
-3.23,7.35,-254.96,-43.65,13.37,-45.4,-0.27,0.75,-0.22
-27.0,-58.55,-284.24,7.97,74.43,13.93,-0.43,0.46,0.55
9.4,-59.15,-286.3,3.68,250.13,-71.63,-0.34,-0.33,0.92
-8.0,-54.14,-278.32,-185.3,-24.6,96.0,-0.17,-0.06,0.86
-1.0,-27.89,-261.16,-79.13,-37.79,91.6,1.81,0.04,-0.14
10.7,14.67,-263.76,9.49,-15.98,-12.49,0.76,0.49,-0.53
27.42,2.19,-296.14,-158.98,-250.14,-1.0,0.88,0.61,-0.31
2.6,-11.56,-284.49,-58.21,-4.29,36.42,1.01,0.67,-0.23
-11.0,-34.66,-270.95,-19.32,19.04,-31.7,-0.82,0.69,0.19
-26.0,-88.89,-294.48,18.87,105.27,-6.13,-0.16,0.1,0.81
6.9,-94.94,-297.48,-58.78,158.8,41.6,0.01,-0.06,0.93
0.4,-74.06,-282.52,-173.84,-49.68,105.0,-0.22,-0.04,0.84
-3.0,-11.29,-267.91,-0.23,-54.6,10.01,1.32,-0.06,-0.41
13.72,1.78,-287.74,9.11,-97.17,-46.17,0.82,0.55,-0.59
39.42,5.91,-308.55,-137.85,-212.0,-1.0,0.76,0.67,-0.43
-28.0,-57.88,-275.88,-63.52,-31.06,26.5,1.19,0.69,-0.09
-0.0,-100.34,-297.59,6.27,75.47,1.8,-0.28,0.58,0.58
2.4,-94.19,-299.66,8.46,250.13,-14.17,0.04,-0.22,0.87
-0.0,-78.71,-284.22,-129.56,47.66,52.9,-0.25,-0.06,0.89
9.53,-9.77,-266.61,-127.72,17.29,152.0,-0.11,-0.1,0.69
20.0,-10.78,-287.8,13.01,11.24,-12.99,0.89,0.43,-0.8
10.0,-67.24,-286.12,21.84,-250.14,-103.0,0.64,0.57,-0.55
-0.0,-76.36,-273.03,-134.35,-172.31,-0.0,0.88,0.64,-0.39
-3.0,-138.44,-271.86,-61.45,14.74,9.47,0.47,0.79,0.2
-1.0,-187.48,-292.56,8.5,55.11,-1.81,-0.79,-0.16,0.68
4.0,-179.8,-285.11,14.77,250.13,34.17,-0.19,-0.04,0.88
3.0,-136.11,-269.48,-133.66,-7.32,78.3,1.15,-0.0,0.47
12.0,-66.88,-261.85,-38.05,-235.69,39.0,0.8,0.52,-0.75
28.0,-93.06,-280.03,6.97,-49.27,-1.16,0.88,0.65,-0.39
8.1,-99.58,-272.97,-39.06,-250.14,-12.0,0.83,0.61,-0.33
-4.0,-100.12,-259.58,-131.08,-212.85,-4.0,-0.52,0.65,0.44
-3.0,-150.92,-263.06,11.48,154.88,12.18,-0.28,0.22,0.63
7.0,-170.42,-279.93,-19.64,250.13,46.5,-0.09,-0.04,1.12
-4.0,-155.88,-270.44,-118.06,-119.7,10.0,-0.26,-0.05,0.88
-0.0,-121.18,-257.57,-16.24,-41.77,31.2,1.75,0.24,0.17
9.9,-53.77,-251.14,10.51,-20.85,-16.3,0.7,0.53,-0.73
27.0,-43.58,-271.39,-56.83,-206.66,-13.0,0.8,0.59,-0.2
10.0,-48.14,-267.12,-114.63,-96.61,27.0,0.96,0.64,-0.16
-4.0,-58.52,-255.82,-12.59,39.25,-16.6,-0.06,0.73,0.75
-26.0,-96.43,-266.21,2.89,122.98,-1.4,-0.08,0.16,0.74
-2.0,-96.05,-265.7,-22.57,250.13,38.3,-0.06,-0.1,1.07
-4.0,-75.23,-255.55,-123.85,31.39,105.0,-0.27,-0.07,0.81
0.2,-12.23,-244.32,-25.61,-25.83,42.2,1.15,0.15,-0.11
-4.7,25.55,-247.14,3.17,-52.25,-16.92,0.91,0.51,-0.59
40.1,22.89,-277.99,-84.13,-148.87,-10.0,0.81,0.75,-0.39
-1.4,27.38,-265.98,-44.68,-6.04,-10.5,1.18,0.63,-0.2
-28.0,-35.93,-252.05,-8.31,75.33,-17.8,-0.27,0.74,0.65
-11.0,-85.41,-280.3,-0.36,250.13,0.96,-0.27,0.06,0.77
-2.0,-85.59,-274.36,-58.09,147.44,-18.0,0.02,-0.08,0.98
1.8,-70.33,-260.25,-164.49,-9.72,154.0,-0.15,-0.1,0.72
8.69,-6.28,-254.46,4.37,21.9,-5.51,0.33,0.4,-0.65
28.78,2.15,-277.46,14.43,-250.14,-110.0,0.79,0.62,-0.28
13.0,-15.19,-275.47,-158.82,-200.99,-4.0,0.75,0.69,-0.32
-2.0,-21.44,-263.62,-26.98,-6.53,-10.3,0.34,0.75,0.12
-40.0,-86.24,-253.9,6.18,54.8,7.1,-0.41,0.23,0.68
14.0,-116.21,-265.05,-28.98,250.13,33.5,-0.32,-0.09,0.9
-6.0,-97.96,-255.21,-135.5,27.99,110.0,-0.12,-0.08,0.86
2.1,-80.79,-245.01,-35.82,-72.53,51.4,1.47,0.05,0.24
7.0,-13.03,-248.25,4.14,-28.89,-10.82,1.0,0.53,-0.66
42.0,-33.83,-277.97,-3.59,-250.14,-155.0,0.86,0.55,-0.42
1.2,-33.87,-269.63,-89.53,-126.44,55.0,0.83,0.63,-0.35
-9.0,-53.04,-256.08,-7.82,62.73,-26.77,-1.16,0.71,-0.07
-2.0,-115.93,-284.65,-5.66,61.16,8.31,-0.19,-0.0,0.74
0.0,-121.13,-282.13,-57.51,250.13,27.0,-0.09,-0.06,1.0
-0.0,-102.05,-272.75,-158.21,-87.32,162.0,-0.21,-0.03,0.79
-0.0,-52.72,-257.14,-10.6,-6.49,4.95,1.39,-0.03,-0.66
36.0,-22.12,-286.93,11.45,-84.89,-36.0,0.67,0.52,-0.71
-0.0,-15.65,-274.22,-155.31,-250.14,-8.0,0.75,0.64,-0.36
-20.0,-76.42,-257.71,-40.06,-33.43,0.4,1.18,0.65,-0.34
2.0,-137.59,-281.96,-13.77,64.53,-3.63,-0.98,0.48,0.36
-5.0,-136.66,-283.5,14.35,190.59,-3.58,-0.17,0.05,0.79
-2.0,-117.71,-270.56,-74.23,108.02,35.2,-0.14,-0.09,0.94
-8.0,-52.82,-262.47,-133.94,-8.3,140.0,-0.25,-0.13,0.68
19.0,-15.43,-281.44,5.82,21.03,-2.86,0.88,0.36,-0.82
44.86,5.97,-308.83,23.91,-250.14,-77.0,0.75,0.48,-0.6
-5.1,10.29,-293.11,-141.13,-250.14,11.0,0.59,0.69,-0.41
-41.0,-53.38,-280.1,-55.61,-11.26,-21.0,0.92,0.77,0.05
-1.0,-115.24,-295.91,-0.6,59.88,-10.43,-0.63,0.62,0.39
4.0,-101.19,-290.11,-17.38,250.13,-32.0,-0.09,-0.25,1.0
-2.0,-84.61,-278.79,-124.88,135.3,76.0,-0.29,-0.04,0.88
-7.0,-20.67,-266.49,-152.63,82.5,172.0,0.18,-0.03,0.49
20.3,-6.5,-279.2,13.98,15.4,-19.84,0.75,0.36,-0.65
40.0,31.84,-308.84,5.58,-250.14,-158.0,0.91,0.7,-0.39
-0.5,20.22,-296.16,-111.82,-250.14,-3.0,0.86,0.66,-0.31
-37.0,-45.89,-292.29,-29.8,45.66,17.53,0.76,0.68,0.2
-0.0,-84.53,-310.02,-6.93,58.37,-11.56,-0.46,0.57,0.57
-2.0,-74.06,-299.79,-1.96,250.13,-29.8,-0.26,-0.58,0.96
3.0,-55.67,-287.27,-100.14,48.9,78.4,-0.3,-0.01,0.86
6.78,9.19,-278.52,-158.63,150.5,153.0,1.02,-0.05,0.22
39.3,17.01,-305.48,1.41,-44.52,-2.06,0.93,0.56,-0.78
0.5,-2.53,-293.38,-31.66,-250.14,-14.0,0.88,0.63,-0.24
