yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
3.77,-45.67,123.25,7.5,-4.79,14.48,0.25,0.96,0.04
3.81,-45.62,123.24,7.69,-4.81,14.71,0.25,0.97,0.03
3.72,-45.56,123.16,7.34,-4.79,14.37,0.25,0.97,0.03
3.2,-45.2,110.2,-44.48,-3.98,12.37,0.25,1.19,0.17
2.95,-50.33,123.18,57.63,-25.83,11.37,0.21,0.93,0.07
9.08,-38.73,126.43,25.56,37.5,34.91,-0.12,0.86,-0.86
-4.6,-19.38,110.98,-53.55,73.93,-18.0,0.29,1.1,-0.17
0.75,14.31,112.82,14.21,131.08,2.91,-0.12,0.83,-0.3
7.7,14.79,110.34,-4.43,6.05,29.52,0.21,1.03,0.0
5.29,9.22,109.23,1.57,-17.36,20.44,0.29,0.96,0.07
3.82,6.77,104.68,-12.4,-5.92,14.73,0.26,0.95,0.14
5.14,5.01,106.68,13.31,-3.24,19.85,0.29,0.94,0.1
3.37,2.36,108.7,13.77,-6.98,13.02,0.3,0.94,0.09
3.28,1.77,109.92,10.38,0.44,12.68,0.26,0.97,0.02
3.4,-0.07,110.13,6.72,-4.45,13.12,0.28,0.95,0.03
