yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-7.57,-26.67,41.55,16.15,70.2,-26.92,0.14,0.83,0.28
7.34,-22.88,37.48,-20.4,11.94,28.36,0.1,0.89,0.37
16.01,5.51,-19.31,-236.01,110.79,61.0,0.03,0.95,-0.08
-8.19,39.44,-82.68,-250.14,132.32,-31.0,-0.6,-0.86,0.47
-0.62,38.66,-87.84,-56.09,2.82,-5.22,-0.32,-0.96,0.56
-33.0,-24.97,-23.93,23.55,0.72,-2.21,-0.37,-0.9,0.4
-21.8,-24.93,16.99,250.13,-247.69,-12.0,0.25,-0.84,0.8
8.5,-20.18,14.65,152.48,-0.5,-84.1,0.21,0.43,0.33
3.88,-8.61,10.82,-16.19,18.5,32.69,0.37,0.88,0.36
19.67,11.38,-42.48,-21.37,46.94,14.96,0.38,0.78,0.48
-8.92,30.97,-71.09,-214.27,86.76,75.9,0.74,0.17,0.64
0.31,27.52,-71.65,-114.76,75.02,-34.0,-0.77,-0.94,0.58
-1.22,14.13,-66.85,-5.82,-14.07,1.19,-0.58,-0.83,0.43
-39.1,-32.96,-3.8,14.73,-50.05,-4.36,-0.51,-0.81,0.43
-18.98,-6.6,24.8,247.12,-184.21,-15.0,0.31,-0.45,0.84
2.46,14.91,7.44,102.26,101.24,-72.0,0.05,0.51,0.15
-3.71,53.19,-56.17,-0.03,-1.95,-3.8,0.4,0.81,0.57
-0.91,44.61,-81.65,-72.9,86.42,8.77,0.36,0.76,0.34
-0.78,46.39,-75.24,-250.14,153.07,-14.0,-0.38,-0.52,0.89
-0.31,16.37,-53.55,-102.62,-27.89,-3.0,-0.19,-0.87,0.39
-42.7,-10.29,10.27,22.79,12.53,-2.99,-0.45,-1.04,0.8
0.45,1.67,17.49,76.98,-107.96,-1.1,0.22,-0.27,0.55
0.91,5.43,18.69,250.13,-100.64,-16.0,0.17,0.66,0.2
5.22,33.88,-7.52,19.69,48.71,1.76,0.36,0.79,0.43
-3.69,59.57,-71.19,-1.13,18.9,3.52,0.28,0.91,0.1
-6.61,53.97,-95.56,-113.98,118.07,20.0,-0.48,-0.77,0.63
0.79,55.43,-92.14,-250.14,104.69,-14.0,-0.41,-1.07,0.54
-25.7,21.29,-28.24,-100.16,-15.96,-25.0,-0.23,-0.89,0.29
-15.58,12.36,12.59,9.2,12.28,3.04,0.11,-0.99,0.84
-0.18,26.36,17.98,250.13,-127.6,-99.0,0.36,0.31,0.36
1.68,32.9,17.14,154.62,-26.53,-60.0,0.36,0.97,-0.05
9.52,61.7,-38.19,12.5,61.54,-0.7,0.42,0.8,0.42
