yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-2.33,38.07,-60.17,-98.26,46.4,-46.6,-0.79,-1.06,0.24
7.42,27.65,-50.71,35.76,-36.82,26.58,-0.37,-0.82,0.18
-15.8,-30.03,12.07,250.13,-226.44,-61.0,0.03,-0.9,1.0
-20.6,-47.06,61.36,195.95,-69.03,-79.0,0.22,0.22,0.38
8.88,-45.6,53.5,-32.29,2.11,34.27,0.49,1.1,0.12
-4.72,-30.29,44.46,-37.49,57.6,-18.2,0.33,0.8,0.31
-12.3,13.22,-15.29,-232.7,169.67,-47.0,-0.03,-0.02,0.53
-4.27,18.4,-61.82,-179.82,20.27,-16.0,-0.32,-0.95,0.54
-1.25,11.56,-59.65,7.35,-30.17,-4.83,-0.71,-1.0,0.21
5.01,6.4,-49.76,39.93,-23.37,19.34,-0.53,-0.99,0.18
-31.0,-43.56,13.31,250.13,-195.39,-11.0,0.55,-0.54,0.86
-13.4,-50.45,45.6,123.15,-29.43,-51.0,0.41,0.6,0.24
5.38,-55.01,40.13,-24.93,-22.94,20.7,0.42,1.01,0.26
1.92,-26.77,24.58,-65.45,108.65,7.4,0.43,0.89,0.34
-15.5,34.72,-19.58,-164.12,240.95,-60.0,-0.14,-0.54,0.29
-20.9,68.0,-56.78,-144.92,130.67,-80.0,-1.02,-0.92,-0.02
-4.32,60.59,-54.75,7.42,-24.89,-16.68,-0.67,-0.88,0.09
3.95,-1.21,-28.29,107.65,-241.61,15.0,-0.38,-1.12,0.45
-12.9,-50.67,33.87,250.13,-198.89,-49.0,0.02,-0.35,0.62
-10.5,-66.39,61.18,-1.29,-1.48,-9.79,0.31,0.6,-0.15
-2.54,-64.89,60.86,-13.44,233.39,1.47,0.33,0.85,0.34
0.38,-4.72,57.39,-198.71,201.13,-11.0,0.19,0.82,0.48
-29.24,47.38,5.87,-154.31,38.81,-99.0,-0.45,0.05,0.41
-25.8,56.74,-34.82,10.26,-68.49,2.98,-0.72,-0.86,0.23
0.77,38.99,-32.9,60.5,-226.27,25.6,-0.81,-1.01,0.13
6.63,-16.9,-18.03,247.35,-37.49,-147.0,-1.33,-1.08,0.49
-38.1,-26.78,43.88,94.29,-11.23,-60.0,0.4,-0.11,0.66
-15.6,-28.83,68.91,-30.37,20.63,21.4,0.11,0.78,0.05
5.56,-23.3,61.16,-109.23,56.83,19.6,0.35,0.94,0.28
5.1,-8.83,33.69,-242.97,43.04,-27.0,0.25,0.76,0.44
-7.17,2.93,-29.09,-75.06,-31.27,-64.0,-0.31,-0.44,0.87
-16.6,-3.9,-48.8,27.8,-31.15,20.44,-0.47,-0.85,0.37
5.29,-10.86,-42.72,160.53,-250.14,33.0,-0.23,-0.81,0.19
8.77,-71.81,-3.26,245.31,-92.58,-149.0,-0.52,-1.22,0.72
-38.7,-93.33,57.9,32.12,92.38,7.33,0.32,-0.05,0.5
1.9,-66.69,66.96,-19.0,-10.53,7.98,0.02,0.99,0.09
2.07,-67.47,62.03,-119.08,131.34,5.4,0.35,0.87,0.32
1.42,-32.45,32.9,-240.63,250.13,90.0,0.1,0.62,0.15
23.52,30.39,-30.43,-72.73,1.19,-36.36,0.19,-0.38,0.27
-9.42,31.11,-49.24,25.3,15.51,6.2,-0.9,-1.03,0.12
1.61,34.26,-43.87,250.13,-183.51,-12.0,-0.22,-0.9,0.19
-33.7,-13.3,18.67,196.83,8.11,-76.4,0.22,-0.86,0.96
-19.8,-11.99,67.8,-22.71,28.29,57.64,0.3,0.18,0.46
14.93,-4.8,62.67,-35.53,66.45,-20.0,0.15,1.07,0.08
-5.18,10.99,53.71,-250.14,99.98,13.6,0.38,0.84,0.31
3.54,36.59,-9.45,-165.53,146.31,-78.0,-0.15,0.15,0.22
-20.4,71.76,-52.66,-17.44,-14.05,6.79,-0.12,-0.97,0.53
1.77,65.46,-57.8,34.85,-24.05,12.92,-0.03,-1.06,0.34
3.35,57.6,-49.62,250.13,-221.79,-10.0,-0.32,-0.94,0.13
-27.48,0.14,12.64,108.1,69.31,-31.7,0.0,-0.8,0.72
-8.27,16.6,41.66,-19.6,28.4,8.52,0.23,0.58,0.17
2.21,22.11,37.01,-13.56,112.5,-12.0,0.37,0.73,0.56
-3.13,48.47,34.15,-250.14,63.83,-13.0,0.29,0.71,0.53
-3.49,62.19,-30.43,-16.05,-4.96,-29.9,0.08,-0.39,0.82
-7.78,59.82,-35.31,-9.28,-4.95,0.25,-0.85,-1.21,0.39
0.07,57.45,-38.52,35.44,-157.27,18.5,-0.54,-0.88,0.12
