yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
18.06,12.58,25.54,-22.15,29.68,-21.9,0.12,0.41,0.6
-0.98,14.36,-6.94,-147.83,26.5,69.7,0.07,-0.3,0.76
8.33,20.79,29.39,-122.58,9.95,-3.76,0.09,-0.18,0.96
-10.58,12.75,69.25,146.74,29.0,32.15,0.32,0.62,0.99
-1.85,4.56,60.06,160.07,-26.53,-40.0,-0.14,0.79,0.47
-8.45,31.44,23.44,-35.17,-32.27,-7.1,0.39,0.26,0.77
5.61,29.73,50.42,-162.4,20.03,75.3,0.06,-0.46,0.9
-4.75,15.18,88.7,27.68,87.65,-30.17,-0.12,0.15,1.04
8.73,0.08,66.08,111.0,-2.85,21.66,0.19,0.74,0.71
13.04,3.3,18.81,154.76,-52.0,-18.0,0.43,0.82,0.34
-3.36,0.8,28.84,-85.73,-54.15,33.7,0.27,0.1,0.63
-5.41,-3.1,66.8,-180.79,16.71,50.3,0.17,-0.19,0.82
1.38,8.41,67.91,45.19,-7.66,-12.91,0.21,0.34,1.02
9.68,9.4,33.99,154.43,-13.78,-20.0,0.33,0.75,0.57
1.97,3.78,15.23,7.36,48.91,5.34,0.28,0.46,0.64
8.65,25.34,40.17,-130.9,8.52,37.36,0.06,-0.21,0.89
-5.89,12.72,74.06,-67.81,-20.47,7.62,-0.29,0.04,0.87
7.26,4.91,56.34,102.41,84.31,33.39,0.27,0.43,1.07
11.06,14.31,21.06,138.79,-44.37,-22.0,0.13,0.66,0.55
-3.1,42.07,27.48,-62.44,-25.92,26.0,0.28,0.14,0.68
1.01,9.52,64.67,-134.5,42.11,42.6,0.06,-0.14,0.84
-7.78,6.32,71.81,30.6,114.15,-11.9,0.11,0.39,0.92
7.85,8.17,47.33,150.35,-123.14,3.9,0.4,0.74,0.7
3.73,25.68,8.76,32.24,-7.85,-30.05,0.45,0.62,0.63
2.32,21.05,27.29,-93.1,12.8,30.3,-0.0,0.06,0.52
-18.15,2.9,56.82,-148.04,71.4,14.3,0.21,-0.13,0.88
-1.66,5.66,57.58,77.23,-12.4,8.96,0.55,0.5,0.92
7.64,16.39,22.64,119.16,-65.17,-70.0,0.28,0.71,0.56
1.05,18.99,2.97,4.06,13.23,-5.93,0.24,0.38,0.61
7.28,14.76,33.42,-136.69,47.3,29.6,0.16,-0.19,0.76
-5.45,-8.46,68.74,-72.92,14.85,4.04,-0.45,-0.15,1.05
10.31,-10.71,46.44,124.13,-17.62,28.0,0.15,0.49,0.82
9.59,9.13,8.08,141.97,-89.23,-20.0,0.47,0.62,0.47
2.29,6.61,22.58,-85.52,-5.4,39.82,0.18,0.04,0.59
-3.97,-0.11,49.5,-147.41,80.82,37.0,-0.12,-0.24,0.82
-2.16,-1.9,49.95,57.76,-9.21,8.22,0.05,0.18,1.0
