yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-0.59,-42.9,-0.06,-34.85,-4.82,-2.28,0.09,-0.23,0.94
3.41,-50.24,11.38,48.22,-33.47,13.15,0.31,-0.23,0.89
-15.6,-50.43,55.51,177.34,-6.12,-60.5,0.31,0.23,1.01
3.85,-21.42,26.6,-114.99,112.01,14.0,0.27,0.55,0.42
2.33,-26.04,6.77,-74.21,-22.98,8.98,-0.09,-0.12,0.86
-0.09,-33.16,5.07,-2.85,-31.15,-0.34,0.17,-0.29,0.88
-4.67,-56.62,44.57,159.69,-97.55,-18.0,0.28,0.0,1.16
-12.8,-44.34,54.47,39.24,42.76,-49.5,0.23,0.65,0.53
4.65,-38.6,20.25,-131.73,18.46,17.8,0.19,0.28,0.59
1.73,-45.11,7.66,-45.47,-31.91,6.68,0.05,-0.18,0.86
1.87,-32.67,10.41,14.98,42.94,7.23,0.02,-0.27,0.91
-17.3,-38.34,52.54,170.11,-23.67,-66.0,0.45,0.11,0.87
-2.58,-9.01,39.25,-52.56,116.74,-9.9,0.47,0.67,0.41
6.52,-10.67,13.18,-98.59,-4.93,25.16,0.27,0.01,0.76
0.74,-7.05,0.23,-47.44,15.42,2.84,0.23,-0.22,0.76
2.51,-7.55,16.38,68.5,-0.33,9.69,0.3,-0.38,0.89
-14.0,-13.49,51.3,139.4,-20.82,-54.0,0.43,0.37,0.77
4.45,-10.04,31.68,-77.92,13.68,17.13,0.14,0.46,0.4
2.98,-15.17,17.96,-47.83,-18.44,11.5,0.44,-0.27,0.97
2.27,7.2,20.13,14.3,89.02,8.76,0.14,-0.26,0.86
-13.7,-34.84,62.34,172.56,-162.89,-52.0,0.77,0.07,1.26
-7.34,-1.93,61.46,-1.24,130.47,-28.3,0.34,0.66,0.48
-2.42,5.9,32.52,-107.23,31.98,-9.3,0.09,0.11,0.91
-1.56,-0.29,22.88,-29.85,-23.27,-6.0,0.07,-0.36,0.85
3.71,-13.65,40.94,78.75,-53.08,14.34,0.09,-0.3,1.11
-11.2,-22.08,67.59,109.44,-31.82,-43.0,0.39,0.37,0.71
-2.76,-20.36,41.35,-100.98,4.55,-10.6,0.08,0.41,0.5
-0.46,-22.76,18.79,-82.72,-13.59,-1.7,-0.06,-0.13,0.87
3.22,-21.85,22.27,19.08,1.43,12.38,0.16,-0.24,1.01
-6.16,-42.17,46.22,99.94,-82.63,-23.7,0.35,-0.0,1.21
-3.4,-23.8,46.79,2.22,70.79,-13.12,0.32,0.59,0.46
3.68,-19.82,10.94,-136.98,13.6,14.2,0.11,0.02,0.68
0.26,-8.18,5.75,-16.24,46.21,0.98,0.27,-0.3,0.89
2.58,-11.03,18.42,53.12,-11.15,9.95,0.2,-0.15,1.09
-5.64,-20.51,60.44,170.08,-38.24,-21.0,0.17,0.19,0.92
1.63,-13.27,45.19,-58.82,29.66,6.27,0.36,0.63,0.48
7.49,-18.31,14.52,-116.18,-20.0,28.0,0.22,0.01,0.82
0.79,-14.05,12.53,-2.98,15.86,3.04,0.18,-0.27,0.9
-0.61,-30.85,39.1,109.82,-68.48,-2.3,0.14,-0.09,0.91
-5.91,-13.88,51.19,50.56,66.03,-22.82,0.29,0.45,0.84
5.32,-12.34,17.42,-131.78,5.21,20.53,0.08,0.25,0.5
2.64,-5.25,-1.49,-71.23,29.77,10.18,0.34,-0.21,0.9
3.43,-3.89,10.82,52.33,6.36,13.24,0.19,-0.33,0.92
-8.93,-20.88,48.57,153.33,-64.76,-34.0,0.53,0.03,1.09
-2.16,-8.39,43.79,-20.64,48.4,-8.36,0.13,0.69,0.42
