yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
0.05,6.58,-41.19,5.56,-0.78,0.26,-0.22,-0.96,-0.05
-0.01,6.68,-41.28,5.72,-0.84,0.18,-0.22,-0.96,-0.06
0.06,6.68,-41.35,5.32,-0.66,-0.03,-0.22,-0.96,-0.06
0.03,6.74,-41.41,5.43,-1.0,0.21,-0.22,-0.95,-0.05
0.02,6.7,-41.52,5.47,-0.76,0.13,-0.22,-0.95,-0.06
-0.02,6.73,-41.55,5.17,-1.17,0.06,-0.22,-0.96,-0.06
-0.06,6.81,-41.46,5.5,-0.92,-0.07,-0.22,-0.95,-0.05
0.04,6.86,-41.39,5.9,-0.75,-0.22,-0.23,-0.95,-0.07
-0.04,6.95,-41.53,5.92,-0.79,0.17,-0.22,-0.96,-0.06
-0.03,7.03,-41.63,5.14,-0.56,-0.16,-0.22,-0.96,-0.05
-0.0,6.92,-41.77,5.2,-0.71,-0.11,-0.23,-0.96,-0.06
0.04,6.94,-41.94,5.01,-1.39,-0.01,-0.22,-0.96,-0.06
0.09,7.12,-41.88,4.92,-0.91,0.16,-0.22,-0.96,-0.06
0.0,7.09,-41.91,5.73,-0.31,0.37,-0.23,-0.96,-0.07
0.02,7.12,-41.93,5.45,-1.02,0.0,-0.22,-0.96,-0.07
0.02,7.1,-41.93,5.45,-0.85,0.09,-0.22,-0.96,-0.07
-0.03,7.18,-41.89,5.55,-1.0,0.07,-0.22,-0.96,-0.07
-0.03,7.16,-41.85,5.69,-0.63,-0.1,-0.22,-0.95,-0.07
-0.02,7.13,-41.76,5.73,-1.04,-0.1,-0.22,-0.96,-0.06
0.11,7.35,-41.62,5.94,-1.0,-0.09,-0.22,-0.96,-0.07
