yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
4.37,-59.03,108.84,8.55,-3.92,15.13,0.46,0.91,0.03
3.99,-58.73,109.24,7.31,-5.51,16.82,0.46,0.91,0.03
4.28,-58.83,108.91,8.93,-4.0,15.42,0.46,0.91,0.03
3.99,-58.54,109.18,6.09,-5.55,16.54,0.47,0.9,0.03
4.57,-59.06,108.41,8.6,-3.86,15.4,0.46,0.91,0.03
3.93,-58.77,108.62,4.29,-7.22,17.64,0.47,0.91,0.04
4.07,-58.85,108.5,8.18,-3.89,15.11,0.46,0.91,0.04
4.07,-58.7,108.65,6.83,-5.47,15.72,0.45,0.91,0.03
4.09,-58.56,108.95,7.85,-4.63,15.71,0.46,0.9,0.02
4.5,-58.92,108.54,8.55,-4.47,15.75,0.47,0.91,0.04
4.23,-58.8,108.85,5.79,-6.5,17.37,0.47,0.9,0.03
4.11,-59.08,108.77,8.64,-4.55,16.27,0.47,0.9,0.04
4.23,-59.22,108.66,7.15,-6.17,15.85,0.48,0.9,0.04
4.21,-59.38,108.57,7.07,-5.58,16.34,0.48,0.9,0.03
4.23,-59.66,108.0,7.18,-5.66,16.24,0.47,0.9,0.04
4.17,-59.62,108.11,5.09,-6.29,16.31,0.48,0.9,0.03
4.25,-59.84,107.91,7.82,-4.92,16.05,0.48,0.9,0.04
4.0,-59.45,108.27,6.63,-5.98,16.43,0.47,0.91,0.03
4.14,-59.52,108.11,8.76,-3.65,15.45,0.47,0.9,0.03
4.07,-59.34,108.29,6.76,-5.38,16.0,0.48,0.9,0.04
