yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
-5.06,-36.4,65.81,-7.78,-2.53,16.76,0.58,0.53,0.57
1.27,-35.2,63.33,4.31,-3.76,-19.53,0.62,0.47,0.61
-32.22,24.15,88.14,-4.19,4.77,4.91,0.57,0.48,0.62
27.75,29.22,99.0,103.89,231.48,-124.0,-0.19,0.68,0.86
-65.6,11.93,18.94,44.95,22.7,107.15,-0.05,0.31,-0.0
-49.35,27.2,39.18,-201.85,-84.7,62.0,0.53,0.71,0.57
14.82,46.63,63.66,-97.33,28.3,-234.0,0.63,0.23,1.06
30.31,51.49,58.67,77.83,66.27,-189.8,0.35,0.66,0.72
-6.0,-0.9,-4.37,100.15,76.24,57.21,-0.47,0.36,0.46
-45.03,32.39,8.89,-21.92,29.37,117.0,0.19,0.71,-0.04
-27.25,26.28,41.25,-250.14,-197.36,-2.0,0.67,0.78,0.77
18.83,24.87,63.17,49.15,136.65,-173.0,0.34,0.4,0.97
20.3,25.56,33.97,121.83,-20.62,-104.0,-0.13,0.77,0.47
-28.4,-15.51,-3.13,88.89,-9.11,72.71,-0.64,0.51,0.27
-25.81,-9.34,25.21,-119.99,8.53,78.39,0.15,0.79,-0.02
-15.1,-21.45,60.74,-148.69,-157.46,-1.0,0.58,0.77,1.16
-3.54,-23.82,8.08,107.98,21.44,-99.2,-0.09,0.56,0.9
-43.43,-34.88,8.05,136.47,-52.21,-58.0,-0.18,0.75,0.3
-23.3,-30.87,41.09,55.57,-44.62,85.89,-0.33,0.65,0.31
-17.4,-52.47,56.81,-244.59,26.43,-12.0,0.52,0.76,0.2
18.93,-56.81,67.66,-2.7,-46.37,-167.0,0.25,0.49,1.06
6.97,-85.17,8.68,126.42,10.17,-90.0,-0.04,0.7,0.62
-18.8,-39.94,43.22,58.66,-92.79,-67.0,-0.1,0.69,0.26
-5.42,-55.68,69.12,43.77,-31.18,73.09,-0.37,0.57,0.1
30.39,-67.6,51.04,-234.44,-118.48,26.0,0.48,0.76,0.4
-9.21,-101.18,7.4,-13.68,119.61,-212.0,0.17,0.41,1.07
-38.3,-83.71,18.39,133.08,35.09,-67.7,-0.28,0.73,0.5
12.13,-70.46,72.33,102.41,-73.3,-20.0,-0.29,0.61,0.34
17.88,-82.5,22.45,-71.13,-52.18,116.0,0.33,0.62,-0.08
-54.48,-95.23,9.07,-172.18,-141.3,-3.0,0.78,0.82,1.15
-28.2,-86.2,35.85,40.66,54.74,-147.9,0.09,0.54,0.95
-18.0,-103.23,56.08,143.95,34.02,-88.8,-0.07,0.84,0.44
19.8,-108.12,62.57,59.56,-10.06,43.47,-0.37,0.73,0.19
10.9,-115.46,13.86,-198.26,-54.88,69.0,0.52,0.87,0.18
-49.8,-126.41,1.97,-53.15,-62.18,-210.0,0.36,0.46,1.33
-34.0,-128.02,17.67,74.01,-82.41,-73.0,-0.13,0.57,0.75
-13.0,-103.96,46.87,28.24,-41.82,76.18,-0.0,0.83,0.12
-16.0,-103.98,-0.9,-190.29,-39.91,42.0,-0.33,0.38,0.26
-37.1,-92.92,44.97,-48.6,-60.05,-192.0,0.89,0.71,0.67
21.02,-95.29,60.83,54.4,-25.86,-130.0,0.32,0.36,1.03
16.68,-102.35,9.06,111.82,73.53,-50.6,0.09,0.8,0.55
-62.0,-126.15,-23.02,-6.83,46.4,109.98,-0.28,0.79,0.53
-45.3,-114.02,7.28,-188.14,-72.76,-64.0,0.06,0.51,0.16
-0.2,-100.14,39.47,42.66,7.76,-203.63,0.47,0.72,0.76
16.18,-89.89,34.95,119.1,4.2,-132.7,0.08,0.48,1.04
10.0,-129.05,-12.35,63.56,-29.28,80.85,-0.03,0.88,0.39
-64.0,-127.82,-19.62,-205.86,-37.46,64.0,-0.26,0.36,0.26
-21.0,-120.44,15.88,-130.38,-107.47,-2.0,0.7,0.8,0.32
8.81,-104.9,35.22,113.34,29.83,-174.0,0.67,0.41,1.13
-1.0,-120.45,-26.16,122.18,35.35,-0.96,0.2,0.57,1.09
-38.0,-144.22,-51.13,-25.16,24.84,62.24,-0.19,0.66,0.46
-49.0,-134.37,-20.03,-188.78,-169.5,42.0,-0.01,0.64,-0.07
-22.0,-136.65,16.11,-33.34,-11.72,-250.0,0.3,0.5,1.0
17.2,-133.25,24.55,127.76,8.67,-81.99,8.0,1.07,0.0
29.0,-133.73,-35.51,65.03,35.82,31.47,-0.04,0.77,0.27
-50.0,-127.93,-46.2,-250.14,-74.29,-7.0,-0.34,0.66,0.03
-47.0,-105.16,-20.37,-105.38,-112.37,-1.0,0.43,0.67,0.17
-9.19,-99.94,14.79,109.98,18.13,-191.0,0.39,0.21,1.62
22.01,-95.23,-0.59,130.69,-33.0,-87.0,0.22,0.74,0.85
-5.0,-110.57,-39.63,28.96,-14.11,66.24,-0.22,0.86,0.2
-65.0,-120.94,-35.02,-225.64,-16.63,106.0,-0.38,0.47,0.23
-30.0,-129.71,-1.3,-51.47,5.29,-194.3,0.43,0.35,1.04
